N	2gram	Vinokur_Ku	VLabPisa
261	будто бы	3	2
262	для которых	2	2
263	и социальной	2	2
264	труда и	2	2
265	но для	4	2
266	этой точки	4	2
267	между прочим	4	2
268	на этом	4	2
269	к сожалению	2	2
270	тогда когда	7	2
271	из которых	3	2
272	что так	3	2
273	не столько	2	2
274	что мы	6	2
275	смысле слова	3	2
276	можно ли	6	2
277	по себе	10	2
278	всяком случае	8	2
279	ни одного	2	2
280	для них	2	2
281	внимание на	5	2
282	как об	2	2
283	же как	3	2
284	должны быть	4	2
285	в противном	2	2
286	говорить о	5	2
287	самый факт	2	2
288	было в	2	2
289	и может	3	2
290	только о	3	2
291	е в	3	2
292	он не	4	2
293	свидетельствуют о	2	2
294	должна быть	6	2
295	ту же	6	2
296	но с	2	2
297	эта не	3	2
298	в большей	2	2
299	на язык	4	2
300	хотя и	7	2
301	лишь в	6	2
302	во всяком	8	2
303	противном случае	2	2
304	до сих	5	2
305	того как	6	2
306	в системе	3	2
