N	2gram	Tiupa_Lite	Tvorches
213	евгения онегина	2	3
214	как к	4	3
215	едва ли	5	3
216	для себя	6	3
217	друг друга	5	3
218	в виду	4	3
219	и тем	4	3
220	со стороны	6	3
221	в области	5	3
222	воздействие на	2	3
223	в искусстве	4	3
224	не по	2	3
225	как уже	3	3
226	к тому	3	3
227	во главе	2	3
228	свидетельствует о	3	3
229	в ней	4	3
230	одного из	4	3
231	на себя	4	3
232	другой стороны	5	3
233	всяком случае	2	3
234	во мне	2	3
235	себя как	2	3
236	по этому	2	3
237	в образах	2	3
238	и др	4	3
239	писателя в	2	3
240	эти слова	2	3
241	как мы	2	3
242	нового человека	2	3
243	но зато	2	3
244	да и	3	3
245	если в	2	3
246	в стихах	8	3
247	во многих	3	3
248	то в	3	3
249	из этих	2	3
250	в начале	4	3
251	с ее	3	3
252	а я	2	3
253	мысль о	2	3
254	автора в	2	3
255	во второй	2	3
256	я и	10	3
257	в статье	2	3
258	лишь в	4	3
259	и вот	2	3
260	не является	3	3
261	для того	2	3
262	во имя	3	3
263	у нас	5	3
264	себе не	2	3
265	со всеми	2	3
266	русской литературы	3	3
267	не с	2	3
268	в жизни	7	3
269	но уже	2	3
270	в себя	5	3
271	что для	2	3
272	жизни не	2	3
273	а по	2	3
274	на этом	3	3
275	он и	5	3
276	несмотря на	3	3
277	жизни и	6	3
278	перед ним	2	3
279	сводится к	4	3
280	и что	2	3
281	во всяком	3	3
282	и только	4	3
283	тому же	2	3
284	в одном	2	3
285	самому себе	2	2
286	данном случае	6	2
287	от автора	2	2
288	все более	3	2
289	в отношении	2	2
290	что ему	4	2
291	но как	3	2
292	но даже	2	2
293	в силу	4	2
294	по своей	3	2
295	что ты	2	2
296	классической литературы	3	2
297	есть не	2	2
298	должен быть	2	2
299	в стихотворении	17	2
300	литературная традиция	2	2
301	а как	2	2
302	и всегда	2	2
303	свою очередь	2	2
304	одном из	3	2
305	в формах	4	2
306	xviii века	2	2
307	а во	2	2
308	от других	2	2
309	и будет	2	2
310	из нас	2	2
311	с тем	2	2
312	е годы	3	2
313	для этой	2	2
314	на том	3	2
315	того же	5	2
316	и м	2	2
317	которая в	3	2
318	героя как	2	2
319	как некий	2	2
320	права на	4	2
321	в художественном	6	2
322	то это	2	2
323	целом ряде	2	2
324	а скорее	2	2
325	нуждается в	3	2
326	для них	2	2
327	героя с	2	2
328	духовной жизни	4	2
329	по выражению	2	2
330	было бы	4	2
331	же в	6	2
332	связи с	7	2
333	в сущности	5	2
334	в связи	4	2
335	в качестве	21	2
336	всю жизнь	2	2
337	в бою	2	2
338	в действительности	2	2
339	и того	2	2
340	жизни с	2	2
341	по поводу	2	2
342	самого себя	3	2
343	мышления и	3	2
344	но при	2	2
345	к достижению	2	2
346	в данном	7	2
347	в нашей	2	2
348	только то	3	2
349	же это	3	2
350	а к	2	2
351	отказа от	2	2
352	и нет	4	2
353	во всех	4	2
354	время не	2	2
355	о своем	3	2
356	тем не	4	2
357	в е	3	2
358	на читателя	2	2
359	не сводится	3	2
360	сам же	2	2
361	мир в	5	2
362	войне и	2	2
363	я от	2	2
364	мира в	4	2
365	мы чувствуем	2	2
366	вокруг себя	2	2
367	художественное произведение	2	2
368	на смену	6	2
369	в результате	2	2
370	у романтиков	2	2
371	одновременно с	2	2
372	отношении к	2	2
373	в жизнь	2	2
374	наконец в	2	2
375	в глазах	4	2
376	с одной	9	2
377	культуры и	2	2
378	же году	3	2
379	в сферу	2	2
380	то он	3	2
381	не имеет	2	2
382	и является	2	2
383	от всех	2	2
384	отказ от	7	2
385	нет не	2	2
386	столь же	5	2
387	человек в	2	2
388	все что	3	2
389	я в	12	2
390	своего я	2	2
391	в сфере	7	2
392	путь к	2	2
393	со своим	2	2
394	к своей	2	2
395	на первом	2	2
396	ко всему	4	2
397	от жизни	2	2
398	с их	3	2
399	из этого	2	2
400	своей собственной	2	2
401	том числе	2	2
402	не любил	2	2
403	не просто	2	2
404	как на	3	2
405	же и	3	2
406	за то	2	2
407	не к	3	2
408	о которой	2	2
409	как раз	6	2
410	нам представляется	3	2
