N	2gram	Nazirov_Tv	Freidism
239	и поэтому	2	2
240	когда человек	2	2
241	превращается в	2	2
242	дело не	3	2
243	и через	4	2
244	в глаза	2	2
245	его и	2	2
246	в отличие	3	2
247	в конце	5	2
248	как к	2	2
249	как по	2	2
250	друг друга	2	2
251	что идея	2	2
252	связана с	2	2
253	при помощи	4	2
254	и тем	2	2
255	можно не	2	2
256	в их	5	2
257	только для	2	2
258	человека как	2	2
259	и другие	4	2
260	и та	2	2
261	в момент	5	2
262	отличие от	3	2
263	человек может	2	2
264	в такой	2	2
265	с одной	2	2
266	а с	4	2
267	о нем	2	2
268	в мире	8	2
269	страх перед	2	2
270	в него	2	2
271	не имеет	2	2
272	только через	2	2
273	не есть	2	2
274	с другой	4	2
275	зависит от	4	2
276	с большим	3	2
277	стремление к	2	2
278	еще более	3	2
279	даже если	2	2
280	отказаться от	4	2
281	личности не	2	2
282	во многом	8	2
283	жизнь в	2	2
284	от других	2	2
285	представляет собой	4	2
286	и их	2	2
287	не то	2	2
288	это прежде	3	2
289	но если	4	2
290	идеи и	2	2
291	жизни но	2	2
292	но когда	2	2
293	же как	3	2
294	что с	2	2
295	воли и	3	2
296	мир по	2	2
297	в качестве	2	2
298	в первом	3	2
299	в дальнейшем	7	2
300	не к	2	2
301	рядом с	2	2
302	мира в	2	2
303	полную свободу	3	2
304	в нашей	2	2
