N	2gram	Bakhtin_KF	Problemy
333	его жизни	3	2
334	бы быть	5	2
335	и смысловой	2	2
336	и этот	3	2
337	не нужно	2	2
338	котором мы	3	2
339	есть лишь	5	2
340	но лишь	7	2
341	если я	2	2
342	одна и	2	2
343	при условии	2	2
344	мысль как	2	2
345	из нее	2	2
346	нигде не	3	2
347	в качестве	2	2
348	а следовательно	3	2
349	для того	3	2
350	для нас	4	2
351	отказаться от	2	2
352	всех его	2	2
353	все остальное	2	2
354	но ни	2	2
355	было и	2	2
356	мир где	5	2
357	не имеет	6	2
358	всей своей	2	2
359	всей его	2	2
360	подхода к	2	2
361	в свою	3	2
362	меня но	4	2
363	ее до	2	2
364	вся эта	2	2
365	но я	2	2
366	и навсегда	2	2
367	на первом	2	2
368	и она	2	2
369	мысль и	2	2
370	мир как	6	2
371	не способна	2	2
372	в категориях	4	2
373	и именно	2	2
374	и того	2	2
375	из самого	2	2
376	себя а	4	2
377	только как	4	2
378	человек не	2	2
379	из него	4	2
380	мира но	5	2
381	лишь с	2	2
382	не следует	2	2
383	мне как	3	2
384	быть не	2	2
385	дело здесь	2	2
386	один и	3	2
387	меня в	3	2
