N	2gram	Tiupa_Hudo	StatiiOP
323	в пределах	3	2
324	в отличие	7	2
325	не случайно	3	2
326	далеко не	4	2
327	всей его	2	2
328	по большей	2	2
329	своей жизни	2	2
330	входит в	4	2
331	имеем в	3	2
332	мог бы	3	2
333	роль в	2	2
334	в случае	2	2
335	для искусства	2	2
336	с их	2	2
337	только о	2	2
338	жизни но	2	2
339	быть и	2	2
340	имеем дело	2	2
341	художественного творчества	6	2
342	первой части	2	2
