N	2gram	Tiupa_Vved	Vvedenie
142	в себе	15	4
143	в своей	10	4
144	как раз	5	4
145	можно сказать	6	4
146	той же	3	4
147	однако не	2	4
148	никогда не	6	3
149	до конца	5	3
150	одна из	5	3
151	что это	2	3
152	на нее	2	3
153	или иной	5	3
154	в своем	9	3
155	а также	12	3
156	так же	2	3
157	в строгом	2	3
158	как оно	2	3
159	в начале	3	3
160	бы и	4	3
161	для этого	2	3
162	что она	2	3
163	к этому	3	3
164	не как	2	3
165	в другом	2	3
166	в значительной	2	3
167	в конце	3	3
168	отношение к	5	3
169	и здесь	2	3
170	если бы	10	3
171	в принципе	3	3
172	так называемой	2	3
173	в сущности	3	3
174	и вот	3	3
175	текста и	4	3
176	в этих	5	3
177	в силу	2	3
178	только на	2	3
179	в частности	19	3
180	как в	8	3
181	такого рода	23	3
182	не с	4	3
183	мы видели	3	3
184	стороны и	4	3
185	к нему	2	3
186	и на	5	3
187	может служить	4	3
188	зависит от	3	3
189	времени в	3	3
190	в текстах	2	3
191	в ней	5	3
192	входит в	2	3
193	в конечном	2	3
194	и к	2	3
195	однако в	9	3
196	своего рода	20	3
197	что же	6	3
198	от себя	2	3
199	здесь не	2	3
200	и того	3	3
201	при этом	43	3
202	своей природе	2	3
203	прошлом и	2	3
204	наряду с	2	3
205	той или	5	3
206	связи с	2	3
207	и есть	2	3
208	и сам	2	3
209	как будто	6	3
210	не следует	3	3
211	же самое	2	3
212	в этой	2	3
213	в слове	4	3
214	ничего не	3	2
215	о которых	2	2
216	у нас	4	2
217	и потому	2	2
218	во всех	2	2
219	не до	3	2
220	тем более	3	2
221	хотя в	2	2
222	при всей	3	2
223	бы в	4	2
224	не существует	3	2
225	в обоих	3	2
226	которые не	2	2
227	в этот	3	2
228	в соответствии	8	2
229	нашего времени	2	2
230	применительно к	2	2
231	подобно тому	3	2
232	а с	4	2
233	свою очередь	5	2
234	у них	3	2
235	этого не	2	2
236	обратим внимание	3	2
237	так и	14	2
238	ни к	3	2
239	к своему	2	2
240	и др	2	2
241	на протяжении	2	2
242	она была	2	2
243	ни с	2	2
244	в наиболее	3	2
245	тому что	2	2
246	это уже	2	2
247	на то	3	2
248	могло бы	4	2
249	о которой	4	2
250	состоит в	23	2
251	мог бы	2	2
252	в своих	5	2
253	будто бы	3	2
254	в свою	5	2
255	и с	2	2
256	истории в	6	2
257	о них	4	2
258	жизни как	2	2
259	котором он	2	2
260	которое в	4	2
261	соответствии с	8	2
262	но это	4	2
263	же касается	2	2
264	он и	2	2
265	не столько	5	2
266	что мы	2	2
267	мы можем	2	2
268	тому как	3	2
269	речь идет	3	2
270	себя в	4	2
271	несмотря на	2	2
272	ближе к	3	2
273	для них	3	2
274	жизни и	8	2
275	в ряду	2	2
276	возникает и	2	2
277	не было	5	2
278	большей части	4	2
279	тогда как	16	2
280	из него	2	2
281	мы не	6	2
282	что они	2	2
283	все равно	2	2
284	должна быть	3	2
285	не мог	2	2
286	из которой	2	2
287	например в	2	2
288	не к	4	2
289	во втором	4	2
290	быть и	2	2
291	этих случаях	2	2
