N	2gram	Trubetskoy	DiskursI
153	а к	2	4
154	в результате	9	4
155	этом случае	4	4
156	отличается от	6	4
157	тем не	4	4
158	я не	2	4
159	связи с	4	4
160	одним из	4	4
161	есть в	2	4
162	в жизни	3	4
163	в самом	8	4
164	не есть	4	4
165	и к	5	4
166	не более	2	4
167	с ним	6	4
168	вопрос о	3	3
169	не подлежит	3	3
170	в тех	3	3
171	в области	4	3
172	в одно	2	3
173	как на	6	3
174	гораздо менее	2	3
175	но как	2	3
176	о котором	7	3
177	но так	2	3
178	в точке	2	3
179	она не	2	3
180	на том	2	3
181	они не	2	3
182	более или	8	3
183	что на	2	3
184	между собой	4	3
185	них в	2	3
186	для этого	7	3
187	различия между	3	3
188	все эти	19	3
189	было бы	3	3
190	должна быть	6	3
191	как мы	3	3
192	и от	5	3
193	с этим	12	3
194	в начале	3	3
195	хотя бы	4	3
196	в которой	5	3
197	и по	3	3
198	как не	2	3
199	на первый	2	3
200	и наконец	3	3
201	как у	3	3
202	заключается в	3	3
203	и более	2	3
204	рассматривать как	2	3
205	или менее	8	3
206	но все	5	3
207	не имеет	2	3
208	их в	2	3
209	на почве	3	3
210	ближе к	3	3
211	всяком случае	2	3
212	жизни и	2	3
213	том случае	4	3
214	то ни	4	3
215	и сам	2	3
216	и что	9	3
217	и без	5	3
218	тем же	2	3
219	вместе с	7	3
220	очевидно что	3	2
221	у обоих	3	2
222	мы должны	4	2
223	от современной	4	2
224	каждый из	3	2
225	все то	2	2
226	как к	5	2
227	друг друга	2	2
228	быть и	5	2
229	и при	6	2
230	о которых	7	2
231	самом деле	12	2
232	одной и	2	2
233	по существу	7	2
234	мы видели	2	2
235	это обстоятельство	2	2
236	к нему	2	2
237	те же	2	2
238	а потому	5	2
239	к такому	2	2
240	не то	3	2
241	же не	3	2
242	быть признана	2	2
243	что с	6	2
244	себя и	2	2
245	все это	13	2
246	этого слова	2	2
247	же как	3	2
248	вовсе не	2	2
249	то с	2	2
250	бы то	3	2
251	представление о	3	2
252	и вообще	3	2
253	не от	2	2
254	тех же	2	2
255	различия в	3	2
256	том чтобы	2	2
257	к которой	3	2
258	только то	2	2
259	тем более	3	2
260	должно быть	5	2
261	что она	2	2
262	мы можем	6	2
263	на него	2	2
264	целый ряд	4	2
265	если бы	8	2
266	что как	4	2
267	быть вполне	2	2
268	чем у	8	2
269	ни было	3	2
270	для того	8	2
271	и их	5	2
272	с этой	3	2
273	такой же	2	2
274	заключает в	2	2
275	случаях когда	3	2
276	при отсутствии	2	2
277	том и	2	2
278	у него	5	2
279	со своими	2	2
280	на то	9	2
281	в самой	2	2
282	ни один	4	2
283	а между	8	2
284	и с	5	2
285	о них	2	2
286	но для	2	2
287	но на	2	2
288	из которых	4	2
289	со своей	2	2
290	может не	3	2
291	мы все	2	2
292	случае если	5	2
293	по его	2	2
294	и только	2	2
295	во всем	3	2
296	в нашем	3	2
297	этих двух	2	2
