N	2gram	Losev_Dial	Narrotol
181	что касается	3	4
182	представить себе	2	4
183	и когда	5	4
184	и по	5	4
185	что они	8	4
186	как мы	5	4
187	в основе	4	4
188	быть и	7	4
189	хотя бы	6	4
190	могла бы	2	4
191	к этому	2	4
192	это было	4	4
193	к ней	4	4
194	и как	14	4
195	которая не	2	4
196	не имеет	15	4
197	обратим внимание	2	4
198	со всеми	2	4
199	но они	2	4
200	не с	5	4
201	раз в	2	4
202	что я	5	4
203	и притом	7	4
204	в сфере	2	4
205	оно не	2	4
206	и с	10	4
207	не существует	8	4
208	по себе	39	4
209	мог бы	3	4
210	несмотря на	12	4
211	всяком случае	3	4
212	по своей	5	4
213	во всяком	5	4
214	не говорит	4	4
215	не к	2	4
216	вместе с	3	4
217	еще и	4	3
218	ни о	5	3
219	и потому	6	3
220	так же	6	3
221	но как	7	3
222	об одном	3	3
223	а потом	9	3
224	должен быть	2	3
225	а лишь	3	3
226	с этой	3	3
227	как известно	3	3
228	в виде	2	3
229	связано с	2	3
230	и вот	10	3
231	его не	7	3
232	не знает	2	3
233	а с	2	3
234	одно из	2	3
235	к ним	3	3
236	в него	2	3
237	и это	6	3
238	же не	4	3
239	точно так	3	3
240	что не	13	3
241	не бывает	2	3
242	же как	3	3
243	иметь в	4	3
244	все эти	4	3
245	связи с	3	3
246	и тогда	4	3
247	в связи	3	3
248	во время	2	3
249	времени в	2	3
250	и т	31	3
251	речь идет	2	3
252	в зависимости	2	3
253	все время	4	3
254	я уже	2	3
255	но это	12	3
256	можно было	5	3
257	о своем	2	3
258	только к	2	3
259	что она	18	3
260	если она	4	3
261	дело не	3	3
262	в которой	3	3
263	а о	2	3
264	по мере	3	3
265	даже если	4	3
266	зависимости от	2	3
267	от их	2	3
268	в этих	6	3
269	все равно	7	3
270	сих пор	4	3
271	перед лицом	2	3
272	не должен	2	3
273	со своими	2	3
274	он и	2	3
275	что мы	3	3
276	собственно говоря	5	3
277	только не	2	3
278	как она	7	3
279	с точки	18	3
280	говорит о	6	3
281	и что	17	3
282	говорить о	9	3
283	не обязательно	5	3
284	не просто	19	3
285	и только	5	3
286	что именно	3	3
287	же самое	3	3
288	от которой	2	3
289	чем он	2	3
290	тем же	3	3
291	но он	3	3
292	до сих	4	3
293	в каком	10	2
294	от всего	2	2
295	в которых	2	2
296	сливаются в	2	2
297	я сам	2	2
298	даже не	4	2
299	с той	2	2
300	или менее	5	2
301	также не	2	2
302	говоря о	2	2
303	что с	2	2
304	в их	5	2
305	им самим	2	2
306	как можно	2	2
307	это все	2	2
308	из жизни	2	2
309	после этого	3	2
310	так что	21	2
311	т п	3	2
312	быть в	5	2
313	и пространства	2	2
314	себе самом	2	2
315	только потому	4	2
316	указывает на	3	2
317	только с	3	2
318	в общем	2	2
319	не могу	9	2
320	более или	5	2
321	жизнь в	2	2
322	своей собственной	2	2
323	могут быть	6	2
324	по этой	2	2
325	быть может	5	2
326	бы она	2	2
327	с нею	3	2
328	можно ли	3	2
329	сомневаться в	2	2
330	что же	5	2
331	мере в	3	2
332	и другого	3	2
333	тем или	2	2
334	она сама	2	2
335	в сущности	2	2
336	личности в	2	2
337	никто не	2	2
338	вовсе не	19	2
339	одно и	8	2
340	если в	5	2
341	жизнь а	2	2
342	и вообще	10	2
343	это еще	2	2
344	и мы	8	2
345	тут же	2	2
346	но все	5	2
347	говорил о	2	2
348	другой стороны	7	2
349	сознания и	8	2
350	хотя в	3	2
351	и еще	4	2
352	есть своя	3	2
353	должно быть	7	2
354	бы в	3	2
355	это за	5	2
356	который не	2	2
357	мы можем	5	2
358	мысль о	2	2
359	субъекта и	4	2
360	тот кто	2	2
361	на первый	2	2
362	превращается в	2	2
363	все это	14	2
364	тем что	2	2
365	та же	6	2
366	не есть	67	2
367	в особенности	6	2
368	или точнее	2	2
369	как о	2	2
370	силу своей	2	2
371	и есть	20	2
372	себе не	7	2
373	что иное	4	2
374	смысл и	6	2
375	себе и	5	2
376	долго не	2	2
377	быть только	3	2
378	во всех	3	2
379	должна быть	5	2
380	и более	7	2
381	отношение к	5	2
382	и прочих	2	2
383	о своих	2	2
384	на нее	2	2
385	сами по	4	2
386	есть в	2	2
387	ни с	8	2
388	и является	2	2
389	но уже	3	2
390	о самом	2	2
391	точек зрения	3	2
392	он может	3	2
393	первый взгляд	2	2
394	себе но	2	2
395	когда он	2	2
396	или иначе	3	2
397	человеческого сознания	2	2
398	будто бы	3	2
399	того кто	2	2
400	у меня	4	2
401	с которым	2	2
402	как все	2	2
403	видно что	2	2
404	том смысле	4	2
405	таком случае	2	2
406	иное как	4	2
407	раз и	2	2
408	еще более	3	2
409	времени но	2	2
410	это и	6	2
411	может оказаться	2	2
412	человек и	2	2
413	как только	4	2
414	ни от	2	2
415	если же	2	2
416	но с	4	2
417	это время	3	2
418	смысл не	2	2
419	и всякий	3	2
420	мы будем	2	2
421	мы и	3	2
422	в системе	2	2
423	а потому	3	2
424	ясно что	11	2
