N	2gram	Propp_Russ	StatiiOP
332	и дело	2	3
333	от этого	2	3
334	также в	5	3
335	борьбы с	2	3
336	сцены из	2	3
337	чем у	2	3
338	судя по	2	3
339	иногда и	7	3
340	русского народа	3	3
341	во всей	2	3
342	не значит	2	3
343	их в	7	3
344	народа в	2	3
345	слова в	3	3
346	когда он	3	3
347	в свою	3	3
348	основана на	2	3
349	себя внимание	2	3
350	представляет собой	5	3
351	но что	2	3
352	в русском	4	3
353	так чтобы	2	3
354	к числу	2	3
355	в один	2	3
356	в первые	2	3
357	не к	3	3
358	что при	2	3
359	тем и	4	3
360	что от	4	2
361	совпадают с	3	2
362	чем можно	2	2
363	в таких	3	2
364	в иных	2	2
365	его к	3	2
366	них как	2	2
367	в настоящее	3	2
368	также не	2	2
369	но есть	3	2
370	того в	3	2
371	этой работы	2	2
372	это имеет	4	2
373	с элементами	2	2
374	свою очередь	2	2
375	у них	2	2
376	и при	2	2
377	отличие от	4	2
378	по своему	2	2
379	мы видели	3	2
380	в деревне	5	2
381	к вопросу	2	2
382	для этой	3	2
383	на этой	3	2
384	этом не	2	2
385	советское время	4	2
386	ту же	2	2
387	в советское	4	2
388	настоящее время	3	2
389	какой степени	3	2
390	к слову	3	2
391	между собой	4	2
392	жизнь и	2	2
393	в эти	4	2
394	по содержанию	3	2
395	для них	5	2
396	в разных	3	2
397	но вместе	3	2
398	тогда как	4	2
399	и всей	2	2
400	из самых	2	2
401	что если	2	2
402	тот же	2	2
403	только тогда	3	2
404	и от	2	2
405	только по	2	2
406	тут же	2	2
407	когда мы	2	2
408	его с	4	2
409	в равной	2	2
410	и н	2	2
411	и еще	2	2
412	с ней	7	2
413	из своих	2	2
414	чтобы сделать	2	2
415	за ним	3	2
416	как правило	4	2
417	видел в	2	2
418	с г	2	2
419	в середине	4	2
420	таком виде	2	2
421	так называемой	3	2
422	как по	2	2
423	в летописях	2	2
424	к материалу	2	2
425	не означает	2	2
426	чаще всего	3	2
427	только одно	2	2
428	или с	4	2
429	в пределах	2	2
430	и из	3	2
431	в отличие	4	2
432	что есть	2	2
433	ко времени	3	2
434	к нам	2	2
435	а за	4	2
436	значение в	2	2
437	не случайно	2	2
438	далеко не	5	2
439	говорится о	3	2
440	и другой	5	2
441	сразу же	2	2
442	входит в	4	2
443	на которой	2	2
444	к другу	2	2
445	воспоминания о	2	2
446	их и	3	2
447	что один	2	2
448	г где	2	2
449	связь между	2	2
450	как не	2	2
451	в поле	18	2
452	которого в	2	2
453	его жизнь	2	2
454	пишет в	5	2
455	на что	2	2
456	быть и	3	2
457	не оставляет	2	2
458	все в	2	2
459	области изучения	2	2
460	на все	3	2
