N	2gram	Tiupa_Vved	Dialekti
378	них как	2	2
379	наряду с	2	2
380	роль в	2	2
381	свою очередь	5	2
382	потому не	2	2
383	друг от	2	2
384	своей жизни	3	2
385	и др	2	2
386	в аспекте	3	2
387	на его	2	2
388	те же	2	2
389	во втором	4	2
390	однако в	9	2
391	своей природе	2	2
392	ее не	2	2
393	начало и	2	2
394	и опять	2	2
395	первые две	2	2
396	у нее	4	2
397	мысль о	2	2
398	слова и	3	2
399	основывается на	2	2
400	обратим внимание	3	2
401	своей истории	2	2
402	было и	2	2
403	не должен	2	2
404	определенного рода	2	2
405	всей его	2	2
406	строго говоря	2	2
407	не вполне	4	2
408	от друга	2	2
409	о них	4	2
410	сливаются в	2	2
411	еще в	3	2
412	которое в	4	2
413	внимание на	4	2
414	из него	2	2
415	день и	2	2
416	в нашем	9	2
417	жизни не	2	2
418	мира не	2	2
419	как для	3	2
420	в обоих	3	2
421	то есть	13	2
422	жизни так	2	2
423	времени в	3	2
424	к которому	2	2
425	и вся	3	2
426	связано с	3	2
427	от них	2	2
428	в бытии	3	2
429	природе своей	2	2
430	одного из	3	2
431	человеческой жизни	4	2
432	ближе к	3	2
433	не предполагает	2	2
434	как образ	2	2
435	когда в	2	2
436	было в	2	2
437	мира а	2	2
438	имеет место	6	2
439	могла бы	3	2
440	но при	7	2
441	как оно	2	2
442	отличаться от	2	2
443	в целом	4	2
444	на нее	2	2
445	которые не	2	2
446	бывает в	2	2
447	первых двух	3	2
448	сознания ни	2	2
449	которые могут	2	2
450	человека в	2	2
451	жизни в	5	2
452	а для	2	2
453	бытия то	2	2
454	перед лицом	4	2
455	он является	2	2
456	на этот	2	2
457	всей своей	4	2
458	которое не	2	2
459	по этой	2	2
460	человек в	4	2
461	к его	5	2
462	по природе	2	2
463	но также	2	2
464	и сам	2	2
465	которая в	3	2
466	как его	2	2
467	мира в	8	2
468	и сами	2	2
