N	2gram	Vinokur_Vv	Myshleni
235	в начале	3	15
236	от этого	5	15
237	подобно тому	2	15
238	представить себе	7	15
239	хотя бы	6	15
240	вообще не	3	15
241	как она	4	15
242	ничего не	2	15
243	и это	6	15
244	в них	5	15
245	со всей	3	14
246	это есть	2	14
247	когда мы	2	14
248	одной из	4	14
249	но что	3	14
250	одно и	2	14
251	о чем	4	14
252	свою очередь	2	14
253	об этом	6	14
254	одним из	5	14
255	и здесь	3	14
256	этих двух	2	14
257	все более	4	13
258	но все	4	13
259	в виде	4	13
260	точно так	2	13
261	другом месте	2	13
262	с ней	2	13
263	связана с	4	13
264	слова как	2	13
265	факт что	2	13
266	для объяснения	2	13
267	его к	2	13
268	стороны и	3	13
269	по самой	2	13
270	смысле слова	7	13
271	и потому	2	12
272	а затем	2	12
273	в ее	11	12
274	в первом	5	12
275	тем не	9	12
276	входит в	3	12
277	с которыми	2	12
278	выражение в	2	12
279	несмотря на	2	12
280	в ней	3	12
281	и обратно	4	12
282	с их	5	12
283	свое выражение	3	12
284	том чтобы	6	12
285	ясно что	11	12
286	только на	3	12
287	к нему	3	12
288	мог бы	2	12
289	в каком	3	11
290	в конце	3	11
291	одно из	5	11
292	а только	8	11
293	есть не	5	11
294	и при	2	11
295	на котором	2	11
296	на том	3	11
297	ответ на	4	11
298	например в	2	11
299	наряду с	3	11
300	гораздо более	3	11
301	нуждается в	3	11
302	не могли	2	11
303	лежит в	2	11
304	относящихся к	4	11
305	не столько	2	11
306	вот почему	3	11
307	только по	3	11
308	не совпадает	2	10
309	но вместе	2	10
310	не иначе	2	10
311	у нас	2	10
312	что такое	12	10
313	в следующем	2	10
314	каким образом	2	10
315	о которых	2	10
316	или иной	3	10
317	за собой	3	10
318	речь идет	2	10
319	в основу	2	10
320	представляют собой	9	10
321	в конечном	3	10
322	виде в	2	10
323	мы называем	2	10
324	во второй	3	10
325	внимание на	5	10
326	этот процесс	4	10
327	учение о	2	10
328	что именно	2	10
329	такого рода	3	9
330	и заключается	4	9
331	само по	4	9
332	движение от	2	9
333	также и	20	9
334	мы говорим	3	9
335	этого понятия	5	9
336	хотя и	5	9
337	как оно	3	9
338	сама по	3	9
339	зависит от	3	9
340	как только	2	9
341	в тех	2	9
342	что уже	3	9
343	что можно	2	9
344	путь от	2	9
345	понятно что	3	9
346	но с	5	9
347	и до	2	9
348	той или	3	9
349	что же	3	9
350	не с	3	9
351	должен быть	4	9
352	говорить о	5	9
353	нисколько не	3	8
354	что не	5	8
355	себе и	2	8
356	со стороны	16	8
357	дело с	9	8
358	и др	2	8
359	увидим что	2	8
360	в этот	2	8
361	из двух	4	8
362	должен был	4	8
363	не как	3	8
364	это понятие	2	8
365	в более	4	8
366	который по	2	8
367	уже и	10	8
368	все равно	2	8
369	стоит в	2	8
370	в известной	3	8
371	и из	2	8
372	сам по	2	8
373	во внимание	3	8
374	этой области	3	8
375	не мог	2	8
376	бы с	2	8
377	и те	2	8
378	и тогда	3	8
379	о котором	8	8
380	в течение	5	8
381	самой своей	2	8
382	отношении к	2	8
383	при помощи	3	7
384	у них	2	7
385	этому поводу	3	7
386	должна быть	2	7
387	первом случае	2	7
388	а также	3	7
389	находятся в	2	7
390	самое что	2	7
391	том виде	3	7
392	в разных	7	7
393	в общем	14	7
394	с теми	2	7
395	это в	2	7
396	не существует	2	7
397	он сам	3	7
398	и сам	3	7
399	что следовательно	2	7
400	имеет свою	2	7
401	во втором	2	7
402	до того	2	7
403	в значительной	3	7
404	своему значению	2	7
405	с понятием	3	7
406	в ряде	2	7
407	в обоих	2	7
408	мере в	6	7
409	от действительности	2	7
410	случае не	2	7
411	со словом	2	7
412	природе и	2	6
413	момента в	2	6
414	само собой	2	6
415	в каждом	4	6
416	что здесь	2	6
417	значение и	2	6
418	и вообще	3	6
419	можно считать	2	6
420	что иное	5	6
421	себе что	3	6
422	применительно к	2	6
423	том смысле	2	6
424	как например	6	6
425	говорит о	3	6
426	бы и	3	6
427	могло бы	2	6
428	уже не	6	6
429	еще и	4	6
430	иное как	6	6
431	вопросу о	2	6
432	дело в	5	6
433	которого мы	2	6
434	как увидим	2	6
435	одна из	3	6
436	что может	3	6
437	то о	2	6
438	действительности в	2	6
439	не что	5	6
440	которая как	2	6
441	в различных	5	6
442	могут не	2	5
443	вообще в	2	5
444	видит в	4	5
445	после того	2	5
446	если это	2	5
447	ближе к	2	5
448	о которой	2	5
449	в изучении	3	5
450	есть только	2	5
451	деятельности и	2	5
452	так называемая	2	5
453	в свое	3	5
454	что к	2	5
455	только с	4	5
456	для них	2	5
457	что каждая	2	5
458	себя в	2	5
459	о языке	6	5
460	большей мере	4	5
461	вообще и	3	5
462	возникает вопрос	2	5
463	конце концов	2	5
464	быть в	5	5
465	а потому	5	5
466	что представляет	3	5
467	прийти к	2	5
468	каждой из	6	5
469	принять во	2	5
470	в ряду	2	5
471	той мере	6	5
472	ответа на	3	5
473	может служить	3	5
474	сомнений в	2	5
475	дело не	5	5
476	на протяжении	2	5
477	как такового	3	5
478	язык и	3	5
479	действительность в	4	5
480	только как	7	5
481	свое время	3	5
482	не просто	5	5
483	в форме	2	5
484	в большей	7	5
485	однако не	4	5
486	и вот	3	4
487	образом по	2	4
488	относящиеся к	3	4
489	а как	5	4
490	от других	2	4
491	так например	6	4
492	однако в	3	4
493	культурного развития	3	4
494	в дальнейшем	2	4
495	рядом с	2	4
496	на нее	3	4
497	время в	2	4
498	в определенной	2	4
499	в центре	4	4
500	целом ряде	2	4
501	идет речь	3	4
502	из него	2	4
503	в каждой	2	4
504	в работах	2	4
505	одновременно и	3	4
506	нам не	2	4
507	в применении	7	4
508	совсем не	3	4
509	чтобы понять	4	4
510	те кто	2	4
511	из его	2	4
512	хотя в	2	4
513	собой в	2	4
514	но ведь	4	4
515	это очевидно	2	4
516	меньшей мере	2	4
517	может оказаться	3	4
518	не к	2	4
519	ее от	2	4
520	и сама	2	4
521	для нее	2	4
522	как о	4	4
523	а именно	6	4
524	что обе	2	4
525	большей степени	2	4
526	первый из	2	4
527	в чисто	4	4
528	не до	2	4
529	языка на	2	4
530	и со	2	4
531	или как	3	4
532	есть и	5	4
533	знания в	3	4
534	только после	2	4
535	имеет дело	5	4
536	как будто	3	4
537	в очень	3	4
538	чем говорится	3	4
539	в известных	2	4
540	может ли	2	4
541	проблемы и	2	4
542	по тем	2	4
543	в наиболее	2	4
544	здесь не	3	4
545	влечет за	2	4
546	жизни и	2	4
547	приходим к	5	4
548	к самой	2	4
549	то это	3	4
550	нет надобности	3	4
551	языке и	4	4
552	не было	2	4
553	языка в	5	4
554	нельзя не	6	4
555	чем же	3	4
556	языка так	2	4
557	деле как	2	3
558	это делает	2	3
559	другого рода	2	3
560	с чем	2	3
561	следовательно и	2	3
562	к своему	2	3
563	она есть	5	3
564	значительной мере	2	3
565	целое и	2	3
566	чем больше	2	3
567	тех или	3	3
568	это сказывается	2	3
569	спросить себя	3	3
570	более общего	2	3
571	именно на	2	3
572	в языке	2	3
573	знаний и	4	3
574	вопрос что	2	3
575	каждый из	2	3
576	соответствии с	2	3
577	было сказано	3	3
578	этой работы	3	3
579	после этого	2	3
580	философии и	2	3
581	должна была	2	3
582	из которой	2	3
583	сливается с	3	3
584	и совершенно	2	3
585	языка но	2	3
586	тогда как	2	3
587	из истории	2	3
588	свое значение	2	3
589	это еще	2	3
590	по признаку	2	3
591	же это	2	3
592	к проблемам	2	3
593	к истории	6	3
594	как нечто	8	3
595	но уже	2	3
596	он и	2	3
597	двоякого рода	2	3
598	по его	2	3
599	и без	2	3
600	в соответствии	2	3
601	или нет	2	3
602	он мог	3	3
603	известной мере	2	3
604	что даже	3	3
605	всего того	3	3
606	отношениях между	2	3
607	и сейчас	2	3
608	применении к	6	3
609	язык в	3	3
610	изучение этих	2	3
611	языка с	2	3
612	или иных	3	3
613	языка не	2	3
614	возникает и	2	3
615	если же	2	3
616	и именно	13	3
617	к таким	2	3
618	работа над	2	3
619	слове но	2	3
620	и вопрос	2	3
621	этого термина	3	3
622	и наоборот	3	3
623	да и	4	3
624	в прошлом	2	3
625	но также	16	3
626	и история	4	3
627	в научной	2	3
628	или иначе	4	3
629	чтобы он	2	3
630	так чтобы	3	3
631	смысле и	2	3
632	собой нечто	2	3
633	же время	6	3
634	только о	2	3
635	этих случаях	2	3
636	с чисто	3	2
637	если таким	2	2
638	поставить в	2	2
639	что остается	2	2
640	ни одна	2	2
641	не бывает	2	2
642	что чем	2	2
643	отсюда возникает	2	2
644	работы над	6	2
645	как явление	2	2
646	ни к	2	2
647	изложения и	2	2
648	можно говорить	3	2
649	этих понятий	2	2
650	что научное	2	2
651	к числу	2	2
652	будет в	2	2
653	в таких	2	2
654	значении этого	2	2
655	этого рода	9	2
656	и представить	2	2
657	этого не	2	2
658	как две	3	2
659	в руки	6	2
660	именно как	3	2
661	которое в	2	2
662	том или	2	2
663	есть еще	3	2
664	так называемых	4	2
665	особого рода	4	2
666	как сказано	2	2
667	него в	2	2
668	не следует	3	2
669	лишь как	2	2
670	том отношении	3	2
671	в достаточной	2	2
672	этой книги	2	2
673	так называемое	2	2
674	критики и	2	2
675	и этого	3	2
676	научного исследования	4	2
677	это во-первых	2	2
678	две части	2	2
679	следует что	2	2
680	смысле как	3	2
681	а если	2	2
682	его можно	2	2
683	тем или	2	2
684	быть названы	2	2
685	и т	45	2
686	оказалось что	2	2
687	сильнее чем	2	2
688	но зато	2	2
689	можно только	2	2
690	какой бы	2	2
691	время не	2	2
692	дело заключается	2	2
693	понять что	3	2
694	здесь нет	4	2
695	направление в	3	2
696	это может	2	2
697	как совокупность	2	2
698	в принципе	3	2
699	языков в	3	2
700	и требует	2	2
701	котором он	2	2
702	не признать	4	2
703	не исчерпывается	2	2
704	не нужно	2	2
705	и собственно	2	2
706	и уже	3	2
707	с полной	2	2
708	как целое	3	2
709	смысле в	2	2
710	и должно	2	2
711	т.д в	2	2
712	и так	2	2
713	знания и	3	2
714	или иным	2	2
715	к какому	2	2
716	с научной	2	2
