N	2gram	Berdyaev_M	DiskursI
120	в значительной	2	5
121	на протяжении	2	5
122	в свою	5	5
123	подобно тому	2	5
124	оно не	3	5
125	на этом	5	5
126	в той	3	5
127	перед ним	3	5
128	не к	6	5
129	в ней	23	5
130	тем что	7	5
131	не о	2	4
132	до конца	16	4
133	не могут	6	4
134	более чем	3	4
135	не знают	4	4
136	у них	4	4
137	по своему	3	4
138	и это	16	4
139	человеческой жизни	4	4
140	его на	4	4
141	что не	3	4
142	и во	5	4
143	что они	4	4
144	должны быть	3	4
145	в наше	2	4
146	с ней	3	4
147	а к	2	4
148	по преимуществу	4	4
149	отличается от	2	4
150	я не	4	4
151	одним из	2	4
152	есть в	3	4
153	в жизни	7	4
154	в самом	15	4
155	человеческого сознания	3	4
156	будто бы	3	4
157	не есть	21	4
158	и к	9	4
159	со своим	2	4
160	жизни а	3	4
161	по себе	2	4
162	не для	2	4
163	к другому	4	4
164	и есть	21	4
165	с ним	5	4
166	самому себе	2	3
167	вопрос о	7	3
168	истории в	2	3
169	для человека	5	3
170	различие между	2	3
171	он мог	2	3
172	в иных	3	3
173	это и	7	3
174	в момент	3	3
175	они и	3	3
176	она не	9	3
177	на том	3	3
178	они не	4	3
179	об этом	2	3
180	и он	21	3
181	живет в	2	3
182	не бывает	3	3
183	для этого	3	3
184	все эти	3	3
185	было бы	11	3
186	мы не	2	3
187	начало в	3	3
188	должна быть	7	3
189	к миру	3	3
190	и от	3	3
191	с этим	4	3
192	в начале	2	3
193	его как	2	3
194	особенно в	3	3
195	с их	2	3
196	хотя бы	8	3
197	в которой	8	3
198	к ней	6	3
199	и по	4	3
200	бы это	2	3
201	но также	2	3
202	принадлежат к	3	3
203	обнаруживается в	2	3
204	как у	2	3
205	на смену	3	3
206	чем не	3	3
207	образ человека	8	3
208	и более	2	3
209	с человеком	2	3
210	отношения к	6	3
211	не имеет	7	3
212	когда он	3	3
213	входит в	3	3
214	к чему	5	3
215	личности в	4	3
216	на почве	3	3
217	мира с	2	3
218	уже в	6	3
219	жизни и	6	3
220	место в	4	3
221	момент в	5	3
222	о себе	3	3
223	в первых	2	3
224	и что	4	3
225	жизни не	2	3
226	и без	2	3
227	вместе с	7	3
228	от его	3	2
229	в отношении	6	2
230	чтобы не	4	2
231	в записках	2	2
232	к одному	2	2
233	его к	2	2
234	и быть	2	2
235	не ведет	3	2
236	не имеют	2	2
237	они были	2	2
238	для человеческого	3	2
239	в каждом	4	2
240	как к	2	2
241	друг друга	12	2
242	есть не	9	2
243	другого в	2	2
244	быть и	2	2
245	бы его	2	2
246	в любви	12	2
247	от своего	2	2
248	света и	2	2
249	к своему	2	2
250	самом деле	2	2
251	с таким	2	2
252	одной и	2	2
253	в чем	3	2
254	его не	5	2
255	всего в	2	2
256	в россии	2	2
257	в него	3	2
258	к нему	8	2
259	о мире	2	2
260	только с	3	2
261	мысли о	3	2
262	жизнь в	4	2
263	те же	5	2
264	разного рода	2	2
265	преступления и	4	2
266	же не	2	2
267	о своей	2	2
268	себя и	6	2
269	все это	6	2
270	интерес к	5	2
271	не от	3	2
272	к которой	4	2
273	его с	4	2
274	должно быть	5	2
275	что она	5	2
276	мысли и	2	2
277	к концу	5	2
278	перед собой	2	2
279	целый ряд	2	2
280	на деле	4	2
281	если бы	5	2
282	бессмертие и	2	2
283	и той	2	2
284	сознания в	2	2
285	чем у	8	2
286	для того	4	2
287	и их	3	2
288	с этой	4	2
289	за его	2	2
290	себе и	4	2
291	отношении к	4	2
292	нас в	3	2
293	заключает в	3	2
294	не был	8	2
295	обращен к	8	2
296	и должно	3	2
297	на этот	2	2
298	у него	38	2
299	ни с	4	2
300	человека с	2	2
301	в самой	8	2
302	человек в	12	2
303	еще более	3	2
304	и с	6	2
305	путь к	2	2
306	но для	2	2
307	личности и	3	2
308	но на	2	2
309	всякий раз	2	2
310	со своей	2	2
311	может не	3	2
312	природу и	2	2
313	он сам	11	2
314	человек не	17	2
315	что было	2	2
316	человеческой индивидуальности	2	2
317	во всем	5	2
318	в нашем	2	2
319	на большую	2	2
320	а как	2	2
321	он ни	2	2
