N	2gram	Losev_Dial	KFilosof
130	на самом	2	3
131	от него	2	3
132	здесь не	2	3
133	сознания и	5	3
134	человека и	2	3
135	всех этих	3	3
136	от того	9	3
137	есть момент	2	3
138	это и	12	3
139	тем что	5	3
140	и тем	3	3
141	моменты и	2	3
142	та же	5	3
143	ибо все	2	3
144	прошлое и	2	3
145	для того	4	3
146	самом деле	7	3
147	в виду	12	3
148	бытие и	3	3
149	людей и	2	3
150	к чему	2	3
151	лишь как	4	3
152	и пр	16	3
153	по своему	2	3
154	нет и	5	3
155	не менее	11	3
156	не должно	2	3
157	и ни	3	3
158	независимо от	3	3
159	о том	11	3
160	не могу	2	3
161	что этот	3	3
162	в ней	4	3
163	меня и	2	3
164	могут быть	5	3
165	но для	3	3
166	и этим	3	3
167	тогда когда	9	3
168	и та	4	3
169	и совершенно	2	3
170	и на	6	3
171	в данный	2	3
172	что не	8	3
173	того что	22	3
174	мы не	11	3
175	данный момент	2	3
176	той или	3	3
177	и может	2	3
178	и делает	2	3
179	был бы	2	3
180	меня в	2	3
181	не имеем	3	3
182	бы и	2	3
183	быть и	7	3
184	ясно что	16	3
185	не о	6	2
186	и то	7	2
187	утверждение себя	2	2
188	чтобы не	4	2
189	для этого	3	2
190	смысла и	3	2
191	и мы	6	2
192	или иной	4	2
193	и потому	6	2
194	в данном	6	2
195	сознание но	2	2
196	я уже	9	2
197	его на	3	2
198	сознания в	2	2
199	можно и	6	2
200	себе а	2	2
201	говорить о	13	2
202	и ее	8	2
203	не потому	2	2
204	то ни	4	2
205	к этому	3	2
206	дело не	2	2
207	вопрос о	9	2
208	это было	5	2
209	в это	4	2
210	с ее	10	2
211	из нее	2	2
212	а это	2	2
213	тем не	10	2
214	как к	2	2
215	и как	13	2
216	если я	2	2
217	в виде	11	2
218	то или	4	2
219	есть действительно	2	2
220	пространства и	3	2
221	весь мир	3	2
222	всей его	2	2
223	а как	2	2
224	были бы	2	2
225	что он	18	2
226	из которых	4	2
227	со всеми	2	2
228	или как	3	2
229	а для	2	2
230	все остальное	4	2
231	так и	11	2
232	ни к	3	2
233	смысле не	4	2
234	жизнь и	9	2
235	что есть	6	2
236	нем не	2	2
237	едва ли	2	2
238	в жизни	4	2
239	с тем	4	2
240	это уже	2	2
241	как в	2	2
242	при условии	5	2
243	от этого	5	2
244	думать что	3	2
245	в него	2	2
246	одна и	3	2
247	тому что	5	2
248	можно ли	6	2
249	она не	10	2
250	своей истории	2	2
251	и она	4	2
252	он может	2	2
253	на нем	3	2
254	и само	3	2
255	оно не	7	2
256	не нужно	2	2
257	есть именно	6	2
258	мы говорим	4	2
259	однако что	2	2
260	если не	3	2
261	но я	2	2
262	чего не	7	2
263	в процессе	2	2
264	он и	3	2
265	ее от	2	2
266	себя как	3	2
267	по себе	31	2
268	потому что	21	2
269	не будет	5	2
270	раз и	3	2
271	может не	4	2
272	чтобы быть	5	2
273	общего не	2	2
274	или иное	4	2
275	и когда	4	2
276	что эта	2	2
277	и эти	2	2
278	ведь это	2	2
279	и смерти	2	2
280	же время	5	2
281	ничего общего	2	2
282	это есть	19	2
283	быть не	3	2
284	в этой	3	2
285	бы то	3	2
286	будет ли	5	2
287	с его	7	2
288	в некое	2	2
