N	2gram	Savitsky_E	Vladivir
224	по своим	3	4
225	прочим и	2	3
226	второй половине	2	3
227	в будущем	3	3
228	свою очередь	2	3
229	в силу	2	3
230	между ними	2	3
231	точка зрения	2	3
232	для понимания	2	3
233	этот факт	3	3
234	именно к	2	3
235	не нужно	2	3
236	в полной	4	3
237	для них	2	3
238	отметить что	3	3
239	же как	5	3
240	и этот	2	3
241	и выше	7	3
242	во многих	4	3
243	в свои	2	3
244	бы в	2	3
245	себе не	3	3
246	отношении к	15	3
247	влияние на	2	3
248	в мире	2	3
249	думать что	8	3
250	ни на	3	3
251	которого мы	2	3
252	в какой	2	3
253	в которых	3	3
254	в сторону	2	3
255	что к	2	3
256	можно думать	3	3
257	как будто	2	3
258	притом в	2	3
259	утверждать что	2	2
260	не является	3	2
261	в известных	2	2
262	ними и	2	2
263	как было	3	2
264	ни было	4	2
265	если этот	2	2
266	в существе	2	2
267	но именно	2	2
268	но по	2	2
269	и ту	2	2
270	на месте	2	2
271	стороны и	6	2
272	или по	2	2
273	не из	3	2
274	к такой	2	2
275	мира и	3	2
276	поскольку она	2	2
277	можно ли	3	2
278	можно утверждать	2	2
279	в ее	8	2
280	то не	2	2
281	той или	4	2
282	должна быть	2	2
283	известной степени	3	2
284	что эти	2	2
285	если в	2	2
286	имеет в	2	2
287	с другими	2	2
288	от этого	5	2
289	как не	2	2
290	но еще	2	2
291	она в	3	2
292	во всей	2	2
293	например с	2	2
294	к той	2	2
295	при условии	2	2
296	в порядке	2	2
297	в англию	2	2
298	в другой	2	2
299	тогда когда	2	2
300	не можем	2	2
301	и поэтому	2	2
302	в той	5	2
303	и того	2	2
304	в некоторых	2	2
305	а тем	2	2
