N	2gram	Berdyaev_M	formyVre
147	есть и	6	6
148	есть не	9	6
149	но эта	2	6
150	а как	2	6
151	с самим	5	6
152	с тем	10	6
153	ни одного	2	6
154	мы видим	4	6
155	сказать что	5	6
156	только и	7	6
157	в начале	2	6
158	особенно в	3	6
159	за пределы	5	6
160	мы не	2	6
161	и самое	3	6
162	в сущности	2	6
163	смысле слова	7	6
164	нет и	6	6
165	о том	5	6
166	раскрывается в	6	6
167	все что	5	6
168	в эпоху	2	6
169	в которых	5	6
170	бы ни	2	6
171	что было	2	6
172	как человек	2	5
173	не имеют	2	5
174	о чем	3	5
175	по своей	4	5
176	был бы	11	5
177	он должен	4	5
178	так что	3	5
179	xix века	4	5
180	одно из	3	5
181	от этого	4	5
182	в него	3	5
183	они не	4	5
184	что все	5	5
185	не были	2	5
186	что они	4	5
187	в этой	12	5
188	и от	3	5
189	хотя бы	8	5
190	бы он	2	5
191	в своей	18	5
192	по преимуществу	4	5
193	об этом	2	5
194	тем что	7	5
195	с этой	4	5
196	чем не	3	5
197	самим собою	2	5
198	не имеет	7	5
199	вообще не	2	5
200	человек в	12	5
201	но на	2	5
202	той же	3	5
203	не для	2	4
204	его на	4	4
205	от него	4	4
206	по себе	2	4
207	по отношению	4	4
208	не был	8	4
209	друг друга	12	4
210	что он	16	4
211	как он	4	4
212	как у	2	4
213	людей и	5	4
214	они были	2	4
215	любви и	3	4
216	человеческая жизнь	2	4
217	свет и	2	4
218	в чем	3	4
219	что не	3	4
220	и те	4	4
221	у достоевского	75	4
222	совсем не	3	4
223	для них	3	4
224	он был	18	4
225	из самых	9	4
226	принадлежит к	3	4
227	быть и	2	4
228	к концу	5	4
229	и вот	7	4
230	у нас	13	4
231	все равно	3	4
232	себе и	4	4
233	лишь как	3	4
234	же и	2	4
235	и более	2	4
236	человеческой природы	27	4
237	прежде чем	2	4
238	мир и	3	4
239	в своих	4	4
240	момент в	5	4
241	со своей	2	4
242	же что	2	4
243	это и	7	4
244	во всем	5	4
245	в нашем	2	4
246	все в	7	4
247	чем в	3	4
248	нет ни	3	3
249	вопрос о	7	3
250	и всегда	3	3
251	у данте	3	3
252	которые в	2	3
253	его к	2	3
254	ему как	3	3
255	есть только	2	3
256	добродетели и	2	3
257	ни с	4	3
258	человека но	5	3
259	в человека	4	3
260	он весь	8	3
261	он хочет	4	3
262	и характер	2	3
263	в трагедии	3	3
264	нем не	2	3
265	самого человека	3	3
266	по сравнению	3	3
267	тому что	2	3
268	она не	9	3
269	на одной	2	3
270	жизнь в	4	3
271	в более	4	3
272	природой и	3	3
273	но это	8	3
274	и самый	2	3
275	на этом	5	3
276	это значит	3	3
277	в центре	4	3
278	литературы и	2	3
279	в человеческой	5	3
280	но она	3	3
281	нет в	5	3
282	бы в	3	3
283	все время	3	3
284	и еще	3	3
285	бы и	8	3
286	менее всего	10	3
287	этими двумя	2	3
288	к ней	6	3
289	в значительной	2	3
290	и здесь	6	3
291	целый ряд	2	3
292	одна и	3	3
293	к другу	6	3
294	мы увидим	4	3
295	бы не	4	3
296	на земле	7	3
297	он ни	2	3
298	в царстве	2	3
299	его и	2	3
300	ни к	2	3
301	нас в	3	3
302	что есть	7	3
303	по своему	3	3
304	человеческого общества	3	3
305	друг за	2	3
306	от всех	2	3
307	в творчестве	13	3
308	на почве	3	3
309	жизни не	2	3
310	в свою	5	3
311	жизни а	3	3
312	момент его	2	3
313	которой он	2	3
314	друг к	6	3
315	к другому	4	3
316	человеческого образа	3	3
317	человек не	17	3
318	у всех	4	3
319	и жизнь	3	3
320	и есть	21	3
321	сравнению с	2	3
322	не быть	2	3
323	не к	6	3
324	от природы	3	3
325	не мог	6	3
326	не о	2	2
327	в каком	2	2
328	ее и	2	2
329	мир на	2	2
330	человек и	7	2
331	в человеке	10	2
332	приходит к	2	2
333	и поэтому	3	2
334	если в	2	2
335	в духе	6	2
336	оказывается что	2	2
337	в каждом	4	2
338	он так	2	2
339	бога и	13	2
340	в иной	3	2
341	в пути	3	2
342	него есть	2	2
343	и каждый	2	2
344	он же	3	2
345	вера в	3	2
346	лишь один	2	2
347	должен быть	4	2
348	ведь это	2	2
349	бы его	2	2
350	самом деле	2	2
351	и своеобразный	2	2
352	и вместе	4	2
353	его не	5	2
354	и историческое	2	2
355	значит что	4	2
356	человека не	6	2
357	к нему	8	2
358	от этой	2	2
359	они и	3	2
360	вовлечены в	2	2
361	разного рода	2	2
362	живет в	2	2
363	природы в	5	2
364	с которой	2	2
365	разных местах	2	2
366	отношении к	4	2
367	жизни это	4	2
368	и та	2	2
369	и против	3	2
370	его образ	3	2
371	переходит в	23	2
372	было в	3	2
373	центре его	2	2
374	никто не	3	2
375	не знал	7	2
376	сам он	2	2
377	как для	2	2
378	нем все	2	2
379	должны быть	3	2
380	много в	2	2
381	жизни то	2	2
382	только один	3	2
383	как то	2	2
384	нового человека	2	2
385	в христианском	4	2
386	в мир	3	2
387	с их	2	2
388	и нет	3	2
389	когда мы	2	2
390	то в	2	2
391	его с	4	2
392	то он	3	2
393	лежит в	2	2
394	идей и	3	2
395	и тогда	2	2
396	и эта	3	2
397	его как	2	2
398	себя в	6	2
399	плоти и	4	2
400	отличается от	2	2
401	также в	2	2
402	но этот	3	2
403	и тот	2	2
404	человека для	4	2
405	достоевского в	10	2
406	для нас	3	2
407	этот мир	2	2
408	к своему	2	2
409	но если	4	2
410	человек может	3	2
411	они стали	2	2
412	и бога	2	2
413	должна быть	7	2
414	с человеком	2	2
415	культуры и	2	2
416	и должно	3	2
417	человека с	2	2
418	про себя	2	2
419	что у	3	2
420	о своей	2	2
421	но к	2	2
422	с собой	5	2
423	ко второй	2	2
424	из себя	2	2
425	но для	2	2
426	него нет	6	2
427	личности и	3	2
428	не существует	5	2
429	и этим	2	2
430	тогда когда	2	2
431	еще в	4	2
432	и она	5	2
433	мир этот	2	2
434	так называемый	2	2
435	жизни у	2	2
436	по природе	2	2
437	я не	4	2
438	но когда	3	2
439	них нет	2	2
440	от нее	5	2
441	он сам	11	2
442	него и	3	2
443	высшей степени	4	2
444	и сама	2	2
445	природа человека	4	2
446	в первых	2	2
447	природе своей	2	2
