N	2gram	Medvedev_V	StatiiOP
263	показывает что	2	4
264	относится к	2	4
265	если в	2	4
266	иметь в	2	4
267	и он	3	4
268	бы и	6	4
269	в значительной	3	4
270	на него	2	4
271	только что	4	4
272	все они	2	4
273	как о	3	4
274	и их	3	4
275	в последнем	2	4
276	как известно	2	4
277	могло бы	2	4
278	для его	4	4
279	но для	2	4
280	из писем	2	4
281	представляют собою	2	4
282	значит что	2	4
283	или в	3	4
284	для которых	2	4
285	связана с	2	4
286	будто бы	2	4
287	работал над	3	4
288	в книге	2	3
289	перед нами	5	3
290	в плане	5	3
291	или иной	2	3
292	не подлежит	2	3
293	только у	2	3
294	говорит в	3	3
295	при всей	2	3
296	и наконец	2	3
297	от того	2	3
298	в стихотворении	2	3
299	вот как	4	3
300	тогда когда	2	3
301	что нет	2	3
302	нет никаких	2	3
303	или менее	6	3
304	на основании	8	3
305	его от	2	3
306	образом в	3	3
307	от них	2	3
308	к этим	2	3
309	она не	3	3
310	и как	3	3
311	даже и	3	3
312	писателя и	2	3
313	смысле слова	2	3
314	идей и	3	3
315	и некоторые	2	3
316	а затем	2	3
317	и ее	4	3
318	свидетельствуют о	2	3
319	том числе	2	3
320	к его	2	3
321	я бы	2	3
322	бы в	3	3
323	до нас	2	3
324	в сознании	4	3
325	в нашей	4	3
326	а к	2	3
327	искусства и	2	3
328	этом и	2	3
329	бы не	2	3
330	которая не	2	3
331	пушкину и	2	3
332	во всей	2	3
333	их в	7	3
334	черновой редакции	3	3
335	когда он	4	3
336	произведения и	7	3
337	он и	2	3
338	может не	2	3
339	целого ряда	2	3
340	более или	6	3
341	что так	2	3
342	что при	2	3
343	на основе	5	3
344	писал в	3	3
345	в системе	2	3
346	это делает	3	2
347	при создании	3	2
348	никаких оснований	2	2
349	например что	3	2
350	значит и	3	2
351	а во-вторых	2	2
352	писем к	2	2
353	др в	3	2
354	ли не	2	2
355	видеть в	3	2
356	его произведений	2	2
357	у них	2	2
358	и при	5	2
359	действительности и	7	2
360	мы знаем	3	2
361	мы видели	3	2
362	и этот	2	2
363	работе над	6	2
364	эти примеры	2	2
365	все его	2	2
366	ту же	2	2
367	говорит и	8	2
368	для них	2	2
369	работой над	2	2
370	вот почему	5	2
371	в зависимости	6	2
372	числе и	2	2
373	было в	2	2
374	и может	2	2
375	но вот	2	2
376	важно подчеркнуть	2	2
377	это особенно	2	2
378	и от	3	2
379	никак не	3	2
380	произведения как	6	2
381	но то	2	2
382	дают возможность	3	2
383	ума и	2	2
384	так сказать	2	2
385	образом не	3	2
386	из своих	2	2
387	чуть ли	2	2
388	мысль о	2	2
389	зависимости от	5	2
390	каждом отдельном	2	2
391	между собою	2	2
392	в известной	2	2
393	в пределах	5	2
394	далеко не	3	2
395	он может	2	2
396	каждой из	2	2
397	ни один	8	2
398	в представлении	2	2
399	но к	2	2
400	стороны в	2	2
401	их и	4	2
402	произведения в	7	2
403	роль в	4	2
404	показывает как	2	2
405	только о	2	2
406	же самое	2	2
407	пишет в	4	2
408	чем же	4	2
409	связанное с	2	2
410	само собою	2	2
411	художественного творчества	19	2
