N	2gram	Medvedev_F	Psycholo
225	конце концов	2	12
226	сам по	2	12
227	в свою	8	12
228	ничего не	5	12
229	не менее	12	12
230	и другие	3	12
231	в основу	2	12
232	в поэзии	5	12
233	что не	4	12
234	и до	8	12
235	и может	6	12
236	и с	17	12
237	как к	5	11
238	он должен	4	11
239	отличие от	2	11
240	так например	3	11
241	и заключается	2	11
242	не будет	2	11
243	этого слова	4	11
244	думать что	4	11
245	и других	4	11
246	его в	5	11
247	на все	3	11
248	мы видели	5	11
249	была бы	4	11
250	с его	12	11
251	совершенно справедливо	3	11
252	не было	7	11
253	конечно не	5	11
254	данном случае	2	10
255	от него	2	10
256	все те	2	10
257	в другом	2	10
258	не так	4	10
259	тому чтобы	2	10
260	это было	3	10
261	отличается от	4	10
262	не является	3	10
263	материала и	7	10
264	и их	13	10
265	во всем	3	10
266	но как	2	10
267	в их	16	10
268	совсем не	2	10
269	нам кажется	2	10
270	с теми	2	10
271	в данном	2	10
272	должно быть	13	10
273	смысл и	2	10
274	именно на	4	10
275	сами по	4	10
276	ее в	3	10
277	и от	9	10
278	мы в	2	10
279	вопрос о	3	9
280	тем самым	5	9
281	и ее	15	9
282	на его	2	9
283	том случае	2	9
284	и по	3	9
285	под влиянием	3	9
286	на него	3	9
287	каждого из	3	9
288	и наконец	7	9
289	но все	4	9
290	не есть	4	9
291	должен быть	5	9
292	роль в	2	9
293	если же	4	9
294	в действительности	3	9
295	в виде	2	9
296	но что	2	9
297	в чем	2	9
298	в него	2	9
299	так сказать	6	9
300	по этому	2	9
301	можно сказать	2	9
302	из его	2	9
303	с ее	7	9
304	его и	2	9
305	в отличие	2	9
306	не к	2	9
307	в процессе	17	8
308	смысле этого	4	8
309	что же	6	8
310	и во	2	8
311	в такой	3	8
312	и эта	2	8
313	чтобы понять	2	8
314	стороны и	4	8
315	и более	4	8
316	тем же	3	8
317	представление о	2	8
318	согласиться с	2	8
319	в произведении	2	8
320	в общем	8	8
321	он в	3	8
322	место в	8	8
323	чтобы показать	2	8
324	по преимуществу	6	8
325	то чтобы	2	8
326	исследования и	3	8
327	со всей	3	8
328	к нему	3	8
329	жизнь и	3	8
330	ни на	5	8
331	этом смысле	3	8
332	произведения искусства	4	8
333	она есть	2	7
334	не как	7	7
335	свою очередь	6	7
336	от этого	3	7
337	они не	7	7
338	для всех	2	7
339	только при	2	7
340	ни одного	2	7
341	здесь в	2	7
342	должны быть	6	7
343	связи с	12	7
344	того или	6	7
345	время в	4	7
346	что такое	2	7
347	если он	4	7
348	какой мере	2	7
349	же в	4	7
350	в нашем	2	7
351	а как	5	7
352	во все	2	7
353	а на	2	7
354	и действительно	2	7
355	и те	2	7
356	в качестве	2	7
357	как они	4	7
358	в особенности	7	7
359	со всеми	3	7
360	к этой	4	7
361	слова в	2	7
362	в каждом	3	7
363	в поэтической	4	7
364	все дело	3	6
365	в отношении	3	6
366	к этим	2	6
367	нисколько не	2	6
368	для нее	2	6
369	отношение к	4	6
370	еще более	6	6
371	а только	4	6
372	не могла	3	6
373	за пределы	2	6
374	слова и	5	6
375	его с	5	6
376	тем не	2	6
377	каждой из	3	6
378	из него	2	6
379	остановиться на	2	6
380	на нее	2	6
381	иначе как	2	6
382	от всех	5	6
383	оно не	6	6
384	или менее	7	6
385	в сторону	4	6
386	не дает	3	6
387	даже в	2	6
388	она должна	3	6
389	каждый из	3	6
390	таком понимании	2	6
391	или же	4	6
392	поэтического произведения	10	6
393	и вся	2	6
394	ничем не	4	6
395	и ни	2	6
396	она была	3	6
397	так в	3	6
398	от других	2	6
399	от действительности	3	6
400	совершается в	2	6
401	или иного	8	6
402	то и	2	6
403	независимо от	5	6
404	всех этих	6	6
405	к ней	3	6
406	сама по	2	6
407	в первый	5	6
408	как если	2	6
409	никто не	2	6
410	более или	7	6
411	в эстетике	2	6
412	уже не	9	6
413	к его	3	6
414	внутренняя форма	2	6
415	приводит к	4	6
416	в русском	2	6
417	только как	3	6
418	говорить о	4	6
419	жизни но	2	6
420	одного из	4	5
421	все более	4	5
422	к одному	2	5
423	как из	2	5
424	мысли в	2	5
425	между ними	3	5
426	ни одной	2	5
427	у них	3	5
428	и чем	3	5
429	в душе	2	5
430	лучшем случае	3	5
431	в других	5	5
432	значение и	4	5
433	и чтобы	2	5
434	если в	3	5
435	смысла и	3	5
436	то в	3	5
437	не должна	7	5
438	и самый	3	5
439	и является	3	5
440	ее от	2	5
441	здесь дело	2	5
442	все остальное	4	5
443	но даже	2	5
444	учения о	2	5
445	социальной жизни	12	5
446	в другой	2	5
447	том смысле	3	5
448	материала в	4	5
449	не следует	5	5
450	бы то	4	5
451	тем и	2	5
452	поэзии в	3	5
453	здесь с	2	5
454	вот как	3	5
455	в сборнике	2	5
456	к которому	2	5
457	нас не	3	5
458	его не	2	5
459	что самая	2	5
460	именно как	14	5
461	к действительности	3	5
462	целом ряде	2	5
463	зависит от	2	5
464	подход к	2	5
465	указать на	2	5
466	во всей	4	5
467	хотя и	3	5
468	до крайности	2	5
469	из этой	2	5
470	задачи и	7	5
471	как прием	2	5
472	за ней	2	5
473	он является	2	5
474	нет и	2	5
475	в смысле	2	5
476	в эту	3	5
477	чтобы он	2	5
478	в лучшем	3	5
479	однако не	5	5
480	ни одна	2	5
481	отношения к	6	5
482	высшей степени	4	4
483	нигде не	3	4
484	ее и	3	4
485	материал и	2	4
486	к другим	4	4
487	начала и	2	4
488	из ее	2	4
489	произведение как	4	4
490	форм и	7	4
491	может и	2	4
492	должна была	2	4
493	к другому	2	4
494	не по	4	4
495	нам в	2	4
496	к сожалению	2	4
497	почти не	2	4
498	понятий и	4	4
499	аналогии с	4	4
500	страх и	2	4
501	в истории	10	4
502	в первом	8	4
503	в применении	4	4
504	не с	2	4
505	исходили из	4	4
506	характер и	2	4
507	себе а	2	4
508	применении к	4	4
509	значение в	4	4
510	в языке	5	4
511	не на	3	4
512	говорит эйхенбаум	3	4
513	сюжета и	2	4
514	более и	3	4
515	на наших	2	4
516	мы говорим	4	4
517	из всего	2	4
518	или иное	2	4
519	потебни и	3	4
520	и всякий	2	4
521	с помощью	13	4
522	в понимании	7	4
523	одним словом	8	4
524	в настоящее	11	4
525	но для	4	4
526	по отношению	4	4
527	на один	3	4
528	является в	2	4
529	но эта	2	4
530	этого факта	2	4
531	в поэтическом	6	4
532	его от	5	4
533	подойти к	3	4
534	от этих	2	4
535	эстетики и	2	4
536	настоящее время	11	4
537	в ритме	2	4
538	здесь не	5	4
539	не для	4	4
540	ней и	2	4
541	в связи	11	4
542	в первой	2	4
543	литературы и	6	4
544	все остальные	2	4
545	произведения как	3	4
546	одной из	2	4
547	т е	50	4
548	если она	2	4
549	с этими	2	4
550	от одного	2	4
551	отношении к	2	4
552	в пределах	13	4
553	в мире	4	4
554	перейти к	3	4
555	произведения и	9	4
556	в корне	6	4
557	в некоторых	2	4
558	же время	13	4
559	ничего общего	2	4
560	не найдем	3	4
561	в слове	4	4
562	заложены в	2	4
563	материалом для	2	4
564	не о	7	3
565	ни о	3	3
566	действий и	2	3
567	имеет и	2	3
568	но ведь	4	3
569	техники и	3	3
570	ни было	2	3
571	воздействия на	3	3
572	друг от	2	3
573	а вовсе	2	3
574	в учении	3	3
575	они были	4	3
576	значение для	2	3
577	общего с	2	3
578	что содержание	2	3
579	в более	2	3
580	не из	5	3
581	от смысла	3	3
582	не была	2	3
583	этом не	2	3
584	между двумя	3	3
585	со всем	4	3
586	следует что	3	3
587	от тех	2	3
588	из виду	3	3
589	жизни а	2	3
590	она является	2	3
591	на их	3	3
592	вскрыть и	3	3
593	самое понятие	4	3
594	уже как	3	3
595	и должно	4	3
596	на котором	2	3
597	какой бы	2	3
598	по аналогии	5	3
599	однако и	3	3
600	бы быть	3	3
601	его как	5	3
602	всего этого	6	3
603	из важнейших	2	3
604	литературном произведении	3	3
605	в социальной	3	3
606	поэтическое произведение	2	3
607	творчества и	2	3
608	кроме того	3	3
609	превращается в	2	3
610	стал бы	2	3
611	или на	2	3
612	на почве	20	3
613	от друга	2	3
614	только одна	2	3
615	роман и	2	3
616	вещей и	3	3
617	еще в	2	3
618	все в	3	3
619	и всю	2	3
620	подходит к	4	3
621	и прежде	3	3
622	вступает в	2	3
623	как таковое	3	3
624	и сюжет	2	3
625	вопроса о	2	3
626	даже не	2	3
627	за счет	4	3
628	поэтический язык	20	3
629	как таковой	8	3
630	слово в	2	3
631	в школе	2	3
632	по учению	3	3
633	оно было	3	3
634	места в	2	3
635	убедиться в	2	3
636	он действительно	2	3
637	ко всем	2	3
638	к поэтической	3	3
639	что каждый	2	3
640	речи и	2	3
641	дело идет	6	3
642	равно как	2	3
643	материалом и	2	3
644	бы она	3	3
645	в сюжете	2	3
646	и др	8	3
647	и многие	2	3
648	приходим к	2	3
649	было в	3	3
650	нельзя судить	2	3
651	на язык	5	3
652	в последних	2	3
653	мышления и	2	3
654	с другими	11	3
655	а к	2	3
656	бы ни	5	3
657	но напротив	2	3
658	в этот	2	3
659	смысле что	2	3
660	слова как	2	3
661	не столько	5	3
662	отношению к	4	3
663	лучше всего	2	3
664	не могло	6	3
665	и содержание	2	3
666	без всякой	3	3
667	во что	3	3
668	или иначе	2	3
669	быть и	5	3
670	форма и	2	3
671	он и	3	3
672	как таковая	2	3
673	то ни	5	3
674	же и	2	3
675	в форме	2	3
676	в высшей	4	3
677	чем он	3	3
678	на основе	6	3
679	для этой	2	2
680	от его	3	2
681	для нашего	2	2
682	жизни в	2	2
683	как ее	4	2
684	является совершенно	2	2
685	должно было	4	2
686	с историей	2	2
687	что бы	6	2
688	всю свою	2	2
689	следовательно и	2	2
690	бы оно	2	2
691	в самый	2	2
692	но именно	2	2
693	они должны	2	2
694	п в	2	2
695	формализма и	2	2
696	всего в	5	2
697	в структуре	2	2
698	от всякого	2	2
699	поэтического стиля	2	2
700	требует от	2	2
701	это положение	2	2
702	связи со	3	2
703	во втором	7	2
704	и техника	2	2
705	только тем	2	2
706	является для	2	2
707	произведение в	3	2
708	искусства оно	2	2
709	для них	4	2
710	дана в	2	2
711	плоскости и	2	2
712	исследования в	2	2
713	определяется и	3	2
714	отметить что	2	2
715	стоит перед	2	2
716	как для	2	2
717	не останется	3	2
718	хорошо но	2	2
719	во внешнем	2	2
720	на всю	2	2
721	его изучения	2	2
722	это приводит	3	2
723	произведения не	3	2
724	и должна	3	2
725	как такового	8	2
726	литературного произведения	6	2
727	тех же	2	2
728	они сами	2	2
729	время не	2	2
730	чтобы вскрыть	2	2
731	изобразительных искусств	3	2
732	фактов и	3	2
733	в значительной	3	2
734	полагаем что	3	2
735	иной раз	2	2
736	перед необходимостью	2	2
737	художественного восприятия	3	2
738	если действительно	2	2
739	произведения это	2	2
740	и со	3	2
741	проблем и	5	2
742	есть лишь	3	2
743	основных понятий	4	2
744	же что	2	2
745	в предисловии	3	2
746	не ради	2	2
747	друг другу	2	2
748	для всякого	2	2
749	история искусства	4	2
750	почти совершенно	2	2
751	эта тенденция	2	2
752	чтобы не	2	2
753	и анализа	2	2
754	в характере	2	2
755	для других	2	2
756	нет в	2	2
757	не от	3	2
758	этой работы	2	2
759	в науке	2	2
760	истории литературы	18	2
761	нужно было	2	2
762	этом процессе	2	2
763	это последнее	3	2
764	они и	2	2
765	как предмет	3	2
766	тенденция к	2	2
767	но из	2	2
768	от нее	6	2
769	и свою	5	2
770	даже и	5	2
771	как некоторое	2	2
772	основная тенденция	3	2
773	и самые	2	2
774	этот прием	2	2
775	дело обстоит	2	2
776	как один	2	2
777	между этими	2	2
778	наконец в	3	2
779	специфические особенности	4	2
780	в поэтике	3	2
781	смысле и	2	2
782	сами же	2	2
783	к какому	2	2
784	не приходится	4	2
785	в литературном	2	2
786	в россии	4	2
787	от них	2	2
788	впечатление что	2	2
789	и читатель	3	2
790	а о	4	2
791	своей теории	2	2
792	к вопросу	2	2
793	художник в	2	2
794	все содержание	2	2
795	именно здесь	2	2
796	входящих в	3	2
797	и всякое	5	2
798	как художник	2	2
799	как о	8	2
800	каждый элемент	4	2
801	исходить из	4	2
802	о мире	2	2
803	литературное произведение	10	2
804	мысли об	2	2
805	в литературе	6	2
806	этими двумя	2	2
807	язык и	8	2
808	к новому	3	2
809	они в	2	2
810	и приемы	2	2
811	этого метода	2	2
812	жизни не	2	2
813	как с	2	2
814	время и	2	2
815	от эстетики	2	2
816	и поэтическим	2	2
817	сказать в	2	2
818	об искусстве	3	2
819	друг друга	4	2
820	человек не	3	2
821	часто и	2	2
822	что было	2	2
823	таким же	2	2
824	чтобы убедиться	2	2
825	предисловии к	3	2
826	чем же	3	2
827	учение о	4	2
828	отражение в	2	2
829	вещь а	2	2
830	и важность	2	2
831	не оказалось	4	2
832	и сами	2	2
