N	2gram	Medvedev_V	Marksizm
230	приходится говорить	2	3
231	том числе	2	3
232	и непосредственно	2	3
233	даже и	3	3
234	что оно	3	3
235	как целого	3	3
236	и др	10	3
237	и по	3	3
238	но вот	2	3
239	числе и	2	3
240	того или	2	3
241	на данном	3	3
242	ли это	2	3
243	в нашей	4	3
244	можно было	2	3
245	и этот	2	3
246	как процесс	2	3
247	человека в	2	3
248	в последнем	2	3
249	не приходится	2	3
250	не с	2	3
251	также и	2	3
252	он может	2	3
253	такое понимание	2	3
254	в своих	2	3
255	когда он	4	3
256	в которых	3	3
257	приводит к	6	3
258	из которых	2	3
259	говорить о	2	3
260	и есть	5	3
261	не следует	8	3
262	из основных	2	3
263	момент в	3	3
264	того как	2	3
265	в системе	2	3
266	так например	2	2
267	образом в	3	2
268	крайней мере	2	2
269	после этого	2	2
270	восприятия и	2	2
271	в философии	4	2
272	ли не	2	2
273	он же	6	2
274	противном случае	2	2
275	в частности	12	2
276	например у	2	2
277	творческих импульсов	4	2
278	не столь	3	2
279	от них	2	2
280	к ним	2	2
281	в общем	2	2
282	мы наблюдаем	2	2
283	мира и	3	2
284	между прочим	2	2
285	то о	2	2
286	в романе	4	2
287	для них	2	2
288	же как	2	2
289	его не	3	2
290	у тургенева	3	2
291	и мир	3	2
292	заключается в	2	2
293	художественный образ	5	2
294	определить как	2	2
295	например в	3	2
296	ее как	2	2
297	в сознании	4	2
298	всех этих	3	2
299	даже не	2	2
300	отличается от	2	2
301	этом и	2	2
302	было в	2	2
303	бы не	2	2
304	это делает	3	2
305	и наконец	2	2
306	как о	3	2
307	во время	4	2
308	в чем	2	2
309	между собою	2	2
310	не по	2	2
311	что его	2	2
312	начнем с	2	2
313	по крайней	2	2
314	себе и	2	2
315	на него	2	2
316	всего сказанного	2	2
317	чуть ли	2	2
318	в жизни	2	2
319	явлений и	3	2
320	видели что	3	2
321	остановимся на	2	2
322	их в	7	2
323	зависит от	2	2
324	не вполне	2	2
325	познание в	2	2
326	наблюдения и	3	2
327	что мы	2	2
328	не об	2	2
329	в противном	2	2
330	нет ни	2	2
331	им как	2	2
332	по его	2	2
333	и весь	2	2
334	ту же	2	2
335	но с	2	2
336	своих героев	2	2
337	оно является	2	2
