N	2gram	Savitsky_E	Marksizm
156	в одном	2	5
157	как на	3	5
158	вместе с	2	5
159	не могут	2	4
160	но именно	2	4
161	и прежде	3	4
162	в области	11	4
163	влияние на	2	4
164	и к	3	4
165	что все	2	4
166	можно сказать	4	4
167	в определенном	3	4
168	и ту	2	4
169	в них	3	4
170	во всей	2	4
171	бы и	3	4
172	и то	2	4
173	независимо от	4	4
174	стороны и	6	4
175	какой бы	2	4
176	каких бы	2	4
177	целый ряд	2	4
178	из них	3	4
179	мог бы	2	4
180	несмотря на	4	4
181	жизни и	2	4
182	в других	2	4
183	не дает	3	4
184	тем что	3	4
185	даже в	4	3
186	все более	9	3
187	по своей	2	3
188	но если	5	3
189	или хотя	2	3
190	в значительной	2	3
191	тогда когда	2	3
192	в виде	5	3
193	и та	2	3
194	главным образом	2	3
195	с тем	3	3
196	как это	4	3
197	потому что	3	3
198	во втором	2	3
199	между собой	2	3
200	на них	2	3
201	или вернее	2	3
202	мы видим	2	3
203	и по	5	3
204	обстоит дело	3	3
205	не на	4	3
206	в применении	3	3
207	имеет место	2	3
208	к которым	5	3
209	того или	4	3
210	ли это	3	3
211	по нашему	3	3
212	ту или	3	3
213	можно было	3	3
214	и этот	2	3
215	применении к	3	3
216	друг с	3	3
217	на этот	2	3
218	также и	7	3
219	с другом	3	3
220	со стороны	5	3
221	в своих	2	3
222	когда он	3	3
223	в другой	2	3
224	в которых	3	3
225	или точнее	2	3
226	и только	3	3
227	и других	2	3
228	эти области	6	2
229	тем самым	5	2
230	во все	3	2
231	из всех	3	2
232	идет о	3	2
233	его на	2	2
234	или поздно	2	2
235	и поэтому	2	2
236	как их	2	2
237	можем сказать	2	2
238	и притом	4	2
239	значения для	2	2
240	в процессах	2	2
241	друг от	2	2
242	в частности	5	2
243	но по	2	2
244	всего в	2	2
245	от них	3	2
246	к ним	3	2
247	одна и	2	2
248	в прошлом	3	2
249	в общем	3	2
250	мира и	3	2
251	между прочим	7	2
252	культуры как	2	2
253	иными словами	4	2
254	для них	2	2
255	же как	5	2
256	и во	2	2
257	в гораздо	2	2
258	то не	2	2
259	заключается в	2	2
260	это значит	2	2
261	известной степени	3	2
262	данном случае	2	2
263	будет ли	2	2
264	или иного	4	2
265	в содержании	2	2
266	само по	4	2
267	исключительно в	2	2
268	также в	2	2
269	рано или	2	2
270	решения проблемы	2	2
271	ее от	2	2
272	от друга	2	2
273	во второй	3	2
274	и наконец	2	2
275	она в	3	2
276	с этой	6	2
277	эти последние	2	2
278	культуры и	2	2
279	есть в	2	2
280	вообще не	3	2
281	что эти	2	2
282	или иную	3	2
283	поскольку он	2	2
284	и если	2	2
285	это так	3	2
286	этом смысле	3	2
287	xviii и	2	2
288	а именно	2	2
289	поскольку они	2	2
290	но с	2	2
