N	2gram	Bakhtin_fo	Vvedenie
110	хотя и	5	5
111	во всяком	5	5
112	да и	4	4
113	еще и	3	4
114	все более	2	4
115	по сравнению	3	4
116	в результате	6	4
117	мы имеем	2	4
118	о чем	4	4
119	одной стороны	3	4
120	и ее	4	4
121	этот процесс	5	4
122	по отношению	3	4
123	в каждом	2	4
124	должен быть	2	4
125	в особенности	15	4
126	этом отношении	5	4
127	еще не	8	4
128	времени и	10	4
129	отношению к	5	4
130	в чем	3	4
131	отличие от	3	4
132	в отличие	3	4
133	с одной	5	4
134	к тому	6	4
135	одной из	3	4
136	но все	6	4
137	и для	12	4
138	не имеет	5	4
139	в котором	8	4
140	в более	2	4
141	в центре	2	4
142	тогда когда	2	4
143	в одном	10	4
144	из них	8	4
145	здесь нет	3	4
146	в себе	7	4
147	как она	3	4
148	связи между	2	4
149	с точки	9	4
150	в своей	2	4
151	как раз	13	4
152	сравнению с	3	4
153	можно сказать	2	4
154	той же	2	4
155	однако не	2	4
156	никогда не	8	3
157	до конца	5	3
158	в каком	2	3
159	одна из	3	3
160	в отношении	5	3
161	и вообще	3	3
162	или иной	4	3
163	до нас	6	3
164	в своем	8	3
165	а также	5	3
166	с этим	11	3
167	так же	7	3
168	в строгом	2	3
169	как оно	2	3
170	в начале	3	3
171	но дело	2	3
172	к этому	5	3
173	не как	2	3
174	в другом	2	3
175	в значительной	3	3
176	в конце	11	3
177	отношение к	5	3
178	и здесь	2	3
179	если бы	6	3
180	в сущности	5	3
181	и вот	2	3
182	понятно что	4	3
183	в этих	6	3
184	только на	3	3
185	в частности	11	3
186	как история	2	3
187	как в	10	3
188	или как	5	3
189	здесь все	2	3
190	что даже	2	3
191	всего того	3	3
192	мы видели	2	3
193	стороны и	2	3
194	вообще не	4	3
195	на этой	4	3
196	и на	13	3
197	того же	9	3
198	именно как	4	3
199	времени в	14	3
200	в ней	4	3
201	входит в	3	3
202	и к	4	3
203	литературы в	3	3
204	на этом	2	3
205	между ними	5	3
206	по этому	2	3
207	этим в	2	3
208	совсем не	4	3
209	здесь не	5	3
210	же как	2	3
211	и того	7	3
212	при этом	8	3
213	он сам	2	3
214	и уже	4	3
215	наряду с	7	3
216	все эти	12	3
217	той или	3	3
218	связи с	14	3
219	и есть	3	3
220	и сам	2	3
221	же самое	2	3
222	в этой	3	3
223	строгом смысле	2	3
224	и других	5	3
225	чем в	3	3
226	них и	2	2
227	одно и	4	2
228	в таких	2	2
229	ничего не	9	2
230	следовательно и	3	2
231	у нас	2	2
232	и потому	4	2
233	его к	2	2
234	мы должны	2	2
235	во всех	13	2
236	и до	7	2
237	время в	7	2
238	лежит в	2	2
239	другом месте	2	2
240	с чем	2	2
241	тем более	4	2
242	есть только	2	2
243	должно быть	6	2
244	каждый из	2	2
245	само собой	2	2
246	время не	2	2
247	в прошлом	3	2
248	в форме	5	2
249	что здесь	2	2
250	в этот	5	2
251	в соответствии	2	2
252	и всего	2	2
253	не могли	3	2
254	и те	4	2
255	в связи	13	2
256	целого и	2	2
257	том же	4	2
258	одного и	6	2
259	у них	4	2
260	и другие	6	2
261	после этого	2	2
262	когда мы	2	2
263	чем они	3	2
264	так и	17	2
265	ни к	3	2
266	к своему	2	2
267	лишь как	3	2
268	и др	13	2
269	на котором	2	2
270	на протяжении	3	2
271	и должно	2	2
272	ни с	3	2
273	и так	2	2
274	значение в	5	2
275	вопросу о	3	2
276	времени все	3	2
277	не место	2	2
278	можно только	2	2
279	себе и	4	2
280	в свою	2	2
281	и с	10	2
282	жизни как	2	2
283	соответствии с	2	2
284	до наших	2	2
285	выражение в	3	2
286	не столько	2	2
287	в основу	3	2
288	что мы	2	2
289	и совершенно	3	2
290	мы можем	2	2
291	себя в	2	2
292	для них	3	2
293	жизни и	12	2
294	в ряду	2	2
295	а затем	3	2
296	не было	8	2
297	иной раз	2	2
298	нового типа	2	2
299	того не	2	2
300	мы не	4	2
301	природы и	2	2
302	значительной мере	2	2
303	что они	3	2
304	значение и	7	2
305	например в	7	2
306	во всем	3	2
307	в дальнейшем	10	2
308	этого слова	2	2
309	них не	2	2
310	не к	2	2
311	рядом с	4	2
312	по существу	17	2
313	во втором	2	2
314	отсюда и	3	2
315	мы уже	17	2
316	с помощью	5	2
317	быть и	4	2
