N	2gram	Tiupa_Hudo	Tvorches
126	с другой	9	5
127	как правило	3	5
128	я не	2	5
129	в таком	3	5
130	и потому	2	4
131	роль в	2	4
132	это и	2	4
133	в частности	18	4
134	как это	7	4
135	отличие от	7	4
136	не знает	4	4
137	того что	5	4
138	к нему	3	4
139	но только	2	4
140	точки зрения	11	4
141	так в	4	4
142	могут быть	5	4
143	однако в	4	4
144	о жизни	2	4
145	для автора	3	4
146	с ними	2	4
147	о его	2	4
148	который в	2	4
149	в основе	7	4
150	по преимуществу	3	4
151	себя в	8	4
152	говорит что	2	4
153	и одновременно	5	4
154	превращается в	2	4
155	с этой	3	4
156	времени и	2	4
157	ведет к	2	4
158	в отличие	7	4
159	и более	2	4
160	далеко не	4	4
161	не вполне	2	4
162	личности и	3	4
163	представляет собой	11	4
164	личности в	4	4
165	к жизни	2	4
166	с точки	3	4
167	говорить о	4	4
168	в финале	2	4
169	но он	3	4
170	в ходе	5	3
171	во времени	4	3
172	в другом	4	3
173	отношение к	7	3
174	как к	5	3
175	для себя	4	3
176	к которому	4	3
177	таком случае	2	3
178	в виду	5	3
179	и тем	4	3
180	со стороны	5	3
181	в области	8	3
182	в искусстве	9	3
183	как уже	3	3
184	к тому	4	3
185	может служить	2	3
186	другой стороны	6	3
187	во мне	2	3
188	и др	2	3
189	никто не	3	3
190	можно сказать	6	3
191	заключается в	2	3
192	сказать что	4	3
193	то в	2	3
194	авторской позиции	3	3
195	из этих	3	3
196	не все	2	3
197	с ее	6	3
198	отличается от	2	3
199	я и	7	3
200	лишь в	7	3
201	не является	5	3
202	ее в	2	3
203	для того	5	3
204	человека к	3	3
205	не с	2	3
206	в жизни	3	3
207	автора и	3	3
208	в себя	4	3
209	для которого	2	3
210	человеческих отношений	2	3
211	образом и	2	3
212	и к	3	3
213	но на	2	3
214	на этом	2	3
215	он и	2	3
216	по себе	2	3
217	несмотря на	2	3
218	сводится к	11	3
219	и что	4	3
220	и особенно	2	3
221	жизнь на	2	3
222	или в	2	3
223	жизни но	2	3
224	в одном	3	3
225	которого он	2	2
226	в отношении	4	2
227	и притом	3	2
228	видим в	2	2
229	слова не	2	2
230	но как	2	2
231	о чем	3	2
232	вслед за	2	2
233	включает в	2	2
234	в силу	4	2
235	по своей	7	2
236	должен быть	2	2
237	в стихотворении	3	2
238	свою очередь	2	2
239	в одно	2	2
240	в формах	2	2
241	тому что	2	2
242	не сами	2	2
243	того же	3	2
244	была бы	3	2
245	что можно	3	2
246	героя как	2	2
247	однако все	2	2
248	в художественном	5	2
249	между собой	2	2
250	в известном	2	2
251	не будет	3	2
252	по бахтину	2	2
253	духовной жизни	2	2
254	того чтобы	5	2
255	числе и	2	2
256	связи с	3	2
257	в пространстве	2	2
258	в связи	3	2
259	в качестве	31	2
260	анны карениной	2	2
261	роман и	2	2
262	и того	3	2
263	но она	2	2
264	мышления и	2	2
265	не могли	2	2
266	не от	2	2
267	известном смысле	2	2
268	в данном	4	2
269	с другими	5	2
270	во всех	3	2
271	уже говорилось	2	2
272	с самим	2	2
273	тем не	3	2
274	не сводится	9	2
275	в глаза	2	2
276	у одного	2	2
277	войне и	2	2
278	мира в	2	2
279	художественное произведение	3	2
280	на смену	4	2
281	в комедии	2	2
282	и о	4	2
283	ни к	2	2
284	отношении к	3	2
285	с одной	3	2
286	человека с	3	2
287	за пределами	3	2
288	от всех	2	2
289	ни в	5	2
290	столь же	2	2
291	их в	3	2
292	я в	13	2
293	на наших	2	2
294	и мире	2	2
295	в произведении	3	2
296	входит в	4	2
297	к его	3	2
298	и соответственно	2	2
299	жизни а	2	2
300	всякий раз	2	2
301	мог бы	3	2
302	на мир	2	2
303	с их	2	2
304	из этого	2	2
305	или даже	3	2
306	том числе	3	2
307	не просто	2	2
308	как раз	3	2
309	это отношение	3	2
