N	2gram	Tiupa_Disk	Marksizm
104	одного и	5	9
105	это не	5	9
106	только на	2	9
107	одной из	4	9
108	и это	3	9
109	к тому	6	9
110	большинстве случаев	2	9
111	в истории	5	9
112	в нашем	2	9
113	ни в	7	9
114	точка зрения	3	9
115	же самое	2	9
116	быть и	2	9
117	перед нами	4	8
118	или иной	8	8
119	и ее	5	8
120	в науке	2	8
121	не как	5	8
122	в форме	2	8
123	и т.д	5	8
124	в их	5	8
125	с этим	3	8
126	что не	4	8
127	что и	5	8
128	другой стороны	5	8
129	за пределы	2	8
130	мысли и	2	8
131	и даже	4	8
132	в данной	3	8
133	в свою	3	8
134	и с	2	8
135	столь же	6	8
136	не было	9	8
137	сводится к	7	8
138	к другому	3	8
139	до конца	2	7
140	речи как	2	7
141	свою очередь	3	7
142	в формах	2	7
143	того что	4	7
144	по себе	3	7
145	настоящего времени	2	7
146	место в	2	7
147	могут быть	5	7
148	в качестве	45	7
149	в этой	5	7
150	в начале	2	7
151	в этих	4	7
152	общения в	3	7
153	далеко не	10	7
154	о том	12	7
155	в котором	7	7
156	той же	2	7
157	он сам	2	7
158	не есть	3	6
159	вопрос о	2	6
160	для понимания	2	6
161	не имеют	2	6
162	то есть	29	6
163	в другом	5	6
164	в различных	2	6
165	одной стороны	12	6
166	что же	4	6
167	в какой	2	6
168	должны быть	3	6
169	все это	2	6
170	с ее	3	6
171	должна быть	2	6
172	данного высказывания	2	6
173	из этих	3	6
174	из важнейших	2	6
175	по мере	2	6
176	с одной	12	6
177	входит в	2	6
178	уже не	7	6
179	всяком случае	2	6
180	в той	2	6
181	говорящего и	3	6
182	не к	3	6
183	речевой акт	3	6
184	к одному	2	5
185	этом отношении	4	5
186	различие между	3	5
187	но как	2	5
188	о чем	4	5
189	в виду	2	5
190	и тем	2	5
191	в особенности	5	5
192	не менее	6	5
193	или в	2	5
194	той или	6	5
195	в первом	4	5
196	этом случае	3	5
197	хотя и	3	5
198	да и	2	5
199	себя в	8	5
200	необходимо чтобы	2	5
201	должно быть	2	5
202	по преимуществу	2	5
203	целого высказывания	3	5
204	и всякое	2	5
205	жизни в	4	5
206	но не	17	5
207	для себя	6	5
208	в одном	5	5
209	в лингвистике	3	5
210	вместе с	3	5
211	не могут	2	4
212	или даже	2	4
213	социального взаимодействия	2	4
214	в одной	4	4
215	в тех	2	4
216	самого говорящего	2	4
217	едва ли	2	4
218	и прежде	2	4
219	в области	3	4
220	к своему	2	4
221	и к	4	4
222	стремится к	3	4
223	имеет свою	3	4
224	можно сказать	7	4
225	одного из	5	4
226	он ни	2	4
227	и вне	2	4
228	и он	2	4
229	в них	6	4
230	можно назвать	2	4
231	и до	2	4
232	и то	4	4
233	к его	5	4
234	но при	3	4
235	стороны и	3	4
236	в которой	2	4
237	переход от	2	4
238	целый ряд	2	4
239	в становлении	3	4
240	одним из	2	4
241	не знает	4	4
242	но все	2	4
243	языка с	2	4
244	но для	2	4
245	точке зрения	2	4
246	себя с	2	4
247	из них	6	4
248	уже в	2	4
249	жизни и	2	4
250	перед ним	2	4
251	это и	2	4
252	тем что	4	4
253	не о	2	3
254	в действительности	3	3
255	ситуации и	2	3
256	и относительно	2	3
257	неотделим от	2	3
258	к себе	2	3
259	по своей	15	3
260	как к	2	3
261	другого в	2	3
262	роль в	10	3
263	в значительной	3	3
264	в году	3	3
265	в целом	5	3
266	или менее	2	3
267	они и	3	3
268	как это	2	3
269	они не	2	3
270	более или	2	3
271	потому что	7	3
272	том числе	3	3
273	во втором	5	3
274	лежит на	2	3
275	между собой	2	3
276	и др	3	3
277	и по	2	3
278	не на	3	3
279	имеет место	4	3
280	и вообще	2	3
281	числе и	3	3
282	могла бы	2	3
283	одно и	2	3
284	значительной степени	3	3
285	того или	3	3
286	не сможет	2	3
287	подход к	4	3
288	но это	3	3
289	однако и	2	3
290	с их	3	3
291	себя самого	2	3
292	интонации и	3	3
293	человека в	6	3
294	науке о	2	3
295	не приходится	2	3
296	и о	4	3
297	ни к	11	3
298	но они	3	3
299	одновременно с	2	3
300	не могло	2	3
301	на протяжении	2	3
302	не с	4	3
303	бы это	2	3
304	что делает	2	3
305	также и	6	3
306	высказывания не	2	3
307	со стороны	17	3
308	в своих	6	3
309	в русской	4	3
310	когда он	3	3
311	в которых	5	3
312	а по	2	3
313	приводит к	4	3
314	еще в	6	3
315	совпадает с	4	3
316	определяется не	2	3
317	свидетельствует о	2	3
318	говорить о	3	3
319	и есть	2	3
320	не следует	4	3
321	момент в	3	3
322	точкой зрения	2	2
323	тем самым	6	2
324	между которыми	2	2
325	ни о	2	2
326	идет о	2	2
327	указывает на	2	2
328	лицом к	2	2
329	так например	2	2
330	одну из	2	2
331	крайней мере	3	2
332	каждый из	2	2
333	как их	2	2
334	до известной	2	2
335	виду что	2	2
336	должно было	2	2
337	с той	3	2
338	ли не	3	2
339	сами по	2	2
340	исторические корни	2	2
341	оказывается в	2	2
342	слово же	2	2
343	в современной	2	2
344	в частности	18	2
345	всего в	2	2
346	высказывания которые	2	2
347	а с	8	2
348	не столь	2	2
349	о нем	3	2
350	для данного	3	2
351	к ним	3	2
352	об одном	4	2
353	для всех	2	2
354	речевых жанров	15	2
355	мира и	3	2
356	к своим	3	2
357	возможно только	2	2
358	же касается	4	2
359	не то	2	2
360	на сцене	2	2
361	но здесь	2	2
362	на его	4	2
363	что с	2	2
364	и во	2	2
365	себя и	2	2
366	заключается в	3	2
367	известной степени	3	2
368	принадлежит к	3	2
369	как рассказ	2	2
370	данном случае	6	2
371	из виду	4	2
372	на языке	3	2
373	и иные	2	2
374	определить как	2	2
375	например в	4	2
376	или иного	2	2
377	значение так	2	2
378	слово не	2	2
379	в эпоху	5	2
380	в литературе	2	2
381	по аналогии	2	2
382	его как	3	2
383	это было	2	2
384	отличается от	3	2
385	к данному	3	2
386	было в	4	2
387	но уже	3	2
388	автора в	2	2
389	сознания в	2	2
390	тот или	2	2
391	и наконец	2	2
392	героя и	2	2
393	с этой	2	2
394	на смену	3	2
395	в чем	2	2
396	опирается на	2	2
397	по крайней	3	2
398	на него	2	2
399	дело с	2	2
400	в г	2	2
401	есть в	3	2
402	в жизни	2	2
403	говорили о	2	2
404	во всем	2	2
405	поэтому в	2	2
406	и композиционно	2	2
407	их в	2	2
408	зависит от	2	2
409	всех подобных	2	2
410	и другой	2	2
411	оно не	2	2
412	мы все	2	2
413	нового времени	2	2
414	тому же	5	2
415	жизни но	2	2
416	отношения к	2	2
417	к лицу	2	2
