N	2gram	Tiupa_Lite	StatiiOP
233	одна из	8	4
234	на этом	3	4
235	то есть	11	4
236	по своей	3	4
237	и всегда	2	4
238	казалось бы	6	4
239	еще в	7	4
240	не знает	3	4
241	всего в	4	4
242	но как	3	4
243	общего с	3	4
244	так или	8	4
245	он говорит	2	4
246	тех пор	2	4
247	состоит в	18	4
248	культуры в	5	4
249	а потому	4	4
250	что его	3	4
251	в поэзии	4	4
252	поэзии и	3	4
253	в поэме	5	4
254	ничего общего	2	4
255	в связи	4	4
256	обращается к	5	4
257	который в	2	4
258	как мы	2	4
259	да и	3	4
260	относится к	3	4
261	если в	2	4
262	для этого	5	4
263	нет в	2	4
264	разумеется не	2	4
265	за пределы	3	4
266	и он	3	4
267	же это	3	4
268	бы на	2	4
269	и вполне	3	4
270	все они	2	4
271	тому же	2	4
272	нет не	2	4
273	все что	3	4
274	xviii века	2	4
275	а по	2	4
276	не для	2	4
277	более чем	4	4
278	на рубеже	4	4
279	в основе	5	4
280	быть не	2	4
281	или иначе	9	4
282	все более	3	3
283	или иной	3	3
284	из того	3	3
285	от него	2	3
286	при всей	5	3
287	и наконец	2	3
288	как к	4	3
289	в стихотворении	17	3
290	и других	4	3
291	быть это	4	3
292	к своему	2	3
293	а во	2	3
294	себе в	3	3
295	в руках	2	3
296	могло быть	2	3
297	как я	3	3
298	для своего	2	3
299	к этой	2	3
300	это уже	2	3
301	на том	3	3
302	и как	2	3
303	даже и	2	3
304	так в	6	3
305	не говоря	3	3
306	а затем	3	3
307	себя и	3	3
308	говоря уже	3	3
309	эти слова	2	3
310	этом случае	2	3
311	том числе	2	3
312	то и	5	3
313	в сознании	3	3
314	в нашей	2	3
315	х годов	5	3
316	а к	2	3
317	в словах	2	3
318	однако и	2	3
319	искусства и	6	3
320	бы не	3	3
321	которая не	2	3
322	не раз	2	3
323	каждого из	2	3
324	наконец в	2	3
325	русской литературе	7	3
326	не должен	3	3
327	со всеми	2	3
328	ю н	2	3
329	отказ от	7	3
330	я и	10	3
331	слова в	2	3
332	в свою	2	3
333	представляет собой	5	3
334	он и	5	3
335	не к	3	3
336	к своей	2	3
337	на основе	2	3
338	писал в	2	3
339	тем самым	8	2
340	для всех	5	2
341	к новым	2	2
342	различие между	3	2
343	нуждается в	3	2
344	равной мере	2	2
345	стихах и	2	2
346	в литературе	2	2
347	именно так	3	2
348	где в	2	2
349	мысль в	2	2
350	в рамках	9	2
351	было у	2	2
352	едва ли	5	2
353	ли не	7	2
354	не надо	2	2
355	тех кто	3	2
356	от себя	2	2
357	от своего	3	2
358	свою очередь	2	2
359	отличие от	6	2
360	для понимания	2	2
361	для этой	2	2
362	классицизма в	2	2
363	но только	3	2
364	а только	2	2
365	со временем	2	2
366	а если	2	2
367	которая в	3	2
368	ту же	4	2
369	на первом	2	2
370	однако с	2	2
371	права на	4	2
372	во мне	2	2
373	от других	2	2
374	для них	2	2
375	по тем	2	2
376	то как	2	2
377	тогда как	20	2
378	писателя в	2	2
379	по праву	2	2
380	годов в	2	2
381	но уже	2	2
382	но зато	2	2
383	никак не	2	2
384	произведения как	2	2
385	тех же	3	2
386	всю жизнь	2	2
387	то он	3	2
388	в равной	4	2
389	всякая иная	2	2
390	по преимуществу	6	2
391	на свете	2	2
392	из своих	2	2
393	с ее	3	2
394	до тех	2	2
395	чуть ли	2	2
396	как правило	5	2
397	сам же	2	2
398	я это	3	2
399	мысль о	2	2
400	сравнении с	2	2
401	превращается в	2	2
402	и вот	2	2
403	жизни в	5	2
404	ни было	2	2
405	никем не	2	2
406	в пределах	4	2
407	в отличие	6	2
408	в глазах	4	2
409	что есть	2	2
410	а за	3	2
411	не случайно	5	2
412	далеко не	4	2
413	целом ряде	2	2
414	с жизнью	2	2
415	за собой	2	2
416	соответствии с	3	2
417	роль в	2	2
418	свидетельствует о	3	2
419	этой книге	3	2
420	в случае	5	2
421	в поле	2	2
422	мы в	3	2
423	с их	3	2
424	пор пока	2	2
425	свое собственное	3	2
426	не оставляет	3	2
427	литературной и	2	2
428	имеем дело	2	2
429	художественного творчества	3	2
