N	2gram	Bakhtin_fo	Tvorches
112	до конца	5	5
113	не имеют	4	5
114	в одной	2	5
115	по отношению	3	5
116	и у	8	5
117	но эта	5	5
118	и других	5	5
119	том же	4	5
120	как он	4	5
121	т п	18	5
122	в образе	8	5
123	в своем	8	5
124	в них	11	5
125	и это	5	5
126	самим собой	2	5
127	значит что	2	5
128	всего романа	2	5
129	что не	3	5
130	что и	5	5
131	в ее	6	5
132	мы не	4	5
133	и по	5	5
134	что они	3	5
135	в истории	6	5
136	во всей	3	5
137	тот же	4	5
138	с этим	11	5
139	та же	4	5
140	героя и	7	5
141	и другие	6	5
142	как у	2	5
143	отношению к	5	5
144	в литературе	17	5
145	с другой	4	5
146	с большой	3	5
147	романа и	4	5
148	если не	3	5
149	из них	8	5
150	не было	8	5
151	в таком	4	5
152	о времени	2	4
153	и потому	4	4
154	не был	2	4
155	роль в	12	4
156	только на	3	4
157	в частности	11	4
158	как это	2	4
159	утверждает что	2	4
160	отличие от	3	4
161	не знает	4	4
162	стремится к	2	4
163	самого начала	3	4
164	того что	5	4
165	сюжета и	2	4
166	что все	4	4
167	точки зрения	14	4
168	ту же	4	4
169	так в	2	4
170	что на	3	4
171	могут быть	7	4
172	в роман	6	4
173	сих пор	4	4
174	на землю	2	4
175	же как	2	4
176	мы видим	4	4
177	было в	2	4
178	в основе	9	4
179	но эти	4	4
180	нет ничего	4	4
181	так сказать	14	4
182	по преимуществу	4	4
183	дело в	3	4
184	в каждом	2	4
185	особенно в	3	4
186	себя в	2	4
187	это значит	3	4
188	тем что	4	4
189	на земле	2	4
190	и наконец	6	4
191	он ни	2	4
192	и есть	3	4
193	с этой	3	4
194	времени и	10	4
195	героев и	5	4
196	его и	2	4
197	в отличие	3	4
198	с самого	3	4
199	и более	3	4
200	связан с	2	4
201	далеко не	3	4
202	с собой	2	4
203	в которых	4	4
204	личности и	2	4
205	к жизни	2	4
206	с точки	9	4
207	той же	2	4
208	но он	4	4
209	до сих	4	4
210	человек был	4	3
211	во времени	6	3
212	его к	2	3
213	в процессе	4	3
214	вплоть до	3	3
215	даже не	2	3
216	бога и	2	3
217	герой в	2	3
218	к себе	8	3
219	в другом	2	3
220	отношение к	5	3
221	для себя	8	3
222	в средневековой	2	3
223	друг друга	3	3
224	подхода к	3	3
225	в виду	5	3
226	людей и	2	3
227	в один	2	3
228	мы находим	2	3
229	как уже	3	3
230	в него	2	3
231	более того	4	3
232	к тому	6	3
233	особое место	2	3
234	в ней	4	3
235	на себя	2	3
236	главных героев	2	3
237	по этому	2	3
238	совсем не	4	3
239	и др	13	3
240	должны быть	2	3
241	и до	7	3
242	там где	4	3
243	никто не	2	3
244	романа мы	3	3
245	можно сказать	2	3
246	как мы	19	3
247	да и	4	3
248	сказать что	4	3
249	бы он	2	3
250	то в	2	3
251	сами по	2	3
252	этой проблемы	2	3
253	его с	2	3
254	время в	7	3
255	из этих	5	3
256	в начале	3	3
257	и еще	3	3
258	к ней	2	3
259	с ее	7	3
260	в этот	5	3
261	кроме того	7	3
262	лишь в	8	3
263	и вот	2	3
264	был бы	3	3
265	не является	4	3
266	только для	2	3
267	как по	2	3
268	в философии	2	3
269	ее в	2	3
270	для того	12	3
271	и их	11	3
272	у нас	2	3
273	со всеми	4	3
274	на протяжении	3	3
275	в жизни	6	3
276	нет и	4	3
277	автора и	4	3
278	в себя	3	3
279	и время	2	3
280	времени он	2	3
281	жизни не	3	3
282	образом и	2	3
283	и к	4	3
284	но на	4	3
285	ее по	3	3
286	на этом	2	3
287	не боится	2	3
288	по себе	3	3
289	как она	3	3
290	жизни и	12	3
291	но когда	2	3
292	во всяком	5	3
293	или в	3	3
294	и только	3	3
295	тому же	2	3
296	жизни но	7	3
297	в одном	10	3
298	на площади	4	3
299	данном случае	2	2
300	все более	2	2
301	в отношении	5	2
302	в таких	2	2
303	во все	4	2
304	не могут	4	2
305	характера в	2	2
306	о чем	4	2
307	и поэтому	2	2
308	этого романа	6	2
309	когда я	2	2
310	между вещами	3	2
311	есть не	4	2
312	должен быть	2	2
313	ведь это	2	2
314	авантюрного романа	4	2
315	а как	3	2
316	он всегда	2	2
317	после этого	2	2
318	этот тип	2	2
319	в одно	3	2
320	начинается с	2	2
321	всякого рода	3	2
322	не зная	2	2
323	точку зрения	3	2
324	xviii века	3	2
325	здесь нет	3	2
326	с тем	5	2
327	в вечности	2	2
328	и имеет	3	2
329	она не	2	2
330	того же	9	2
331	была бы	2	2
332	мы наблюдаем	2	2
333	жизнь в	2	2
334	точка зрения	4	2
335	большую роль	4	2
336	характер в	2	2
337	смерти в	3	2
338	и та	2	2
339	весь роман	2	2
340	между собой	5	2
341	и рядом	2	2
342	для них	3	2
343	того чтобы	11	2
344	числе и	4	2
345	при изображении	4	2
346	это время	8	2
347	было бы	2	2
348	протяжении всего	2	2
349	же в	6	2
350	связи с	14	2
351	в пространстве	10	2
352	в сущности	5	2
353	в связи	13	2
354	он был	2	2
355	в качестве	6	2
356	во время	7	2
357	развития человечества	3	2
358	значение в	5	2
359	рядом с	4	2
360	входят в	2	2
361	и того	7	2
362	вырваться из	2	2
363	в литературу	3	2
364	жизни с	2	2
365	здесь мы	4	2
366	в честь	2	2
367	не столь	2	2
368	и вообще	3	2
369	но она	2	2
370	всех этих	9	2
371	не могли	3	2
372	имеет в	2	2
373	в эпоху	5	2
374	времени а	2	2
375	в данном	4	2
376	с другими	3	2
377	и нет	2	2
378	человек с	2	2
379	во всех	13	2
380	время не	2	2
381	особое значение	2	2
382	с самим	6	2
383	из нее	2	2
384	в глаза	3	2
385	событий и	3	2
386	мир в	6	2
387	пространства и	6	2
388	образ человека	7	2
389	мира в	6	2
390	случайностей и	2	2
391	где он	2	2
392	в результате	6	2
393	ни к	3	2
394	одновременно с	2	2
395	наконец в	2	2
396	жизнь и	4	2
397	с одной	5	2
398	не похож	3	2
399	и должно	2	2
400	не имеет	5	2
401	и является	2	2
402	за пределами	2	2
403	от всех	2	2
404	отчасти и	4	2
405	ни в	9	2
406	и здесь	2	2
407	их в	6	2
408	человек в	5	2
409	все что	2	2
410	входит в	3	2
411	но для	2	2
412	этом романе	2	2
413	к своей	2	2
414	жизни или	2	2
415	внимание на	2	2
416	которой он	3	2
417	в стороне	2	2
418	с их	2	2
419	уже говорили	6	2
420	и уже	4	2
421	в быту	4	2
422	своей собственной	3	2
423	том числе	7	2
424	человек и	2	2
425	как на	2	2
426	же и	2	2
427	самое время	3	2
428	как его	3	2
429	этот момент	2	2
430	не к	2	2
431	как раз	13	2
432	мы уже	17	2
433	по самому	3	2
434	ясно что	2	2
