N	2gram	Losev_Dial	RusskieA
128	но они	2	6
129	и пр	7	6
130	и более	7	6
131	на нее	2	6
132	в таком	4	6
133	на самом	5	5
134	вопрос о	3	5
135	и потому	6	5
136	в тех	2	5
137	вплоть до	3	5
138	но если	6	5
139	тогда когда	6	5
140	что он	16	5
141	вывод что	2	5
142	в москве	2	5
143	прежде всего	14	5
144	и др	2	5
145	в разных	6	5
146	к ним	3	5
147	с этим	5	5
148	заметить что	2	5
149	в то	10	5
150	или вообще	3	5
151	в связи	3	5
152	не было	7	5
153	например в	2	5
154	в его	4	5
155	то и	3	5
156	его с	6	5
157	можно было	5	5
158	в особенности	6	5
159	ничего общего	4	5
160	чаще всего	2	5
161	не с	5	5
162	и для	2	5
163	с целью	3	5
164	с другой	10	5
165	и к	8	5
166	отнюдь не	13	5
167	с ним	9	5
168	мы уже	8	5
169	где есть	3	4
170	как можно	2	4
171	если в	5	4
172	иное как	4	4
173	не был	3	4
174	но есть	2	4
175	не что	4	4
176	у них	3	4
177	и при	3	4
178	нас не	2	4
179	связано с	2	4
180	только тогда	9	4
181	или по	2	4
182	могут быть	6	4
183	и до	2	4
184	и тогда	4	4
185	во всяком	5	4
186	в основе	4	4
187	и от	5	4
188	по своему	4	4
189	дело не	3	4
190	к ней	4	4
191	несмотря на	12	4
192	не просто	19	4
193	кроме того	2	4
194	та же	6	4
195	природы и	2	4
196	и потом	2	4
197	что иное	4	4
198	такой же	2	4
199	и из	6	4
200	но все	5	4
201	что у	3	4
202	что для	3	4
203	именно в	4	4
204	в котором	5	4
205	как они	2	4
206	уже в	5	4
207	в ней	4	4
208	которое в	2	4
209	всяком случае	3	4
210	то время	3	4
211	во всем	3	4
212	но он	3	4
213	никогда не	18	3
214	чтобы не	6	3
215	всех этих	4	3
216	в одной	4	3
217	с той	2	3
218	сразу же	2	3
219	есть и	11	3
220	это и	6	3
221	в виду	9	3
222	на все	2	3
223	к выводу	2	3
224	тут же	2	3
225	как он	5	3
226	в одно	5	3
227	или менее	5	3
228	и другое	3	3
229	в отдельности	3	3
230	они были	2	3
231	когда они	3	3
232	что все	2	3
233	и это	6	3
234	более или	5	3
235	тех пор	2	3
236	точки зрения	25	3
237	в различных	2	3
238	же не	4	3
239	в области	2	3
240	в какой	3	3
241	в ее	3	3
242	что с	2	3
243	в своей	9	3
244	в другое	2	3
245	нет и	2	3
246	хотя и	4	3
247	также что	2	3
248	и то	15	3
249	выводу что	2	3
250	или не	5	3
251	судить о	2	3
252	независимо от	2	3
253	с другими	2	3
254	ее на	2	3
255	и еще	4	3
256	в которой	3	3
257	которые не	2	3
258	от этого	5	3
259	на него	2	3
260	к другу	2	3
261	если бы	12	3
262	на первый	2	3
263	можно говорить	2	3
264	а именно	3	3
265	нами выше	2	3
266	между собою	3	3
267	сих пор	4	3
268	в воде	2	3
269	что касается	3	3
270	жизнь и	5	3
271	с одной	4	3
272	это конечно	5	3
273	есть в	2	3
274	ее к	2	3
275	думать что	3	3
276	не к	2	3
277	на то	5	3
278	все что	2	3
279	когда он	2	3
280	же деле	2	3
281	так чтобы	2	3
282	друг к	2	3
283	с точки	18	3
284	говорит о	6	3
285	только как	3	3
286	самом же	2	3
287	и его	6	3
288	сходство с	2	3
289	на природу	2	3
290	же и	11	3
291	как только	4	3
292	что именно	3	3
293	тому же	3	3
294	быть и	7	3
295	до сих	4	3
296	время и	2	2
297	другое время	2	2
298	и притом	7	2
299	что их	2	2
300	и следовательно	7	2
301	в себе	23	2
302	от него	4	2
303	и вообще	10	2
304	перед нами	3	2
305	не отличаются	2	2
306	не как	4	2
307	не дают	2	2
308	в силу	6	2
309	в конце	5	2
310	отношение к	5	2
311	кто же	2	2
312	должен быть	2	2
313	а он	4	2
314	и тем	2	2
315	же можно	2	2
316	в частности	4	2
317	самом деле	6	2
318	т п	3	2
319	в один	3	2
320	сами не	2	2
321	может иметь	6	2
322	на сцену	2	2
323	в него	2	2
324	тот кто	2	2
325	но так	2	2
326	но мы	3	2
327	только с	3	2
328	они не	3	2
329	с другом	2	2
330	ко всему	3	2
331	какие же	2	2
332	точка зрения	3	2
333	далее в	2	2
334	одной стороны	3	2
335	по этой	2	2
336	время но	3	2
337	для чего	2	2
338	очень много	4	2
339	с нею	3	2
340	не всякий	2	2
341	здесь в	3	2
342	поэзии и	4	2
343	мы видим	6	2
344	и когда	5	2
345	иметь в	4	2
346	случае не	4	2
347	в дальнейшем	6	2
348	что эти	3	2
349	можно сказать	10	2
350	для него	2	2
351	относится к	2	2
352	на ту	2	2
353	от земли	2	2
354	и состоит	2	2
355	в одну	8	2
356	сказать что	19	2
357	на всю	6	2
358	характерна для	2	2
359	это еще	2	2
360	он не	5	2
361	что если	4	2
362	когда мы	3	2
363	другой стороны	7	2
364	значит что	25	2
365	и он	6	2
366	тем более	2	2
367	в каждом	4	2
368	должно быть	7	2
369	разница между	2	2
370	если она	4	2
371	время не	3	2
372	но совершенно	2	2
373	обе стороны	3	2
374	из нее	2	2
375	и даже	23	2
376	мы можем	5	2
377	друг с	2	2
378	общего с	6	2
379	как не	4	2
380	д и	3	2
381	этом отношении	2	2
382	не является	3	2
383	он есть	6	2
384	с этой	3	2
385	совершенно не	13	2
386	как у	3	2
387	во всю	2	2
388	быть только	3	2
389	что есть	2	2
390	живут в	2	2
391	на тот	2	2
392	как известно	3	2
393	о своих	2	2
394	в жизни	3	2
395	ни с	8	2
396	и так	2	2
397	и является	2	2
398	говорить что	2	2
399	в чем	9	2
400	что такое	13	2
401	если это	3	2
402	уже знаем	4	2
403	был в	2	2
404	не значит	6	2
405	в царство	3	2
406	и если	5	2
407	оно не	2	2
408	на что	3	2
409	из всего	2	2
410	но что	10	2
411	виду что	2	2
412	по себе	39	2
413	и всех	4	2
414	раз и	2	2
415	также не	2	2
416	из этого	2	2
417	на лицо	2	2
418	что эта	5	2
419	говорить о	9	2
420	у него	2	2
421	друг другу	4	2
422	но эта	4	2
423	все в	2	2
