N	2gram	Savitsky_E	Formalny
111	в других	2	8
112	между собой	2	8
113	одной стороны	8	8
114	в них	3	8
115	с одной	8	8
116	в области	11	8
117	же как	5	8
118	что это	2	8
119	с этим	2	8
120	в данном	3	8
121	и к	3	8
122	в сторону	2	8
123	для того	6	8
124	на основе	2	8
125	том что	6	7
126	в себе	9	7
127	как их	2	7
128	свою очередь	2	7
129	стороны и	6	7
130	во втором	2	7
131	не на	4	7
132	известной степени	3	7
133	сказать что	4	7
134	в содержании	2	7
135	того или	4	7
136	время в	3	7
137	применении к	3	7
138	жизни в	3	7
139	и наконец	2	7
140	и только	3	7
141	в применении	3	7
142	в какой	2	7
143	и более	2	7
144	столь же	5	7
145	из них	3	7
146	в той	5	7
147	от этого	5	7
148	данном случае	2	6
149	и отчасти	2	6
150	тем самым	5	6
151	в направлении	4	6
152	в россии	5	6
153	и тем	3	6
154	и других	2	6
155	в частности	5	6
156	в этих	2	6
157	не из	3	6
158	ее в	3	6
159	такой же	2	6
160	о том	3	6
161	по преимуществу	2	6
162	в смысле	9	6
163	даже в	4	5
164	мы должны	2	5
165	тому чтобы	2	5
166	все более	9	5
167	не можем	2	5
168	всего в	2	5
169	одной из	5	5
170	в значительной	2	5
171	и по	5	5
172	обстоит дело	3	5
173	можно сказать	4	5
174	на язык	2	5
175	хотя и	2	5
176	бы и	3	5
177	и то	2	5
178	если в	2	5
179	то в	4	5
180	в мире	2	5
181	какой бы	2	5
182	и эта	2	5
183	мы можем	3	5
184	в эту	2	5
185	с этой	6	5
186	для нас	4	5
187	к нему	2	5
188	ни на	3	5
189	не имеет	4	5
190	в котором	2	5
191	в отношении	32	5
192	этом смысле	3	5
193	и со	3	5
194	и что	2	5
195	же в	2	5
196	как на	3	5
197	вопрос о	4	5
198	и притом	4	4
199	очевидно что	3	4
200	но даже	4	4
201	но именно	2	4
202	тогда когда	2	4
203	влияние на	2	4
204	и чем	2	4
205	себе в	3	4
206	идет о	3	4
207	того же	3	4
208	подходит к	2	4
209	не будет	3	4
210	или в	2	4
211	и во	2	4
212	во всей	2	4
213	этот процесс	2	4
214	имеет место	2	4
215	нам кажется	7	4
216	к ней	4	4
217	целый ряд	2	4
218	как не	2	4
219	в таком	3	4
220	отношении к	15	4
221	но если	5	4
222	не к	2	4
223	думать что	8	4
224	этот вопрос	2	4
225	в некоторых	2	4
226	и если	2	3
227	во все	3	3
228	или иной	4	3
229	в каком	4	3
230	техники и	4	3
231	иначе обстоит	2	3
232	на своем	3	3
233	как совокупности	2	3
234	связано с	3	3
235	в развитии	2	3
236	проблемы и	2	3
237	от них	3	3
238	но как	2	3
239	и этот	2	3
240	с другом	3	3
241	или точнее	2	3
242	точка зрения	2	3
243	притом в	2	3
244	что на	2	3
245	мы видим	2	3
246	не дают	2	3
247	в качестве	14	3
248	это значит	2	3
249	как совокупность	4	3
250	культуры и	2	3
251	кажется что	2	3
252	тем более	4	3
253	следует отметить	2	3
254	дело в	3	3
255	в данной	3	3
256	друг с	3	3
257	во второй	3	3
258	мира в	4	3
259	в известной	3	3
260	вообще не	3	3
261	на то	6	3
262	когда он	3	3
263	в которых	3	3
264	в одном	2	3
265	а именно	2	3
266	и прежде	3	3
267	к нулю	2	3
268	не дает	3	3
269	даже что	2	2
270	такое предположение	2	2
271	из того	2	2
272	в определенном	3	2
273	можно утверждать	2	2
274	ними и	2	2
275	ценностей в	2	2
276	есть не	2	2
277	что если	2	2
278	в виде	5	2
279	друг от	2	2
280	при помощи	2	2
281	и та	2	2
282	ведь и	2	2
283	бы о	2	2
284	к ним	3	2
285	происходит в	2	2
286	только к	2	2
287	этих областей	5	2
288	мира и	3	2
289	не говоря	2	2
290	в полной	4	2
291	этой точки	5	2
292	для этих	2	2
293	его на	2	2
294	в силу	2	2
295	отметить что	3	2
296	заключается в	2	2
297	и некоторые	3	2
298	говоря уже	2	2
299	культуры с	2	2
300	представление о	2	2
301	совершенно очевидно	2	2
302	ту или	3	2
303	можно было	3	2
304	той или	4	2
305	участие в	2	2
306	именно потому	2	2
307	на этот	2	2
308	далеко не	2	2
309	бы совершенно	2	2
310	от друга	2	2
311	поскольку он	2	2
312	во многом	2	2
313	в другой	2	2
314	совершенно прав	2	2
315	ее от	2	2
316	несмотря на	4	2
317	или хотя	2	2
318	и того	2	2
319	говорит о	3	2
320	эти последние	2	2
321	но с	2	2
322	и всецело	2	2
323	россии и	3	2
324	чем в	4	2
