N	2gram	Tiupa_Disk	slovoVRo
347	да и	2	2
348	особого рода	3	2
349	нашего времени	2	2
350	из важнейших	2	2
351	до нас	2	2
352	и что	2	2
353	диалогические отношения	2	2
354	жанрах в	2	2
355	существенную роль	4	2
356	в равной	3	2
357	бы быть	3	2
358	с ней	3	2
359	не нужно	2	2
360	автора в	2	2
361	в области	3	2
362	к одному	2	2
363	мира в	6	2
364	об этом	3	2
365	и всякое	2	2
366	тот или	2	2
367	в жизни	2	2
368	жанров и	2	2
369	романом и	3	2
370	за его	2	2
371	чем не	3	2
372	ни к	11	2
373	но они	3	2
374	образ человека	2	2
375	наших дней	2	2
376	и романа	2	2
377	в какой	2	2
378	заключается в	3	2
379	с человеком	3	2
380	можно говорить	2	2
381	принадлежащих к	2	2
382	столь же	6	2
383	в котором	7	2
384	высказывания не	2	2
385	в своих	6	2
386	различные формы	2	2
387	жанра но	3	2
388	приводит к	4	2
389	в начале	2	2
390	точке зрения	2	2
391	момент в	3	2
392	и одновременно	3	2
393	не знают	2	2
394	привело к	4	2
395	ближе к	2	2
396	мы все	2	2
397	не обязательно	4	2
398	на роль	2	2
399	только о	2	2
400	нового времени	2	2
401	жизни но	2	2
402	персонажей и	2	2
403	не к	3	2
404	в нашем	2	2
