N	2gram	Tiupa_Lite	Formalny
101	не есть	2	10
102	не как	4	10
103	друг друга	5	10
104	и др	4	10
105	в художественном	6	10
106	мы не	5	10
107	не было	5	10
108	по существу	4	10
109	другой стороны	5	10
110	о литературе	2	10
111	с ее	3	10
112	не является	3	10
113	и как	2	10
114	в своих	5	10
115	раз и	2	10
116	он не	4	10
117	на фоне	5	10
118	в слове	3	10
119	тем же	5	10
120	ничего не	3	9
121	для понимания	2	9
122	но это	2	9
123	в каждом	2	9
124	и даже	9	9
125	у нас	5	9
126	не могло	3	9
127	от всех	2	9
128	в свою	2	9
129	ни было	2	9
130	это не	4	8
131	одной стороны	8	8
132	с одной	9	8
133	в области	5	8
134	же как	3	8
135	для этого	5	8
136	в данном	7	8
137	из этого	2	8
138	и является	2	8
139	должен быть	2	8
140	роль в	2	8
141	для того	2	8
142	на основе	2	8
143	том что	19	7
144	в себе	8	7
145	свою очередь	2	7
146	как к	4	7
147	даже и	2	7
148	во втором	3	7
149	произведение в	2	7
150	в сущности	5	7
151	не на	2	7
152	к этому	2	7
153	в первый	2	7
154	в особенности	2	7
155	жизни в	5	7
156	и наконец	2	7
157	и только	4	7
158	в какой	2	7
159	столь же	5	7
160	искусства в	2	7
161	из них	5	7
162	он и	5	7
163	же и	3	7
164	данном случае	6	6
165	тем самым	8	6
166	именно так	3	6
167	в конце	6	6
168	в россии	2	6
169	на этом	3	6
170	и тем	4	6
171	и других	4	6
172	в частности	18	6
173	в формах	4	6
174	так в	6	6
175	в этих	2	6
176	один из	7	6
177	из этих	2	6
178	за пределы	3	6
179	в статье	2	6
180	такой же	3	6
181	не по	2	6
182	искусства и	6	6
183	например в	3	6
184	о том	3	6
185	по преимуществу	6	6
186	произведения искусства	4	6
187	уже в	7	6
188	с ним	2	6
189	той же	5	6
190	даже в	6	5
191	все более	3	5
192	не можем	2	5
193	в виду	4	5
194	а как	2	5
195	отличие от	6	5
196	всего в	4	5
197	одной из	2	5
198	а только	2	5
199	одного из	4	5
200	в отличие	6	5
201	то это	2	5
202	что не	3	5
203	да и	3	5
204	и то	3	5
205	если в	2	5
206	то в	3	5
207	не столько	8	5
208	то и	5	5
209	в мире	9	5
210	по аналогии	3	5
211	перестает быть	5	5
212	с этой	6	5
213	для нас	3	5
214	то он	3	5
215	не имеет	2	5
216	слова в	2	5
217	в отношении	2	5
218	приводит к	4	5
219	еще в	7	5
220	он становится	2	5
221	тому как	4	5
222	и что	2	5
223	же в	6	5
224	как на	3	5
225	в нашем	2	5
226	однако не	2	5
227	чтобы не	2	4
228	очевидно что	2	4
229	от него	2	4
230	но даже	2	4
231	наконец в	2	4
232	одним из	8	4
233	как он	2	4
234	героя в	2	4
235	себе в	3	4
236	идет о	4	4
237	произведение искусства	8	4
238	к этой	2	4
239	того же	5	4
240	от других	2	4
241	можно и	2	4
242	аналогии с	3	4
243	всех своих	3	4
244	от тех	2	4
245	одна из	8	4
246	нет в	2	4
247	тех же	3	4
248	но при	2	4
249	только то	3	4
250	а к	2	4
251	однако и	2	4
252	тем не	4	4
253	едва ли	5	4
254	превращается в	2	4
255	та же	2	4
256	со всей	2	4
257	отношении к	2	4
258	ценностный центр	2	4
259	не к	3	4
260	есть лишь	2	4
261	подобно тому	4	4
262	что для	2	4
263	что такое	2	4
264	или иначе	9	4
265	не для	2	4
266	в художественной	4	4
267	в годы	3	4
268	все они	2	3
269	каждый из	4	3
270	или иной	3	3
271	для всех	5	3
272	для нее	2	3
273	одну из	2	3
274	на один	2	3
275	воздействия на	2	3
276	в году	18	3
277	так что	4	3
278	и иных	2	3
279	со всеми	2	3
280	но как	3	3
281	для этой	2	3
282	так или	8	3
283	состоит в	18	3
284	xviii века	2	3
285	нуждается в	3	3
286	к своему	2	3
287	в качестве	21	3
288	как совокупность	3	3
289	культуры и	2	3
290	никак не	2	3
291	в сознании	3	3
292	время не	2	3
293	тем более	2	3
294	в словах	2	3
295	дело в	3	3
296	из своих	2	3
297	не сводится	3	3
298	во второй	2	3
299	но уже	2	3
300	следующим образом	2	3
301	каждого из	2	3
302	том числе	2	3
303	мира в	4	3
304	художественного целого	3	3
305	бы не	3	3
306	сознания в	14	3
307	в чем	2	3
308	одновременно с	2	3
309	не должен	3	3
310	не с	2	3
311	на нее	2	3
312	на то	2	3
313	в одном	2	3
314	и прежде	4	3
315	со своей	3	3
316	ту же	4	3
317	с их	3	3
318	не просто	2	3
319	в противовес	2	3
320	ничего общего	2	3
321	художественного творчества	3	3
322	человека в	5	2
323	в каждой	2	2
324	из того	3	2
325	по тем	2	2
326	человека и	2	2
327	искусства как	2	2
328	в другом	3	2
329	евгения онегина	2	2
330	есть не	2	2
331	индивидуального сознания	2	2
332	литературе в	3	2
333	сознания а	2	2
334	от литературы	2	2
335	не знает	3	2
336	от всякой	2	2
337	а с	2	2
338	не тот	2	2
339	в руках	2	2
340	на первом	2	2
341	общего с	3	2
342	это уже	2	2
343	а если	2	2
344	ему в	2	2
345	и само	3	2
346	с читателем	2	2
347	мы имеем	2	2
348	уже о	2	2
349	не говоря	3	2
350	этой точки	3	2
351	однако в	7	2
352	с сыном	2	2
353	по этому	2	2
354	мы в	3	2
355	в силу	4	2
356	при всем	4	2
357	говоря уже	3	2
358	в чужом	4	2
359	этом случае	2	2
360	из его	2	2
361	который в	2	2
362	жизни с	2	2
363	до последнего	2	2
364	отношения между	3	2
365	особого рода	3	2
366	все то	2	2
367	мышления и	3	2
368	и нет	4	2
369	х годов	5	2
370	же это	3	2
371	ту или	2	2
372	можно было	3	2
373	ведь мы	2	2
374	самого художественного	2	2
375	в душе	3	2
376	и жизни	4	2
377	себя в	7	2
378	дело не	2	2
379	и вполне	3	2
380	и вот	2	2
381	произведения с	2	2
382	героя и	2	2
383	что его	3	2
384	а для	3	2
385	но только	3	2
386	русской литературы	3	2
387	далеко не	4	2
388	целом ряде	2	2
389	отказ от	7	2
390	он говорит	2	2
391	их не	2	2
392	в принципе	7	2
393	или иных	2	2
394	в стихах	8	2
395	поскольку он	2	2
396	жизни не	2	2
397	на читателя	2	2
398	несмотря на	3	2
399	все что	3	2
400	тех или	2	2
401	и того	2	2
402	и есть	3	2
403	является по	2	2
404	свое собственное	3	2
405	но с	3	2
