N	2gram	Berdyaev_M	Dialekti
173	как он	4	9
174	и по	4	9
175	в истории	2	9
176	не как	4	9
177	подобно тому	2	9
178	в этих	6	9
179	и более	2	9
180	в котором	9	9
181	тому как	2	9
182	той же	3	9
183	и от	3	9
184	тому что	2	9
185	быть может	9	9
186	и когда	2	9
187	и он	21	9
188	то время	2	9
189	бы в	3	9
190	лишь как	3	9
191	мир и	3	9
192	на этом	5	9
193	и на	9	9
194	на самом	2	8
195	в отношении	6	8
196	от него	4	8
197	и без	2	8
198	не будет	3	8
199	есть религия	6	8
200	в этой	12	8
201	только и	7	8
202	все время	3	8
203	у нас	13	8
204	одна и	3	8
205	один из	9	8
206	но она	3	8
207	когда мы	2	8
208	– значит	3	8
209	бы и	8	8
210	что есть	7	8
211	нет и	6	8
212	в сфере	2	8
213	себя в	6	8
214	в разных	3	8
215	есть явление	3	7
216	и сама	2	7
217	в конце	11	7
218	он должен	4	7
219	его с	4	7
220	его как	2	7
221	тем что	7	7
222	думать что	4	7
223	все что	5	7
224	личность и	2	7
225	и всякий	2	7
226	не потому	2	7
227	же есть	4	7
228	не знает	12	7
229	мира и	6	7
230	и я	5	7
231	– вот	2	7
232	с его	6	7
233	истории и	2	7
234	и их	3	7
235	как в	9	7
236	в мире	12	7
237	но для	2	7
238	он сам	11	7
239	только одно	3	7
240	отношения к	6	7
241	но он	17	7
242	можно и	2	6
243	оказывается что	2	6
244	отношение к	9	6
245	с тем	10	6
246	они не	4	6
247	того чтобы	4	6
248	себя и	6	6
249	никто не	3	6
250	для этого	3	6
251	в которой	8	6
252	что нет	2	6
253	в каком-то	2	6
254	по своей	4	6
255	ни к	2	6
256	все –	2	6
257	вообще не	2	6
258	не быть	2	6
259	но с	2	6
260	вместе с	7	6
261	его в	6	6
262	о чем	3	6
263	нем есть	5	6
264	это все	2	6
265	по своему	3	6
266	о нем	2	6
267	хочет быть	2	6
268	образ и	7	6
269	того как	3	6
270	личности но	2	6
271	с их	2	6
272	во всех	3	6
273	если нет	9	6
274	я и	3	6
275	от всякого	2	6
276	для него	28	6
277	и часто	2	6
278	мог бы	5	6
279	уже в	6	6
280	может не	3	6
281	бы ни	2	6
282	тот кто	5	5
283	же не	2	5
284	и во	5	5
285	только один	3	5
286	если в	2	5
287	свободы и	13	5
288	по сравнению	3	5
289	бы это	2	5
290	которая не	2	5
291	мы еще	4	5
292	сих пор	5	5
293	что у	3	5
294	в своих	4	5
295	когда он	3	5
296	есть уже	8	5
297	если он	7	5
298	же что	2	5
299	от нее	5	5
300	конце концов	3	5
301	сравнению с	2	5
302	бытия но	2	5
303	все в	7	5
304	и у	3	5
305	ведь это	2	5
306	нет никаких	2	5
307	одной и	2	5
308	том смысле	2	5
309	в него	3	5
310	и она	5	5
311	может ли	2	5
312	все его	3	5
313	– к	3	5
314	и еще	3	5
315	и той	2	5
316	к этому	3	5
317	к ней	6	5
318	в свете	3	5
319	отношении к	4	5
320	есть прежде	4	5
321	есть также	4	5
322	он и	2	5
323	в той	3	5
324	до сих	5	5
325	и нужно	2	4
326	его на	4	4
327	человека и	19	4
328	в каждом	4	4
329	а как	2	4
330	же можно	2	4
331	у них	4	4
332	тут в	2	4
333	в христианстве	3	4
334	был бы	11	4
335	из самых	9	4
336	говорят о	2	4
337	и эта	3	4
338	плоти и	4	4
339	нас в	3	4
340	то он	3	4
341	с другим	3	4
342	еще более	3	4
343	о себе	3	4
344	и мира	3	4
345	из себя	2	4
346	выйти из	2	4
347	в глубине	10	4
348	к богу	5	4
349	есть выражение	2	4
350	я бы	2	4
351	но эта	2	4
352	на все	3	4
353	дальше и	2	4
354	жизнь в	4	4
355	людей и	5	4
356	и вместе	4	4
357	мир в	3	4
358	человек и	7	4
359	много раз	2	4
360	что дух	2	4
361	что человек	5	4
362	в этот	2	4
363	потому и	2	4
364	есть та	2	4
365	у него	38	4
366	и должно	3	4
367	и здесь	6	4
368	и этим	2	4
369	будто бы	3	4
370	к чему	5	4
371	друг друга	12	4
372	быть не	2	4
373	тому чтобы	2	3
374	для нас	3	3
375	сознания в	2	3
376	от его	3	3
377	сам не	4	3
378	должен быть	4	3
379	а лишь	3	3
380	и всегда	3	3
381	от своего	2	3
382	света и	2	3
383	не надо	2	3
384	к своему	2	3
385	идеей и	2	3
386	и возможно	2	3
387	всего в	2	3
388	не так	6	3
389	и этот	4	3
390	и человек	5	3
391	место в	4	3
392	не бывает	3	3
393	всю жизнь	7	3
394	уже нет	3	3
395	говорит что	3	3
396	мысли и	2	3
397	целый ряд	2	3
398	чтобы получить	2	3
399	лишь в	8	3
400	верит в	2	3
401	как у	2	3
402	чем не	3	3
403	природы в	5	3
404	которая есть	4	3
405	на почве	3	3
406	но к	2	3
407	человеческого сознания	3	3
408	в свою	5	3
409	в которых	5	3
410	мир не	2	3
411	момент в	5	3
412	к свету	3	3
413	стать на	2	3
414	же о	2	3
415	человека но	5	3
416	не был	8	3
417	– есть	2	3
418	нас не	2	3
419	только с	3	3
420	к этой	3	3
421	она была	2	3
422	– с	2	3
423	с которой	2	3
424	лежит в	2	3
425	у достоевского	75	3
426	совсем не	3	3
427	к другому	4	3
428	я никогда	2	3
429	как то	2	3
430	в глубину	5	3
431	не от	3	3
432	и жизнь	3	3
433	по преимуществу	4	3
434	я хочу	3	3
435	и религия	3	3
436	бы не	4	3
437	на земле	7	3
438	на природу	4	3
439	о мире	2	3
440	культуры и	2	3
441	не к	6	3
442	я всегда	2	3
443	но на	2	3
444	ко всему	2	3
445	к самому	2	3
446	них нет	2	3
447	и именно	2	3
448	что было	2	3
449	не мог	6	3
450	между тем	2	3
451	бога не	4	2
452	не знали	2	2
453	ее и	2	2
454	что природа	2	2
455	чем его	5	2
456	или к	4	2
457	есть одно	2	2
458	не имеют	2	2
459	она может	2	2
460	– один	3	2
461	и поэтому	3	2
462	у человека	6	2
463	он также	2	2
464	как к	2	2
465	роль в	2	2
466	бы его	2	2
467	и других	2	2
468	потому не	3	2
469	почему не	2	2
470	они были	2	2
471	любви к	14	2
472	свет и	2	2
473	те же	5	2
474	них есть	2	2
475	свобода и	7	2
476	– он	2	2
477	в образе	4	2
478	ни одного	2	2
479	с такой	2	2
480	ли он	2	2
481	ответить на	2	2
482	и самого	2	2
483	не иметь	2	2
484	относится к	2	2
485	– лишь	2	2
486	и любят	2	2
487	за его	2	2
488	что бог	2	2
489	в эпоху	2	2
490	отсюда –	2	2
491	в духе	6	2
492	в которые	2	2
493	ли она	2	2
494	мысль о	2	2
495	на деле	4	2
496	природу в	2	2
497	он был	18	2
498	и быть	2	2
499	его личности	4	2
500	сторон в	2	2
501	все еще	2	2
502	прежде чем	2	2
503	на одной	2	2
504	было с	2	2
505	в такой	4	2
506	был в	4	2
507	еще в	4	2
508	друг к	6	2
509	на своем	4	2
510	духа и	6	2
511	человека от	4	2
512	есть что-то	6	2
513	в нашем	2	2
514	жизни не	2	2
515	и социализм	2	2
516	он переживает	2	2
517	чем в	3	2
518	есть судьба	2	2
519	мира не	3	2
520	этого вопроса	3	2
521	бог и	8	2
522	которые в	2	2
523	в человеке	10	2
524	жизни он	3	2
525	как для	2	2
526	доходит до	6	2
527	то есть	3	2
528	опыт и	2	2
529	есть момент	2	2
530	– идея	5	2
531	не остается	2	2
532	в идее	2	2
533	во многих	2	2
534	для философии	3	2
535	связано с	5	2
536	нем не	2	2
537	себе в	3	2
538	только это	2	2
539	на том	3	2
540	от этой	2	2
541	они и	3	2
542	всего –	2	2
543	разного рода	2	2
544	природе своей	2	2
545	человеческой жизни	4	2
546	человеческая жизнь	2	2
547	идей –	2	2
548	смысле слова	7	2
549	не были	2	2
550	и мир	2	2
551	и судьба	2	2
552	существует не	2	2
553	и самый	2	2
554	было в	3	2
555	людей на	2	2
556	всего что	2	2
557	нет в	5	2
558	небо и	4	2
559	тогда все	2	2
560	него и	3	2
561	свободе и	4	2
562	с ней	3	2
563	которые не	2	2
564	его есть	3	2
565	к другу	6	2
566	мы увидим	4	2
567	связана с	9	2
568	человека в	26	2
569	жизни в	3	2
570	достоевского в	10	2
571	кто не	2	2
572	что ничего	2	2
573	его и	2	2
574	а для	2	2
575	не видел	3	2
576	о своих	2	2
577	на этот	2	2
578	может уже	3	2
579	я хотел	2	2
580	в мысли	2	2
581	он мог	2	2
582	людьми и	3	2
583	человек в	12	2
584	исходит от	2	2
585	с которым	2	2
586	жизни а	3	2
587	ко всем	3	2
588	по природе	2	2
589	но также	2	2
590	не для	2	2
591	но когда	3	2
592	в идеале	2	2
593	и уж	2	2
594	образа и	2	2
595	мира в	2	2
596	природой и	3	2
