N	2gram	Tiupa_Narr	Komedia
457	как по	2	2
458	было ясно	2	2
459	зрения на	2	2
460	а для	4	2
461	но они	4	2
462	х гг	2	2
463	друг на	2	2
464	со своими	3	2
465	для него	8	2
466	в жизни	9	2
467	это уже	3	2
468	его жизни	5	2
469	и является	2	2
470	подобно тому	4	2
471	частности в	2	2
472	не будет	2	2
473	точек зрения	2	2
474	это была	3	2
475	не вполне	3	2
476	того кто	2	2
477	выходя из	2	2
478	пребывания в	4	2
479	как она	2	2
480	тому как	4	2
481	которой он	4	2
482	не владеет	3	2
483	к жизни	3	2
484	в случае	4	2
485	сводится к	10	2
486	к другому	2	2
487	говорит о	3	2
488	интриги в	2	2
489	на стороне	3	2
490	и только	2	2
491	в форме	7	2
492	на фоне	2	2
493	если же	2	2
494	от которой	2	2
495	из персонажей	2	2
