N	2gram	Bakhtin_sl	Analitik
239	а как	3	4
240	как он	2	4
241	как у	2	4
242	а именно	2	4
243	только на	3	4
244	известном смысле	2	4
245	его от	2	4
246	его и	5	4
247	о нем	6	4
248	и о	3	4
249	более того	5	4
250	к нему	7	4
251	или меньшей	5	4
252	и что	2	4
253	на себе	2	4
254	потому что	2	4
255	связь с	2	4
256	так в	2	4
257	в чем	2	4
258	его не	4	4
259	в известном	2	4
260	не предполагает	3	4
261	здесь в	6	4
262	с ними	8	4
263	и во	3	4
264	известной степени	6	4
265	лишь при	2	4
266	и т	56	4
267	бы и	6	4
268	сказать что	4	4
269	и от	5	4
270	по своему	2	4
271	к предмету	4	4
272	значительной степени	6	4
273	с этим	5	4
274	но это	3	4
275	однако и	2	4
276	не все	2	4
277	в которой	4	4
278	из своих	2	4
279	в двух	2	4
280	композиционная форма	3	4
281	отличается от	3	4
282	сама по	2	4
283	лишь на	3	4
284	человека в	5	4
285	сознания в	2	4
286	в значительной	6	4
287	ни было	2	4
288	не должно	3	4
289	мы уже	4	4
290	между ними	2	4
291	могли бы	2	4
292	большей или	5	4
293	подхода к	5	4
294	смысл его	2	4
295	не было	4	4
296	высказывания и	3	4
297	или напротив	2	4
298	или даже	5	4
299	и есть	2	4
300	в собственном	2	4
301	от автора	4	3
302	на самом	2	3
303	ни о	2	3
304	которые в	4	3
305	от него	5	3
306	слова как	8	3
307	человека и	3	3
308	включает в	3	3
309	здесь как	3	3
310	не был	2	3
311	одному из	2	3
312	может иметь	3	3
313	в виду	2	3
314	которого он	3	3
315	героя в	2	3
316	к своему	11	3
317	т п	49	3
318	на котором	3	3
319	она не	8	3
320	речи и	4	3
321	мира и	4	3
322	в ней	7	3
323	остается в	5	3
324	и те	3	3
325	между собой	3	3
326	языка и	18	3
327	ли он	4	3
328	что все	2	3
329	в зависимости	4	3
330	связи с	4	3
331	двуголосого слова	4	3
332	в связи	2	3
333	что они	2	3
334	случае не	2	3
335	на языке	2	3
336	иметь дело	2	3
337	для этого	4	3
338	произведения не	2	3
339	например в	6	3
340	первом случае	2	3
341	и той	2	3
342	х годов	2	3
343	так как	7	3
344	так сказать	11	3
345	можно было	2	3
346	дело в	2	3
347	бы ни	3	3
348	должно быть	3	3
349	всех этих	8	3
350	это было	2	3
351	борьба с	5	3
352	речи в	5	3
353	борьбы с	3	3
354	зависимости от	4	3
355	и может	4	3
356	что как	2	3
357	и наконец	9	3
358	с этой	3	3
359	смысл и	3	3
360	в какой	2	3
361	и внутренне	2	3
362	двуголосое слово	3	3
363	они не	3	3
364	также и	5	3
365	на то	2	3
366	оно может	3	3
367	на каждом	2	3
368	человек в	6	3
369	и следует	3	3
370	установкой на	4	3
371	в единое	2	3
372	оно не	12	3
373	и с	10	3
374	на почве	6	3
375	тогда когда	2	3
376	момент его	4	3
377	жизни и	5	3
378	своего предмета	5	3
379	из этого	3	3
380	слова в	19	3
381	но он	4	3
382	смысла и	6	3
383	этих случаях	2	3
384	далее в	2	2
385	в большинстве	16	2
386	оно и	4	2
387	о которых	2	2
388	в драме	2	2
389	но мы	2	2
390	слова не	5	2
391	или к	3	2
392	так же	2	2
393	для нас	7	2
394	в процессе	14	2
395	в одной	2	2
396	человек и	13	2
397	для всего	2	2
398	еще раз	3	2
399	не могла	2	2
400	произведения и	2	2
401	а лишь	2	2
402	иметь место	2	2
403	и эти	2	2
404	том же	4	2
405	не остается	2	2
406	высказывания как	2	2
407	в одно	2	2
408	и при	2	2
409	диалог в	2	2
410	и иных	6	2
411	или менее	5	2
412	от нас	2	2
413	от других	2	2
414	и исторически	3	2
415	в разных	3	2
416	характерно что	3	2
417	образом в	4	2
418	в прошлом	2	2
419	тому что	2	2
420	не приходится	2	2
421	только с	3	2
422	зрения и	4	2
423	борьбу с	2	2
424	из существеннейших	5	2
425	с другом	2	2
426	более или	5	2
427	жизнь в	2	2
428	все его	4	2
429	широком смысле	3	2
430	дистанции между	4	2
431	без другого	3	2
432	не его	2	2
433	просто не	2	2
434	науки о	2	2
435	в поэзии	4	2
436	не требует	3	2
437	на все	3	2
438	с языком	4	2
439	и др	17	2
440	однако этот	2	2
441	там где	10	2
442	ибо он	2	2
443	социальных диалектов	3	2
444	одновременно и	5	2
445	и другими	2	2
446	войти в	2	2
447	всех своих	2	2
448	в чужом	4	2
449	слов и	5	2
450	требует от	2	2
451	по существу	3	2
452	но эта	2	2
453	до последнего	2	2
454	одно и	3	2
455	мы видим	2	2
456	не столь	2	2
457	чужих слов	13	2
458	с этими	3	2
459	ним и	2	2
460	дело и	2	2
461	они могут	7	2
462	подход к	2	2
463	а на	3	2
464	время и	3	2
465	и слово	4	2
466	значение в	2	2
467	автора в	2	2
468	языка на	3	2
469	в самостоятельный	2	2
470	с одним	3	2
471	у нас	2	2
472	автора или	2	2
473	остается вне	4	2
474	со всеми	3	2
475	сих пор	4	2
476	том и	2	2
477	будучи по	2	2
478	друг с	2	2
479	на протяжении	3	2
480	от его	4	2
481	культуры и	2	2
482	понимание и	2	2
483	вообще не	4	2
484	он может	3	2
485	а между	2	2
486	к ним	2	2
487	еще более	7	2
488	языка в	21	2
489	в мировой	2	2
490	национального языка	8	2
491	среди других	3	2
492	слова о	2	2
493	автором и	3	2
494	может не	9	2
495	мифологическое мышление	2	2
496	мы и	2	2
497	данный момент	4	2
498	не просто	2	2
499	и только	2	2
500	в форме	3	2
501	как его	5	2
502	них не	2	2
503	и становится	2	2
504	до сих	4	2
505	произведения так	2	2
506	и остается	3	2
507	в системе	2	2
