N	2gram	Vinokur_St	Stilisti
115	не существует	4	4
116	языка и	4	4
117	или иное	3	4
118	было в	2	4
119	того времени	8	4
120	не просто	2	4
121	все это	13	4
122	в качестве	7	4
123	можно сказать	2	4
124	не к	2	4
125	в слове	5	4
126	и без	4	4
127	тем же	3	4
128	сказать что	9	3
129	на самом	8	3
130	это не	8	3
131	том что	49	3
132	бы мы	2	3
133	нуждается в	2	3
134	а к	2	3
135	в начале	5	3
136	в тех	5	3
137	но для	3	3
138	об этом	9	3
139	и даже	8	3
140	этого слова	2	3
141	и здесь	2	3
142	целый ряд	3	3
143	конце концов	2	3
144	во второй	10	3
145	в виду	6	3
146	в том	56	3
147	он должен	2	3
148	в частности	6	3
149	еще не	4	3
150	совершенно не	7	3
151	как в	15	3
152	свое выражение	2	3
153	не знает	2	3
154	для него	10	3
155	по своему	2	3
156	не так	2	3
157	и для	4	3
158	ни на	3	3
159	что у	8	3
160	в котором	11	3
161	их в	2	3
162	в голову	2	3
163	должно было	5	3
164	ответ на	4	3
165	что оно	4	3
166	выражение в	2	3
167	если не	4	3
168	допустим что	2	3
169	но что	2	3
170	из них	11	3
171	для нас	7	3
172	ведь если	2	3
173	хотя и	4	3
174	несмотря на	4	3
175	жизни и	6	3
176	что и	8	3
177	знакомства с	2	3
178	в ее	6	3
179	и уже	3	3
180	все эти	7	3
181	конечно не	2	3
182	связи с	3	3
183	что было	3	3
184	до того	4	3
185	отношения к	2	3
186	этом случае	3	3
187	между тем	7	3
188	вряд ли	8	3
189	в основе	4	3
190	не мог	3	3
191	еще и	5	2
192	до конца	4	2
193	в каком	4	2
194	в отношении	11	2
195	для этого	2	2
196	и вообще	5	2
197	вопрос о	9	2
198	на эти	7	2
199	и потому	3	2
200	значительной степени	3	2
201	как например	2	2
202	которые в	2	2
203	с этим	6	2
204	мы имеем	2	2
205	из этих	7	2
206	достаточно для	3	2
207	на эту	5	2
208	я считаю	5	2
209	в первой	12	2
210	бы и	4	2
211	времени и	4	2
212	к этому	4	2
213	по отношению	3	2
214	отношение к	3	2
215	да ведь	2	2
216	ли не	2	2
217	должен быть	3	2
218	к которому	4	2
219	а на	4	2
220	в середине	2	2
221	кроме того	3	2
222	тем что	6	2
223	бы не	2	2
224	этом отношении	13	2
225	из двух	3	2
226	в их	3	2
227	том же	3	2
228	не всегда	2	2
229	в значительной	2	2
230	в этих	5	2
231	что он	23	2
232	что то	2	2
233	по своей	2	2
234	в наших	2	2
235	и сам	4	2
236	нас не	3	2
237	должна была	6	2
238	отношению к	3	2
239	сих пор	12	2
240	его не	3	2
241	в какой	4	2
242	нужно было	2	2
243	не должен	2	2
244	о языке	2	2
245	себе в	2	2
246	чуть ли	2	2
247	ведь и	3	2
248	одной из	4	2
249	на этот	5	2
250	только потому	2	2
251	но не	5	2
252	материал для	6	2
253	также и	10	2
254	к нему	2	2
255	тому же	2	2
256	гораздо более	5	2
257	связанные с	3	2
258	в своих	2	2
259	еще более	5	2
260	даже и	2	2
261	этот вопрос	6	2
262	о них	3	2
263	в которых	5	2
264	ни один	2	2
265	не говоря	2	2
266	которые являются	2	2
267	и те	4	2
268	и он	2	2
269	место в	2	2
270	о чем	4	2
271	для них	2	2
272	не было	7	2
273	смысле этого	2	2
274	но это	9	2
275	в своей	12	2
276	и тогда	2	2
277	он не	11	2
278	эти вопросы	3	2
279	тот же	2	2
280	вовсе не	24	2
281	ясно что	10	2
282	это слово	6	2
