N	2gram	Vinokur_St	DiskursI
396	с этой	5	2
397	такой же	6	2
398	отказаться от	2	2
399	не по	5	2
400	отношении к	3	2
401	на этот	5	2
402	у него	3	2
403	ни с	3	2
404	ее в	2	2
405	поэтому в	4	2
406	на то	5	2
407	ни один	2	2
408	а между	2	2
409	еще более	5	2
410	в и	143	2
411	и с	6	2
412	о них	3	2
413	или иным	3	2
414	но для	3	2
415	но на	2	2
416	обратить внимание	4	2
417	всякий раз	2	2
418	произведения в	2	2
419	может не	2	2
420	и ему	2	2
421	и теперь	2	2
422	в случае	2	2
423	времени но	2	2
424	эпохи и	3	2
425	не знаю	2	2
426	в некоторых	3	2
427	что было	3	2
428	является не	4	2
429	по его	5	2
430	и только	3	2
431	как произведение	2	2
432	нельзя не	3	2
433	этих двух	4	2
434	одним и	2	2
435	чем он	3	2
436	а как	5	2
