N	2gram	Bakhtin_Pr	Formalny
107	литературы в	4	11
108	они не	5	11
109	в общем	2	11
110	в основе	6	11
111	так сказать	8	11
112	в большинстве	9	11
113	но не	9	11
114	слова и	5	11
115	что они	2	11
116	зависимости от	3	11
117	между тем	2	11
118	не о	2	10
119	действительности и	2	10
120	не как	5	10
121	друг друга	7	10
122	здесь и	7	10
123	и др	18	10
124	формы и	3	10
125	в зависимости	3	10
126	мы не	7	10
127	не было	5	10
128	в дальнейшем	8	10
129	по существу	7	10
130	мы видели	2	10
131	другой стороны	3	10
132	с ее	3	10
133	в своих	4	10
134	главным образом	3	10
135	большинстве случаев	9	10
136	раз и	2	10
137	конечно не	11	10
138	он не	5	10
139	если же	5	10
140	в слове	2	10
141	быть и	2	9
142	ничего не	8	9
143	для понимания	3	9
144	здесь не	5	9
145	но это	7	9
146	и до	6	9
147	в каждом	5	9
148	менее всего	4	9
149	и даже	5	9
150	но ведь	3	9
151	у нас	2	9
152	литературы и	4	9
153	от всех	2	9
154	еще более	6	9
155	говорить о	2	9
156	это не	10	8
157	в других	2	8
158	до сих	8	8
159	в них	4	8
160	в области	6	8
161	для этого	2	8
162	развития литературы	2	8
163	что это	2	8
164	не должна	2	8
165	с этим	3	8
166	всех этих	2	8
167	сих пор	8	8
168	всего этого	4	8
169	и к	13	8
170	на литературу	3	8
171	на основе	4	8
172	следовательно и	2	7
173	том что	9	7
174	в себе	10	7
175	в одной	4	7
176	что именно	2	7
177	или менее	3	7
178	совершается в	2	7
179	установка на	2	7
180	более или	3	7
181	даже и	3	7
182	в сущности	15	7
183	войти в	3	7
184	значение и	2	7
185	форм и	2	7
186	в литературу	5	7
187	сказать что	12	7
188	к этому	5	7
189	время в	2	7
190	в особенности	2	7
191	жизни в	4	7
192	и наконец	4	7
193	и более	3	7
194	ничем не	3	7
195	из них	7	7
196	он и	2	7
197	в той	2	7
198	и отчасти	2	6
199	тем самым	2	6
200	в которой	2	6
201	в направлении	2	6
202	в конце	5	6
203	отношение к	14	6
204	на этом	4	6
205	и тем	4	6
206	и других	12	6
207	в формах	2	6
208	и это	3	6
209	в этих	8	6
210	к действительности	3	6
211	на ее	2	6
212	один из	7	6
213	смысле этого	3	6
214	этого слова	3	6
215	должны быть	2	6
216	ее в	4	6
217	к его	2	6
218	его с	2	6
219	из этих	3	6
220	они и	3	6
221	особенно в	7	6
222	за пределы	7	6
223	отличается от	2	6
224	кроме того	6	6
225	но для	2	6
226	жизнь и	3	6
227	нет и	3	6
228	например в	8	6
229	о том	3	6
230	их в	3	6
231	в смысле	2	6
232	в произведении	3	6
233	уже в	3	6
234	именно на	2	6
235	с ним	3	6
236	той же	6	6
237	даже в	3	5
238	в широком	2	5
239	мы должны	4	5
240	могло бы	3	5
241	время и	3	5
242	все более	2	5
243	и формы	2	5
244	в виду	3	5
245	на все	4	5
246	а как	4	5
247	мы уже	9	5
248	может стать	4	5
249	и между	5	5
250	характерно что	3	5
251	одной из	6	5
252	так например	2	5
253	в него	4	5
254	и истории	2	5
255	а только	2	5
256	видения и	3	5
257	то это	4	5
258	и самый	6	5
259	и по	5	5
260	можно сказать	12	5
261	на язык	4	5
262	хотя и	10	5
263	бы и	3	5
264	да и	3	5
265	и то	2	5
266	если в	2	5
267	в эпоху	12	5
268	в мире	8	5
269	высказывания и	2	5
270	его как	3	5
271	в роман	2	5
272	языка а	2	5
273	мы можем	9	5
274	в эту	3	5
275	значение в	4	5
276	в условиях	7	5
277	к нему	3	5
278	отчасти и	4	5
279	всякое высказывание	2	5
280	в самой	2	5
281	в котором	8	5
282	слова в	3	5
283	а лишь	2	5
284	в отношении	3	5
285	этом романе	2	5
286	этом смысле	5	5
287	правда в	5	5
288	и что	3	5
289	и притом	2	4
290	от него	3	4
291	а на	2	4
292	к другим	4	4
293	жизнь не	2	4
294	наконец в	3	4
295	одним из	6	4
296	слово в	5	4
297	как он	4	4
298	но именно	4	4
299	героя в	2	4
300	влияние на	14	4
301	в романе	9	4
302	о нем	2	4
303	он в	2	4
304	между двумя	4	4
305	к этой	3	4
306	того же	5	4
307	в сюжете	3	4
308	ведь если	2	4
309	здесь в	11	4
310	и художественной	2	4
311	или в	7	4
312	самого начала	5	4
313	и во	6	4
314	во всей	5	4
315	с самого	4	4
316	своего развития	3	4
317	одна из	9	4
318	одной плоскости	2	4
319	он является	2	4
320	но при	2	4
321	истории и	2	4
322	нам кажется	4	4
323	к ней	3	4
324	тем не	2	4
325	на него	2	4
326	сама по	2	4
327	превращается в	5	4
328	в таком	3	4
329	и другие	14	4
330	и о	3	4
331	это положение	2	4
332	отношении к	2	4
333	но если	4	4
334	или на	3	4
335	на протяжении	5	4
336	не к	3	4
337	романа в	2	4
338	этот вопрос	3	4
339	мы говорим	2	4
340	и этим	3	4
341	и действительно	3	4
342	между людьми	5	4
343	к самому	5	4
344	в некоторых	7	4
345	между этими	2	4
346	что было	2	4
347	но эта	2	4
348	все в	3	4
349	мы и	4	4
350	вполне понятно	2	4
351	и если	4	3
352	жанра и	3	3
353	жанр и	2	3
354	все они	2	3
355	перед нами	17	3
356	к одному	2	3
357	во все	5	3
358	в плане	3	3
359	или иной	2	3
360	всех других	2	3
361	для всех	2	3
362	что уже	2	3
363	проявляется в	4	3
364	не всегда	3	3
365	в году	2	3
366	и при	2	3
367	они должны	3	3
368	органическое единство	2	3
369	в развитии	5	3
370	со всеми	8	3
371	от них	2	3
372	это последнее	2	3
373	никак нельзя	2	3
374	но как	2	3
375	для этой	2	3
376	но конечно	3	3
377	речи и	3	3
378	с другом	6	3
379	в чисто	2	3
380	или точнее	2	3
381	широком смысле	3	3
382	что на	2	3
383	из одного	2	3
384	оно должно	2	3
385	xviii века	3	3
386	же он	2	3
387	и совершенно	3	3
388	смысле слова	2	3
389	на его	4	3
390	не была	2	3
391	и через	5	3
392	и заключается	2	3
393	этом не	2	3
394	мы видим	2	3
395	числе и	13	3
396	к своему	4	3
397	очень важное	3	3
398	правда это	2	3
399	тот же	2	3
400	продолжает жить	2	3
401	вряд ли	2	3
402	все остальные	2	3
403	кажется что	3	3
404	нашей работы	3	3
405	слово и	2	3
406	в сознании	2	3
407	и самые	2	3
408	быть только	2	3
409	тем более	2	3
410	следует отметить	2	3
411	в словах	2	3
412	исторической поэтики	4	3
413	дело в	3	3
414	самом же	2	3
415	в новое	4	3
416	это было	3	3
417	поэтому и	4	3
418	из своих	3	3
419	и конечно	2	3
420	и тот	4	3
421	друг с	6	3
422	но уже	2	3
423	во всем	5	3
424	единство и	2	3
425	теперь мы	4	3
426	и создает	3	3
427	каждого из	2	3
428	том числе	15	3
429	иногда и	3	3
430	этот образ	2	3
431	в известной	3	3
432	в форме	6	3
433	и из	3	3
434	сюжета и	2	3
435	на то	2	3
436	он может	2	3
437	когда он	2	3
438	перейти к	2	3
439	строгом смысле	2	3
440	в которых	2	3
441	или наоборот	3	3
442	значение для	5	3
443	романа и	4	3
444	в одном	4	3
445	и прежде	6	3
446	не боится	2	3
447	со своей	2	3
448	пределах одного	6	3
449	же деле	2	3
450	можно назвать	2	3
451	ту же	2	3
452	с их	3	3
453	и особенно	3	3
454	ровно ничего	2	3
455	не то	3	3
456	развиваться в	2	3
457	но они	5	3
458	не дает	3	3
459	но он	3	3
460	человека в	6	2
461	имеет и	2	2
462	положения в	3	2
463	и почти	3	2
464	о чем	2	2
465	в тех	2	2
466	человека и	10	2
467	этого романа	3	2
468	связанных с	2	2
469	не был	3	2
470	не знают	2	2
471	ведь это	2	2
472	вообще в	2	2
473	не могли	2	2
474	авантюрного романа	3	2
475	совокупности всех	2	2
476	очень существенное	3	2
477	эти явления	3	2
478	и вся	4	2
479	особенно ярко	3	2
480	ко всем	2	2
481	друг от	2	2
482	в какой-то	5	2
483	не знает	8	2
484	отца с	2	2
485	в последующих	3	2
486	к ним	5	2
487	только с	3	2
488	всем этим	2	2
489	это уже	2	2
490	в более	5	2
491	связь с	4	2
492	мира и	3	2
493	и без	4	2
494	или к	2	2
495	мы имеем	4	2
496	и социальной	2	2
497	почти не	2	2
498	же не	2	2
499	не касаемся	2	2
500	ярко проявляется	2	2
501	мы в	2	2
502	людей в	2	2
503	отметить что	3	2
504	с ними	2	2
505	темы и	4	2
506	при всем	3	2
507	нужно сказать	2	2
508	и некоторые	2	2
509	его формы	2	2
510	в двух	3	2
511	быть даже	2	2
512	здесь эта	2	2
513	в первой	2	2
514	жизни а	2	2
515	в структуре	4	2
516	к миру	2	2
517	представление о	3	2
518	но она	3	2
519	в последних	2	2
520	все то	4	2
521	словами в	2	2
522	в строгом	3	2
523	в собственном	3	2
524	можно было	2	2
525	литературы мы	3	2
526	как особый	2	2
527	связаны с	3	2
528	определяющего влияния	2	2
529	что она	2	2
530	и жизни	3	2
531	пародии на	2	2
532	установку на	2	2
533	той или	2	2
534	лишь на	3	2
535	мы конечно	2	2
536	прежде чем	2	2
537	и самое	2	2
538	и нужно	2	2
539	на земле	14	2
540	героя и	3	2
541	времени и	4	2
542	как у	5	2
543	несколько подробнее	2	2
544	а для	2	2
545	слову как	2	2
546	но только	2	2
547	мы остановимся	5	2
548	в самое	3	2
549	лингвистики и	2	2
550	все равно	6	2
551	связан с	2	2
552	и так	4	2
553	конечно и	7	2
554	мы еще	4	2
555	очень характерна	2	2
556	далеко не	4	2
557	видели что	2	2
558	школ и	2	2
559	особое место	2	2
560	мы найдем	4	2
561	для построения	2	2
562	или иных	2	2
563	строго говоря	2	2
564	вопросов и	2	2
565	от друга	2	2
566	и другой	4	2
567	собственном смысле	3	2
568	жизни не	2	2
569	имеем в	3	2
570	во многом	3	2
571	традиция в	2	2
572	жанра в	3	2
573	определяющее влияние	4	2
574	этих двух	5	2
575	что мы	2	2
576	несмотря на	3	2
577	для других	2	2
578	без другого	2	2
579	тех или	2	2
580	смысле и	3	2
581	говорит о	2	2
582	слово у	3	2
583	другую сторону	2	2
584	и отдельных	2	2
585	в другие	4	2
586	направлен на	2	2
587	три основные	2	2
588	но с	2	2
589	чем в	2	2
