N	2gram	Losev_Vlad	Dialekti
498	не к	2	3
499	знаем что	2	3
500	этого последнего	3	3
501	но на	3	3
502	ко всему	4	3
503	по его	3	3
504	не мог	10	3
505	с первого	2	2
506	в тех	3	2
507	как к	4	2
508	на свою	3	2
509	бы его	2	2
510	в новом	2	2
511	и других	2	2
512	свою очередь	2	2
513	своей жизни	5	2
514	то о	2	2
515	любви к	2	2
516	на месте	2	2
517	на его	7	2
518	и просто	3	2
519	те же	2	2
520	в полной	3	2
521	не могла	3	2
522	вот эта	2	2
523	ни одного	2	2
524	ли он	2	2
525	и самого	2	2
526	нужно сказать	2	2
527	всех своих	2	2
528	мы с	4	2
529	несколько слов	2	2
530	является как	2	2
531	также что	2	2
532	но зато	2	2
533	хорошо и	2	2
534	дело в	7	2
535	и до	4	2
536	на меня	3	2
537	он был	20	2
538	мы сейчас	7	2
539	его личности	2	2
540	вот и	3	2
541	наконец в	3	2
542	вот теперь	2	2
543	со своими	4	2
544	уже на	3	2
545	он дает	2	2
546	его жизни	12	2
547	всей его	2	2
548	на одной	3	2
549	ему все	2	2
550	не вполне	3	2
551	был в	5	2
552	сначала на	2	2
553	еще в	5	2
554	дальше в	2	2
555	на такой	2	2
556	в я	4	2
557	же нужно	2	2
558	тем кто	2	2
559	и теперь	4	2
560	только после	2	2
561	столько же	2	2
562	именно с	2	2
563	в нашем	5	2
564	меня в	2	2
565	чем в	2	2
566	за это	2	2
567	ему не	2	2
568	бог и	2	2
569	которые в	2	2
570	об этих	3	2
571	вот что	7	2
572	то есть	5	2
573	оба они	3	2
574	времени в	2	2
575	интереса к	3	2
576	не очень	6	2
577	сказать с	2	2
578	то для	2	2
579	во многих	2	2
580	его от	2	2
581	на котором	2	2
582	образом в	2	2
583	бы на	2	2
584	нее и	2	2
585	разного рода	8	2
586	пока не	2	2
587	между ними	2	2
588	мне кажется	2	2
589	не были	2	2
590	с теми	2	2
591	ему только	2	2
592	мы сказали	2	2
593	он как	4	2
594	с этими	4	2
595	границу и	2	2
596	но дело	2	2
597	в целом	3	2
598	него и	2	2
599	в последнее	2	2
600	на это	2	2
601	с ней	3	2
602	в порядке	2	2
603	мы увидим	4	2
604	жизни в	3	2
605	кто не	2	2
606	его и	2	2
607	это нисколько	2	2
608	больше всего	3	2
609	о своих	2	2
610	на этот	9	2
611	всей своей	2	2
612	я хотел	2	2
613	к его	5	2
614	во многом	3	2
615	с которым	4	2
616	прибавить что	3	2
617	еще с	2	2
618	жизни с	2	2
619	уже сказали	2	2
620	и сам	7	2
621	этих двух	2	2
622	часто и	2	2
623	последнее время	2	2
