N	2gram	Berdyaev_M	Analitik
117	в нем	26	6
118	не будет	3	6
119	он был	18	6
120	и то	2	6
121	хотя бы	8	6
122	то в	2	6
123	его как	2	6
124	с самим	5	6
125	во всем	5	6
126	более чем	3	6
127	и более	2	6
128	есть в	3	6
129	о себе	3	6
130	на этом	5	6
131	уже в	6	6
132	не о	2	5
133	и потому	17	5
134	не могут	6	5
135	не как	4	5
136	входит в	3	5
137	жизни в	3	5
138	на смену	3	5
139	так что	3	5
140	самом деле	2	5
141	не так	6	5
142	он в	4	5
143	в них	5	5
144	и по	4	5
145	все эти	3	5
146	мы не	2	5
147	человека к	10	5
148	принадлежит к	3	5
149	я не	4	5
150	и здесь	6	5
151	с их	2	5
152	одно из	3	5
153	к этому	3	5
154	и он	21	5
155	мысль о	2	5
156	мира в	2	5
157	для того	4	5
158	и их	3	5
159	в этих	6	5
160	ведет к	16	5
161	тем что	7	5
162	самим собою	2	5
163	ни с	4	5
164	ни в	3	5
165	в котором	9	5
166	все что	5	5
167	будто бы	3	5
168	путь к	2	5
169	с таким	2	5
170	еще в	4	5
171	в глубине	10	5
172	в отношении	6	4
173	его к	2	4
174	и ее	2	4
175	в каждом	4	4
176	отношение к	9	4
177	как к	2	4
178	одним из	2	4
179	а как	2	4
180	как он	4	4
181	как у	2	4
182	его и	2	4
183	о нем	2	4
184	к нему	8	4
185	и что	4	4
186	потому что	25	4
187	разного рода	2	4
188	в чем	3	4
189	его не	5	4
190	что же	2	4
191	о своей	2	4
192	того чтобы	4	4
193	и во	5	4
194	и тогда	2	4
195	жизнь и	5	4
196	бы и	8	4
197	сказать что	5	4
198	и от	3	4
199	по своему	3	4
200	значительной степени	2	4
201	с этим	4	4
202	но это	8	4
203	не все	3	4
204	что она	5	4
205	бы в	3	4
206	в которой	8	4
207	отличается от	2	4
208	об этом	2	4
209	человека в	26	4
210	сознания в	2	4
211	в значительной	2	4
212	в своих	4	4
213	к самому	2	4
214	не было	25	4
215	бы не	4	4
216	это и	7	4
217	и есть	21	4
218	на самом	2	3
219	вопрос о	7	3
220	человеческой жизни	4	3
221	которые в	2	3
222	означает что	3	3
223	от него	4	3
224	она может	2	3
225	человека и	19	3
226	не был	8	3
227	он же	3	3
228	ведь это	2	3
229	в виду	2	3
230	к своему	2	3
231	в момент	3	3
232	тем как	2	3
233	одной и	2	3
234	и за	2	3
235	всего в	2	3
236	в такой	4	3
237	себе в	3	3
238	с тем	10	3
239	же не	2	3
240	она не	9	3
241	к этой	3	3
242	мира и	6	3
243	в ней	23	3
244	быть может	9	3
245	и те	4	3
246	ли он	2	3
247	что все	5	3
248	и я	5	3
249	что они	4	3
250	никто не	3	3
251	все еще	2	3
252	смысла жизни	2	3
253	к миру	3	3
254	для этого	3	3
255	не от	3	3
256	и той	2	3
257	душевной жизни	2	3
258	так как	10	3
259	личности к	2	3
260	бы ни	2	3
261	должно быть	5	3
262	о своих	2	3
263	в центре	4	3
264	и тот	2	3
265	в жизни	7	3
266	с этой	4	3
267	ни к	2	3
268	я всегда	2	3
269	на этот	2	3
270	то он	3	3
271	они не	4	3
272	человека с	2	3
273	есть лишь	23	3
274	одни и	2	3
275	также и	6	3
276	что у	3	3
277	с новыми	2	3
278	человек в	12	3
279	но к	2	3
280	когда он	3	3
281	оно не	3	3
282	и с	6	3
283	от своей	2	3
284	на почве	3	3
285	тогда когда	2	3
286	другого в	2	3
287	мог бы	5	3
288	ко всему	2	3
289	а для	2	3
290	момент его	2	3
291	жизни и	6	3
292	он сам	11	3
293	отрекается от	3	3
294	сам по	2	3
295	только одно	3	3
296	быть не	2	3
297	всякий раз	2	3
298	не к	6	3
299	но с	2	3
300	и без	2	3
301	но он	17	3
302	способность к	2	2
303	к одному	2	2
304	мира не	3	2
305	для человека	5	2
306	или к	4	2
307	который и	2	2
308	так же	5	2
309	для нас	3	2
310	как человек	2	2
311	не имеют	2	2
312	человек и	7	2
313	долгое время	2	2
314	не способен	6	2
315	в иной	3	2
316	к себе	3	2
317	свободы но	6	2
318	и должно	3	2
319	вера в	3	2
320	а лишь	3	2
321	на пути	4	2
322	ее и	2	2
323	к чему	5	2
324	не остается	2	2
325	когда мы	2	2
326	своим другим	2	2
327	может ли	2	2
328	судьба человека	15	2
329	в разных	3	2
330	отношением к	2	2
331	любви к	14	2
332	любви и	3	2
333	не сам	2	2
334	тот кто	5	2
335	тому что	2	2
336	только с	3	2
337	этом он	4	2
338	она есть	3	2
339	жизнь в	4	2
340	все его	3	2
341	и свободы	4	2
342	у всех	4	2
343	жизни это	4	2
344	не бывает	3	2
345	на все	3	2
346	ли человек	2	2
347	не принимает	2	2
348	но эта	2	2
349	мы видим	4	2
350	в мир	3	2
351	что это	5	2
352	приходят к	3	2
353	т е	5	2
354	во многих	2	2
355	бы он	2	2
356	там и	6	2
357	на два	2	2
358	нет ничего	9	2
359	бытия с	2	2
360	этого мира	3	2
361	думать что	4	2
362	бы это	2	2
363	о свободе	18	2
364	и та	2	2
365	прежде чем	2	2
366	та же	4	2
367	и вот	7	2
368	должен был	4	2
369	добрый и	2	2
370	а от	3	2
371	человека как	3	2
372	у нас	13	2
373	все равно	3	2
374	от свободы	5	2
375	от всех	2	2
376	не означает	2	2
377	сих пор	5	2
378	но если	4	2
379	в ином	2	2
380	на протяжении	2	2
381	от его	3	2
382	культуры и	2	2
383	перед собой	2	2
384	нет и	6	2
385	не имеет	7	2
386	вообще не	2	2
387	в самой	8	2
388	еще более	3	2
389	лишь одна	2	2
390	и мира	3	2
391	жизни не	2	2
392	истории в	2	2
393	личность и	2	2
394	если он	7	2
395	ко всем	3	2
396	не могу	4	2
397	учение о	3	2
398	которой он	2	2
399	может не	3	2
400	не для	2	2
401	перед ним	3	2
402	к другому	4	2
403	к тем	2	2
404	на природу	4	2
405	до сих	5	2
406	его собственной	2	2
