N	2gram	Bakhtin_KF	Formalny
252	в каком	4	3
253	вся эта	2	3
254	бы оно	2	3
255	это только	2	3
256	на своем	3	3
257	вступает в	3	3
258	в современной	3	3
259	вследствие этого	2	3
260	со всеми	2	3
261	может иметь	2	3
262	как предмет	2	3
263	но как	5	3
264	и этот	3	3
265	для этой	3	3
266	но конечно	3	3
267	его осуществления	2	3
268	ни одна	2	3
269	и совершенно	3	3
270	себе а	2	3
271	в качестве	2	3
272	тот же	3	3
273	культуры и	5	3
274	все остальные	2	3
275	кажется что	2	3
276	в сознании	2	3
277	быть только	8	3
278	дело в	2	3
279	в это	2	3
280	это было	2	3
281	и конечно	2	3
282	и тот	3	3
283	дело с	2	3
284	жизнь как	6	3
285	во всем	7	3
286	то или	2	3
287	мира в	6	3
288	вне ее	4	3
289	бы не	3	3
290	сознания в	2	3
291	в чем	4	3
292	в контексте	5	3
293	отвлечении от	6	3
294	не должен	3	3
295	вытекает из	2	3
296	где она	2	3
297	его конкретной	4	3
298	в отвлечении	5	3
299	он может	2	3
300	сознания и	3	3
301	из себя	11	3
302	места в	4	3
303	в одном	5	3
304	чтобы стать	2	3
305	человек не	2	3
306	что эта	2	3
307	ничего общего	2	3
308	лишь постольку	2	3
309	и именно	2	3
310	не дает	3	3
311	положения в	3	2
312	включая сюда	2	2
313	своих моментах	2	2
314	и принципиально	2	2
315	человека и	3	2
316	в другом	3	2
317	но есть	2	2
318	в конкретной	3	2
319	свершения в	2	2
320	не потому	2	2
321	ведь это	2	2
322	были бы	2	2
323	в виде	2	2
324	и та	3	2
325	они находятся	2	2
326	мира как	2	2
327	тем как	3	2
328	смысл в	3	2
329	и ни	3	2
330	не знает	5	2
331	а с	2	2
332	к ним	4	2
333	на первом	2	2
334	и эти	2	2
335	только с	3	2
336	а все	3	2
337	это уже	2	2
338	ее как	2	2
339	и смысл	2	2
340	что этот	3	2
341	ему в	2	2
342	и само	2	2
343	мира и	4	2
344	это целое	2	2
345	мы имеем	5	2
346	говорим о	2	2
347	содержания но	2	2
348	и просто	2	2
349	в единство	3	2
350	предмета в	3	2
351	его на	2	2
352	с ними	4	2
353	первом плане	2	2
354	из его	3	2
355	мышления и	2	2
356	и мир	2	2
357	отсюда следует	2	2
358	и пространство	4	2
359	и жизни	4	2
360	себя в	8	2
361	дело не	2	2
362	из нее	2	2
363	той или	3	2
364	отвлечение от	5	2
365	постольку поскольку	2	2
366	принципа для	3	2
367	даны в	2	2
368	с другим	4	2
369	стал бы	2	2
370	времени и	4	2
371	нами в	2	2
372	а для	2	2
373	ни к	2	2
374	было и	2	2
375	это противопоставление	4	2
376	всей его	2	2
377	не должно	3	2
378	в принципе	2	2
379	жизни но	3	2
380	на нем	2	2
381	поскольку он	3	2
382	имеем в	2	2
383	и содержания	2	2
384	ее до	2	2
385	ее от	2	2
386	это можно	2	2
387	она могла	2	2
388	смысле и	2	2
389	и того	2	2
390	из него	4	2
391	данный момент	3	2
392	философии жизни	2	2
393	и есть	10	2
394	но ни	2	2
395	дело здесь	2	2
396	события в	3	2
397	момент в	7	2
