N	2gram	Losev_Vesc	Literetu
114	именно в	2	7
115	в самом	13	7
116	и с	11	7
117	в одном	6	7
118	он и	2	7
119	тому как	5	7
120	в нем	6	7
121	он не	4	7
122	в сфере	6	7
123	еще и	11	6
124	его в	8	6
125	что ему	3	6
126	в виду	2	6
127	казалось бы	3	6
128	самом деле	7	6
129	одного из	2	6
130	а затем	2	6
131	при всем	2	6
132	было бы	24	6
133	не было	4	6
134	и то	14	6
135	то в	4	6
136	то и	7	6
137	во всех	5	6
138	с ее	10	6
139	как о	5	6
140	далеко не	2	6
141	подобно тому	5	6
142	в ней	14	6
143	и только	11	6
144	у него	3	6
145	как будто	2	6
146	в слове	2	6
147	тем же	2	6
148	с собой	2	5
149	так как	17	5
150	как он	2	5
151	так что	9	5
152	он сам	2	5
153	как я	6	5
154	во втором	2	5
155	несмотря на	6	5
156	этой точки	3	5
157	что и	11	5
158	тех кто	2	5
159	себя и	8	5
160	в сущности	7	5
161	все еще	3	5
162	самого себя	2	5
163	хотя бы	9	5
164	в россии	2	5
165	должно быть	8	5
166	мы не	8	5
167	тем не	11	5
168	а я	3	5
169	я это	2	5
170	ни было	12	5
171	в уме	3	5
172	во имя	3	5
173	в силу	4	5
174	не с	8	5
175	том чтобы	2	5
176	но уже	3	5
177	в себя	13	5
178	и если	5	5
179	быть не	5	5
180	не к	3	5
181	но с	2	5
182	однако не	4	5
183	в свою	5	4
184	очевидно что	2	4
185	себе и	2	4
186	для нас	2	4
187	нуждается в	2	4
188	не является	3	4
189	как к	5	4
190	и прежде	2	4
191	здесь как	2	4
192	только на	3	4
193	знает что	2	4
194	с тем	8	4
195	со всей	2	4
196	и все	6	4
197	и само	3	4
198	ту же	2	4
199	а потому	2	4
200	хотя и	5	4
201	как мы	6	4
202	во всяком	4	4
203	бы то	12	4
204	самим собою	2	4
205	нет ничего	2	4
206	то это	5	4
207	но это	14	4
208	к этому	2	4
209	сводится к	4	4
210	но лишь	2	4
211	и вот	4	4
212	для того	3	4
213	совершенно не	11	4
214	ни к	3	4
215	то он	2	4
216	можно сказать	8	4
217	на то	9	4
218	этом в	2	4
219	приводит к	2	4
220	на этом	4	4
221	не вполне	2	4
222	свидетельствует о	3	4
223	вовсе не	11	4
224	из этого	3	4
225	и что	22	4
226	то ни	13	4
227	таким образом	16	4
228	и есть	40	4
229	не мог	3	4
230	отношения к	3	4
231	о которой	3	4
232	и нет	3	4
233	вопрос о	6	3
234	ничего не	12	3
235	в действительности	7	3
236	и потому	8	3
237	от всего	15	3
238	бытия в	2	3
239	для его	2	3
240	так же	4	3
241	различие между	3	3
242	но как	3	3
243	с чем	7	3
244	о чем	2	3
245	по себе	22	3
246	крайней мере	10	3
247	какого бы	2	3
248	в отношении	7	3
249	именно так	2	3
250	отношение к	4	3
251	и а	3	3
252	есть не	17	3
253	в первом	2	3
254	от слова	2	3
255	а с	3	3
256	себе в	5	3
257	и о	4	3
258	стороны и	2	3
259	это уже	2	3
260	но только	4	3
261	той или	3	3
262	что же	17	3
263	или нет?	3	3
264	же как	3	3
265	того чтобы	4	3
266	и до	6	3
267	все эти	5	3
268	то с	3	3
269	и тогда	7	3
270	те кто	3	3
271	не на	2	3
272	в истории	3	3
273	свою очередь	5	3
274	должна быть	8	3
275	из его	2	3
276	и т	37	3
277	и еще	4	3
278	тот же	4	3
279	на нее	2	3
280	да и	5	3
281	еще один	2	3
282	относится к	6	3
283	и от	4	3
284	только то	4	3
285	же это	5	3
286	ту или	3	3
287	можно было	6	3
288	сознания и	2	3
289	в первой	2	3
290	бы и	9	3
291	имени в	4	3
292	не так	2	3
293	дело в	6	3
294	с ней	2	3
295	мысли и	5	3
296	если бы	8	3
297	превращается в	3	3
298	также и	9	3
299	в особенности	3	3
300	я только	2	3
301	все равно	6	3
302	себе не	3	3
303	по крайней	10	3
304	отношении к	4	3
305	она и	2	3
306	что для	5	3
307	ни с	8	3
308	из наиболее	2	3
309	не имеет	2	3
310	он говорит	2	3
311	в чем	10	3
312	что такое	20	3
313	или иную	3	3
314	когда он	2	3
315	не есть	79	3
316	если не	3	3
317	из которых	3	3
318	себе как	2	3
319	будь то	3	3
320	всяком случае	2	3
321	все что	3	3
322	себе самой	3	3
323	и того	2	3
324	здесь не	2	3
325	и уже	2	3
326	говорить о	9	3
327	не просто	23	3
328	же и	2	3
329	с ним	8	3
330	а так	3	3
331	чтобы не	2	2
332	свое время	2	2
333	перед нами	3	2
334	руки и	2	2
335	а и	13	2
336	для меня	3	2
337	на три	2	2
338	а вот	3	2
339	и сама	4	2
340	для нее	2	2
341	это будет	4	2
342	человека и	3	2
343	что вы	4	2
344	и притом	4	2
345	не я	2	2
346	не был	2	2
347	и у	4	2
348	я должен	4	2
349	есть и	13	2
350	который бы	3	2
351	должен быть	5	2
352	это и	12	2
353	об отношении	4	2
354	к ее	3	2
355	бы я	3	2
356	если оно	9	2
357	у них	2	2
358	к бытию	3	2
359	то она	2	2
360	была бы	3	2
361	на вопрос	2	2
362	в свое	2	2
363	нужно было	3	2
364	к его	2	2
365	я вижу	2	2
366	бы на	3	2
367	собственно говоря	5	2
368	тому что	2	2
369	к нему	3	2
370	вещей в	3	2
371	она не	9	2
372	обойтись без	4	2
373	гораздо более	2	2
374	а только	3	2
375	вне себя	2	2
376	это тоже	2	2
377	можно и	3	2
378	а если	6	2
379	своей собственной	2	2
380	даже и	5	2
381	и без	4	2
382	что на	2	2
383	тогда когда	5	2
384	в полной	2	2
385	себя как	3	2
386	с которой	3	2
387	жизнь и	2	2
388	в сферу	2	2
389	переходит в	4	2
390	раньше и	2	2
391	с ними	4	2
392	то как	2	2
393	о ней	5	2
394	своего существования	3	2
395	бытия и	6	2
396	дело не	4	2
397	что они	12	2
398	и ее	19	2
399	жизнь не	2	2
400	и более	4	2
401	только как	2	2
402	может и	3	2
403	одно и	6	2
404	сказать что	21	2
405	все то	2	2
406	никак не	7	2
407	и мы	5	2
408	бы в	9	2
409	с другими	8	2
410	в результате	9	2
411	тем более	3	2
412	свое имя	2	2
413	чего бы	2	2
414	на это	5	2
415	действительности в	3	2
416	в это	2	2
417	для такого	2	2
418	этом и	2	2
419	со смыслами	2	2
420	себя самого	4	2
421	нет я	2	2
422	между собою	12	2
423	под именем	2	2
424	но даже	3	2
425	быть только	6	2
426	что есть	8	2
427	есть в	4	2
428	нет и	4	2
429	есть лишь	2	2
430	что у	5	2
431	раз в	2	2
432	от всех	5	2
433	взаимопонимания между	2	2
434	нет не	2	2
435	в котором	4	2
436	еще более	4	2
437	если это	4	2
438	слова в	2	2
439	как с	7	2
440	оно не	6	2
441	или иных	2	2
442	на почве	6	2
443	со своим	8	2
444	только не	5	2
445	он становится	2	2
446	и самой	2	2
447	не можем	3	2
448	мог бы	7	2
449	так чтобы	4	2
450	раз и	2	2
451	в той	6	2
452	тех или	6	2
453	имя и	12	2
454	и который	2	2
455	реальности и	4	2
456	но еще	3	2
457	во всем	2	2
458	а вы	2	2
459	с какой	2	2
460	имеем дело	3	2
461	мы имеем	8	2
462	но он	2	2
463	но зато	2	2
