N	2gram	Vinokur_St	VeschiIm
178	быть и	2	5
179	для этого	2	5
180	е не	2	5
181	на это	2	5
182	в чисто	2	5
183	же это	3	5
184	во всех	8	5
185	в которой	13	5
186	об этом	9	5
187	и здесь	2	5
188	кроме того	3	5
189	как о	2	5
190	что у	8	5
191	что для	4	5
192	как можно	2	5
193	только не	2	5
194	то или	3	5
195	быть не	2	5
196	те или	2	5
197	о них	3	4
198	так же	7	4
199	том как	4	4
200	в конце	5	4
201	отношение к	3	4
202	и у	2	4
203	что именно	2	4
204	при помощи	4	4
205	в их	3	4
206	так и	15	4
207	из истории	3	4
208	что все	3	4
209	в этой	13	4
210	более или	2	4
211	то время	2	4
212	того чтобы	15	4
213	в качестве	7	4
214	не было	7	4
215	тот же	2	4
216	во всяком	8	4
217	в основе	4	4
218	и от	2	4
219	то в	3	4
220	с этим	6	4
221	есть в	2	4
222	дело не	4	4
223	на него	3	4
224	в и	143	4
225	по своей	2	4
226	и о	4	4
227	но только	2	4
228	отношении к	3	4
229	и более	4	4
230	что только	2	4
231	время как	2	4
232	в котором	11	4
233	если это	3	4
234	не существует	4	4
235	или менее	2	4
236	может не	2	4
237	еще более	5	4
238	говорит о	5	4
239	же время	5	4
240	он не	11	4
241	и сам	4	4
242	о которой	3	4
243	от его	2	3
244	ему не	3	3
245	этого вопроса	3	3
246	что ему	2	3
247	из того	2	3
248	не является	5	3
249	вопроса о	3	3
250	в другом	5	3
251	и эти	2	3
252	или о	2	3
253	но именно	3	3
254	оба эти	4	3
255	в виде	3	3
256	в частности	6	3
257	нужно было	2	3
258	а с	6	3
259	по существу	3	3
260	к нему	2	3
261	только с	4	3
262	к тому	9	3
263	ли в	3	3
264	была бы	10	3
265	одной стороны	2	3
266	другой стороны	9	3
267	если не	4	3
268	в целом	5	3
269	же как	5	3
270	и во	3	3
271	заключается в	5	3
272	было в	2	3
273	в истории	5	3
274	из его	3	3
275	не все	3	3
276	нет никакого	3	3
277	тем более	4	3
278	от этого	2	3
279	говорит что	4	3
280	применении к	3	3
281	нет это	2	3
282	на меня	2	3
283	превращается в	2	3
284	для того	15	3
285	что то	2	3
286	как в	15	3
287	свое выражение	2	3
288	с одной	3	3
289	случае не	3	3
290	не мог	3	3
291	но все	9	3
292	сами по	2	3
293	у него	3	3
294	не имеет	5	3
295	в своих	2	3
296	выражение в	2	3
297	допустим что	2	3
298	свидетельствует о	2	3
299	бы ни	3	3
300	бы что	3	3
301	отношения к	2	3
302	не к	2	3
303	у меня	3	3
304	этих двух	4	3
305	имеем дело	2	3
306	но он	5	3
307	не о	2	2
308	данном случае	7	2
309	в свой	2	2
310	свое время	3	2
311	тем самым	2	2
312	тому что	8	2
313	о чем	4	2
314	не как	2	2
315	в это	3	2
316	то есть	2	2
317	конце концов	2	2
318	в виду	6	2
319	на все	2	2
320	как он	3	2
321	но я	5	2
322	в свое	3	2
323	точку зрения	3	2
324	нас не	3	2
325	быть в	2	2
326	на вопрос	7	2
327	мере в	3	2
328	одно из	3	2
329	что о	3	2
330	не так	2	2
331	совсем не	3	2
332	но эти	2	2
333	гораздо более	5	2
334	уже в	3	2
335	раз я	2	2
336	а потому	2	2
337	что на	3	2
338	суждения о	2	2
339	всяком случае	8	2
340	же касается	3	2
341	не столько	6	2
342	нуждается в	2	2
343	тем или	3	2
344	связи с	3	2
345	при чем	6	2
346	нужно сказать	6	2
347	не на	3	2
348	это вовсе	2	2
349	в первом	2	2
350	в применении	3	2
351	бы только	2	2
352	и можно	2	2
353	в первой	12	2
354	и который	3	2
355	меня не	2	2
356	них и	2	2
357	к его	2	2
358	я бы	2	2
359	невозможно было	2	2
360	а также	4	2
361	в россии	7	2
362	истории и	2	2
363	я уже	3	2
364	что эта	5	2
365	в начале	5	2
366	кем и	2	2
367	только к	2	2
368	к этому	4	2
369	о котором	2	2
370	это было	2	2
371	к истории	2	2
372	в данной	2	2
373	знает и	2	2
374	этом и	2	2
375	смысле что	2	2
376	что здесь	2	2
377	этом отношении	13	2
378	и нужно	3	2
379	но ведь	8	2
380	и другие	3	2
381	раз в	4	2
382	самого же	2	2
383	чем не	2	2
384	но они	3	2
385	же и	4	2
386	почти все	2	2
387	на нее	3	2
388	она была	2	2
389	связан с	3	2
390	и так	3	2
391	конечно и	5	2
392	поэтому в	4	2
393	именно в	8	2
394	в слове	5	2
395	но к	2	2
396	другое дело	3	2
397	и к	5	2
398	но для	3	2
399	но на	2	2
400	о которых	3	2
401	для нас	7	2
402	это можно	3	2
403	и на	7	2
404	о значении	3	2
405	которая была	3	2
406	то очевидно	2	2
407	и уже	3	2
408	конечно не	2	2
409	является не	4	2
410	как будто	5	2
411	но с	7	2
412	хотя это	2	2
413	очень хорошо	2	2
414	этом смысле	2	2
415	той же	5	2
416	во втором	5	2
417	с его	3	2
418	тем же	3	2
