N	2gram	Losev_Vesc	slovoVRo
140	говорить о	9	6
141	и здесь	5	6
142	стороны и	2	6
143	хотя бы	9	6
144	конечно и	2	6
145	именно в	2	6
146	в свою	5	6
147	себя и	8	6
148	по себе	22	6
149	в одном	6	6
150	не как	2	5
151	только на	3	5
152	не менее	11	5
153	но оно	3	5
154	а затем	2	5
155	мы не	8	5
156	должен быть	5	5
157	хотя и	5	5
158	для этого	5	5
159	в данном	6	5
160	в результате	9	5
161	и может	3	5
162	этом отношении	2	5
163	не является	3	5
164	для того	3	5
165	его и	4	5
166	должна быть	8	5
167	и более	4	5
168	не с	8	5
169	о том	11	5
170	оно может	3	5
171	к его	2	5
172	той же	2	5
173	уже в	2	5
174	и чисто	4	5
175	и сам	3	5
176	но он	2	5
177	вместе с	4	5
178	в свой	2	4
179	оно и	4	4
180	следовательно и	2	4
181	так же	4	4
182	его на	4	4
183	но как	3	4
184	и ее	19	4
185	и формы	2	4
186	в другом	3	4
187	что и	11	4
188	в виду	2	4
189	что он	7	4
190	однако в	3	4
191	здесь как	2	4
192	свою очередь	5	4
193	в виде	3	4
194	в частности	3	4
195	того что	16	4
196	мы видели	3	4
197	с другом	2	4
198	даже и	5	4
199	в чем	10	4
200	что оно	10	4
201	как вещь	9	4
202	тогда когда	5	4
203	не столько	2	4
204	того чтобы	4	4
205	и во	3	4
206	же как	3	4
207	те или	5	4
208	одно и	6	4
209	только и	8	4
210	но эти	2	4
211	но это	14	4
212	бы ни	3	4
213	его как	2	4
214	дело не	4	4
215	в которой	5	4
216	и как	12	4
217	и образ	3	4
218	если бы	8	4
219	вообще не	6	4
220	с этой	6	4
221	и о	4	4
222	или как	3	4
223	быть только	6	4
224	к тому	3	4
225	друг с	2	4
226	от его	2	4
227	зрения и	2	4
228	при всем	2	4
229	есть как	3	4
230	выражение в	3	4
231	из них	7	4
232	из этого	3	4
233	и уже	2	4
234	как только	6	4
235	отношения к	3	4
236	в себя	13	4
237	по существу	3	4
238	как раз	16	4
239	данном случае	2	3
240	и заставляет	2	3
241	себя так	2	3
242	нисколько не	7	3
243	нуждается в	2	3
244	его от	2	3
245	но она	3	3
246	не был	2	3
247	себе как	2	3
248	но эта	2	3
249	и вне	2	3
250	в одно	2	3
251	следовательно в	2	3
252	в свое	2	3
253	как это	4	3
254	может и	3	3
255	в разных	6	3
256	в свете	8	3
257	тому что	2	3
258	только с	3	3
259	в более	2	3
260	и без	4	3
261	между собой	2	3
262	не предполагает	4	3
263	на все	2	3
264	переходит в	4	3
265	и до	6	3
266	было бы	24	3
267	того и	2	3
268	в первом	2	3
269	ведь и	6	3
270	и они	2	3
271	почти все	2	3
272	свое выражение	3	3
273	них и	2	3
274	и то	14	3
275	и вообще	6	3
276	первый тип	2	3
277	к этому	2	3
278	затем и	2	3
279	как оно	4	3
280	в собственном	3	3
281	от этого	3	3
282	не все	3	3
283	дело в	6	3
284	должно быть	8	3
285	действительности в	3	3
286	если она	11	3
287	это было	2	3
288	отличается от	8	3
289	собственном смысле	4	3
290	на него	3	3
291	но лишь	2	3
292	сама по	7	3
293	но уже	3	3
294	или иных	2	3
295	и самое	3	3
296	тем что	7	3
297	жизни в	3	3
298	и другие	2	3
299	смысл и	12	3
300	силы и	2	3
301	нас в	3	3
302	лишь как	2	3
303	ни с	8	3
304	где она	2	3
305	тех или	6	3
306	не есть	79	3
307	в этой	4	3
308	потому что	25	3
309	все что	3	3
310	если мы	12	3
311	и это	17	3
312	из себя	6	3
313	вещей и	12	3
314	не знаем	2	3
315	степени и	2	3
316	мы говорили	2	3
317	и тем	7	3
318	без всякого	7	3
319	и нет	3	3
320	абстрактный момент	2	2
321	ему не	3	2
322	ни о	3	2
323	о которых	2	2
324	и этого	3	2
325	она может	4	2
326	явления и	4	2
327	для всего	2	2
328	есть только	18	2
329	в подлинном	3	2
330	к себе	4	2
331	по своей	3	2
332	и у	4	2
333	и есть	40	2
334	есть не	17	2
335	и эти	3	2
336	это и	12	2
337	как он	2	2
338	у них	2	2
339	и этой	2	2
340	так что	9	2
341	и ни	3	2
342	есть в	4	2
343	бы его	2	2
344	а с	3	2
345	то что	47	2
346	никак нельзя	2	2
347	что все	2	2
348	одного из	2	2
349	и оно	4	2
350	только не	5	2
351	это может	3	2
352	социальная жизнь	2	2
353	и такой	2	2
354	или его	2	2
355	на себе	5	2
356	не из	2	2
357	и само	3	2
358	к действительности	2	2
359	этой точки	3	2
360	к такому	2	2
361	между ними	6	2
362	и та	2	2
363	себя как	3	2
364	себя от	2	2
365	что не	11	2
366	в ее	8	2
367	когда она	4	2
368	мы видим	5	2
369	только как	2	2
370	нужно сказать	2	2
371	действительность но	2	2
372	отличии от	2	2
373	что они	12	2
374	случае не	3	2
375	из самых	3	2
376	бы только	2	2
377	осмысления и	2	2
378	от всякого	4	2
379	и свои	2	2
380	да и	5	2
381	взаимного понимания	2	2
382	все то	2	2
383	время как	4	2
384	первом случае	2	2
385	то в	4	2
386	то и	7	2
387	утверждать что	2	2
388	независимо от	5	2
389	и что	22	2
390	существенно и	2	2
391	можно было	6	2
392	и эта	4	2
393	что она	23	2
394	с ней	2	2
395	не нужно	3	2
396	перестает быть	3	2
397	предмету и	2	2
398	то или	5	2
399	к одному	3	2
400	этого предмета	2	2
401	об этом	5	2
402	они как	2	2
403	если оно	9	2
404	как о	5	2
405	ни было	12	2
406	в жизни	5	2
407	тем не	11	2
408	ее с	5	2
409	у нас	9	2
410	совершенно не	11	2
411	и со	2	2
412	нет никакой	4	2
413	самого же	2	2
414	чем не	2	2
415	ни к	3	2
416	к ней	4	2
417	но они	2	2
418	мы можем	4	2
419	не можем	3	2
420	заключается в	3	2
421	и кроме	3	2
422	понимание и	3	2
423	образ в	2	2
424	есть все	2	2
425	нет и	4	2
426	на то	9	2
427	можно говорить	2	2
428	от всех	5	2
429	что для	5	2
430	в котором	4	2
431	из его	2	2
432	есть для	2	2
433	в своих	3	2
434	в последние	2	2
435	или иначе	5	2
436	в сфере	6	2
437	как с	7	2
438	есть понимание	3	2
439	приводит к	2	2
440	точке зрения	4	2
441	главным образом	3	2
442	момент в	6	2
443	сущности и	14	2
444	и она	3	2
445	на язык	3	2
446	несмотря на	6	2
447	ближе к	2	2
448	то время	4	2
449	не обязательно	2	2
450	не просто	23	2
451	он есть	2	2
452	только о	2	2
453	и только	11	2
454	не к	3	2
455	не значит	11	2
456	однако не	4	2
457	а следовательно	4	2
