N	2gram	Bakhtin_KF	KulturaY
229	именно на	2	4
230	не дает	3	4
231	можно и	2	3
232	в это	2	3
233	и эти	2	3
234	и мы	2	3
235	а как	2	3
236	от себя	10	3
237	тем как	3	3
238	его и	2	3
239	в него	2	3
240	для этой	3	3
241	в контексте	5	3
242	к ним	4	3
243	другое дело	2	3
244	меня и	3	3
245	но здесь	3	3
246	и под	2	3
247	содержания и	2	3
248	и может	3	3
249	и я	6	3
250	со всем	5	3
251	отсюда и	3	3
252	смысла и	2	3
253	менее всего	6	3
254	нет и	3	3
255	не нужно	2	3
256	та же	3	3
257	разве не	2	3
258	не по	4	3
259	быть только	8	3
260	только с	3	3
261	что есть	2	3
262	для него	13	3
263	на нем	2	3
264	или иным	2	3
265	и действительно	6	3
266	раз и	2	3
267	на своем	3	3
268	то ни	2	3
269	и делает	3	3
270	бы то	2	3
271	целом и	3	3
272	лежат в	3	2
273	но можно	4	2
274	он имеет	2	2
275	от него	3	2
276	для нее	9	2
277	самого факта	2	2
278	и должен	2	2
279	для которого	3	2
280	конечно в	2	2
281	но есть	2	2
282	в принципе	2	2
283	себе как	2	2
284	быть и	3	2
285	вся эта	2	2
286	пройти мимо	2	2
287	смысл в	3	2
288	нами в	2	2
289	а все	3	2
290	эти различения	2	2
291	выход из	2	2
292	и просто	2	2
293	не из	2	2
294	что этот	3	2
295	как оно	2	2
296	жизни и	8	2
297	думать что	2	2
298	и когда	2	2
299	в данный	3	2
300	которую я	2	2
301	стороны ее	2	2
302	мы получим	2	2
303	смысловое содержание	6	2
304	с этого	2	2
305	нет в	4	2
306	я уже	2	2
307	отсюда следует	2	2
308	же с	2	2
309	сознания и	3	2
310	дело в	2	2
311	в моем	6	2
312	его как	5	2
313	это было	2	2
314	контекст где	2	2
315	своем месте	2	2
316	смысл лишь	2	2
317	и тот	3	2
318	дело с	2	2
319	ее от	2	2
320	есть действительно	2	2
321	ничего общего	2	2
322	ни было	4	2
323	где он	3	2
324	смысле в	2	2
325	отказаться от	2	2
326	отношении к	2	2
327	не должен	3	2
328	что только	2	2
329	мысль и	2	2
330	едва ли	2	2
331	в жизни	2	2
332	его жизни	3	2
333	подхода к	2	2
334	не будет	2	2
335	меня в	3	2
336	чтобы быть	2	2
337	имеем в	2	2
338	а следовательно	3	2
339	и содержания	2	2
340	а по	2	2
341	он и	2	2
342	место и	2	2
343	это можно	2	2
344	действительно ли	2	2
345	ее целом	3	2
346	смысле и	2	2
347	чтобы дать	2	2
348	что эта	2	2
349	поскольку он	3	2
350	во всем	7	2
351	дело здесь	2	2
352	в себя	8	2
353	один и	3	2
354	момент в	7	2
