N	2gram	Vinokur_Ku	Vvedenie
291	из которых	3	3
292	большей или	2	3
293	то это	3	3
294	но что	3	3
295	в известном	2	3
296	своего рода	4	3
297	или меньшей	2	3
298	что же	11	3
299	нуждается в	5	3
300	от себя	3	3
301	здесь не	5	3
302	история литературы	2	3
303	sui generis	2	3
304	же как	3	3
305	и того	2	3
306	вряд ли	5	3
307	при этом	6	3
308	в основании	2	3
309	в зависимости	7	3
310	и уже	2	3
311	что с	2	3
312	наряду с	2	3
313	все эти	17	3
314	культурного развития	3	3
315	связи с	8	3
316	и тогда	4	3
317	этой области	3	3
318	и есть	3	3
319	как будто	2	3
320	не следует	6	3
321	в этой	8	3
322	в слове	3	3
323	для которых	2	3
324	того как	6	3
325	чем в	3	3
326	в языке	16	2
327	данном отношении	4	2
328	в таких	7	2
329	ними и	2	2
330	е не	2	2
331	ничего не	6	2
332	следовательно и	2	2
333	о которых	2	2
334	у нас	19	2
335	и потому	6	2
336	его к	5	2
337	мы должны	2	2
338	на такие	2	2
339	время в	2	2
340	труда и	2	2
341	но как	2	2
342	же это	2	2
343	котором идет	3	2
344	тем более	2	2
345	дело что	2	2
346	еще раз	2	2
347	который по	2	2
348	в известных	3	2
349	должно быть	6	2
350	этой точки	4	2
351	бы в	8	2
352	в форме	3	2
353	этой почве	2	2
354	а во-вторых	2	2
355	что оно	6	2
356	что нет	2	2
357	в соответствии	6	2
358	есть язык	4	2
359	в следующем	2	2
360	конце концов	3	2
361	что именно	2	2
362	говоря уже	2	2
363	языка на	2	2
364	в связи	4	2
365	казалось бы	5	2
366	том же	3	2
367	так называемая	2	2
368	а с	3	2
369	одного и	2	2
370	свою очередь	4	2
371	что если	4	2
372	слова как	5	2
373	и при	3	2
374	этого не	5	2
375	когда мы	3	2
376	то она	2	2
377	так и	10	2
378	том смысле	2	2
379	чаще всего	2	2
380	к своему	2	2
381	лишь как	3	2
382	после того	3	2
383	и далее	3	2
384	увидим что	2	2
385	следует что	6	2
386	и должно	2	2
387	к языку	6	2
388	языка как	7	2
389	можно считать	2	2
390	есть лишь	3	2
391	но уже	6	2
392	вопросу о	4	2
393	тому что	3	2
394	на то	6	2
395	и сейчас	3	2
396	состоит в	4	2
397	а если	5	2
398	в своих	2	2
399	что можно	4	2
400	себе и	3	2
401	нам не	5	2
402	в ряде	2	2
403	был в	2	2
404	и без	2	2
405	будто бы	3	2
406	в свою	4	2
407	языка не	5	2
408	и с	11	2
409	не говоря	3	2
410	которое в	2	2
411	соответствии с	5	2
412	обратить внимание	4	2
413	но это	4	2
414	выражение в	4	2
415	история языка	7	2
416	с прочими	2	2
417	же касается	4	2
418	не столько	2	2
419	что мы	6	2
420	мы можем	2	2
421	языка но	3	2
422	точно так	4	2
423	речь идет	4	2
424	несмотря на	6	2
425	для них	2	2
426	смысле и	2	2
427	не было	6	2
428	иной раз	2	2
429	большей части	2	2
430	тогда как	2	2
431	в тех	4	2
432	только о	3	2
433	что они	5	2
434	до того	2	2
435	стоит в	5	2
436	значение и	2	2
437	это есть	2	2
438	как только	2	2
439	все равно	4	2
440	должна быть	6	2
441	не мог	2	2
442	так называемые	5	2
443	например в	5	2
444	этого слова	8	2
445	рядом с	7	2
446	по существу	9	2
447	во втором	2	2
448	со словом	3	2
449	учение о	4	2
450	языка так	2	2
451	с помощью	12	2
452	этих случаях	2	2
453	знание языка	3	2
454	но зато	2	2
