N	2gram	Medvedev_F	Morfolog
237	что о	2	2
238	с тем	11	2
239	без всякой	3	2
240	не так	4	2
241	и этот	2	2
242	как их	4	2
243	к вопросу	2	2
244	не имеет	2	2
245	в в	2	2
246	она не	8	2
247	особое место	2	2
248	более или	7	2
249	их в	2	2
250	ни одной	2	2
251	в своих	3	2
252	в различных	2	2
253	перейти к	3	2
254	оно не	6	2
255	быть и	5	2
256	же они	2	2
257	не входит	2	2
258	как таковой	8	2
259	от других	2	2
260	с другими	11	2
261	если он	4	2
262	как таковая	2	2
263	в основу	2	2
264	что же	6	2
265	всяком случае	6	2
266	как они	4	2
267	должны быть	6	2
268	к другому	2	2
269	вряд ли	2	2
270	что эта	2	2
271	за ней	2	2
272	все это	11	2
273	поставить вопрос	2	2
274	в основе	7	2
275	эти формы	2	2
276	можно сказать	2	2
277	из его	2	2
278	для него	9	2
279	в одном	2	2
280	во всяком	6	2
281	тем же	3	2
282	тем и	2	2
