N	2gram	Bakhtin_KF	Problema
103	как в	2	19
104	этом смысле	3	19
105	жизни и	8	19
106	не будет	2	18
107	того чтобы	2	18
108	в ее	17	18
109	и ни	3	18
110	не было	8	18
111	в ней	3	18
112	гораздо более	2	17
113	и здесь	7	17
114	это и	3	17
115	совсем не	2	17
116	есть именно	2	17
117	совершенно не	7	17
118	во всех	11	17
119	но все	6	16
120	для этого	2	16
121	он и	2	16
122	в чем	4	15
123	что не	3	15
124	людей и	3	14
125	в котором	24	14
126	а это	2	14
127	то ни	2	14
128	дело в	2	13
129	в их	9	13
130	бы и	3	13
131	тому что	2	13
132	мы имеем	5	13
133	в области	2	13
134	или иного	3	13
135	нисколько не	4	12
136	при условии	2	12
137	что этот	3	12
138	в другом	3	12
139	в целом	10	12
140	что это	4	12
141	в смысле	6	12
142	не о	2	11
143	общее и	3	11
144	мы говорим	2	11
145	тот же	3	11
146	бы то	2	11
147	жизни в	5	11
148	и их	6	11
149	к нему	12	11
150	один из	2	10
151	быть и	3	10
152	быть только	8	10
153	в одном	5	10
154	то или	2	10
155	бы не	3	10
156	со всеми	2	10
157	из которых	2	10
158	вопрос о	2	9
159	или как	2	9
160	тогда когда	3	9
161	здесь мы	4	9
162	она не	2	9
163	был бы	3	9
164	в своих	4	9
165	но эта	6	9
166	нет и	3	9
167	это было	2	9
168	не нужно	2	9
169	жизнь и	2	9
170	в жизни	2	9
171	были бы	2	8
172	мы здесь	3	8
173	от этого	2	8
174	говорим о	2	8
175	для него	13	8
176	себе и	3	8
177	входит в	4	8
178	здесь нет	3	8
179	в сознании	2	8
180	только с	3	8
181	во всей	4	8
182	и этот	3	8
183	с ее	2	8
184	но ведь	5	8
185	ни было	4	8
186	это уже	2	8
187	не значит	6	8
188	но для	3	8
189	во всем	7	8
190	конечно не	7	8
191	и весь	4	8
192	времени и	4	7
193	это только	2	7
194	а с	2	7
195	может иметь	2	7
196	в основе	5	7
197	сознания и	3	7
198	его как	5	7
199	все они	2	7
200	чем не	4	7
201	еще более	2	7
202	оно не	2	7
203	или иное	2	7
204	из себя	11	7
205	в это	2	7
206	мира и	4	7
207	для которого	3	6
208	не как	4	6
209	себе а	2	6
210	ни к	2	6
211	этого слова	2	6
212	имеем в	2	6
213	и того	2	6
214	и делает	3	6
215	именно на	2	6
216	дело здесь	2	6
217	не знает	5	6
218	до конца	3	6
219	чтобы не	2	6
220	для меня	22	6
221	только как	4	6
222	на первом	2	6
223	могут быть	3	6
224	содержания и	2	6
225	и может	3	6
226	вся эта	2	6
227	бы быть	5	6
228	с его	2	6
229	мышления и	2	6
230	независимо от	3	6
231	как оно	2	6
232	дело не	2	6
233	в него	2	6
234	предмет и	2	5
235	его на	2	5
236	человека и	3	5
237	единое и	5	5
238	отношение к	6	5
239	нами в	2	5
240	другое дело	2	5
241	и тот	3	5
242	лишь в	8	5
243	от его	5	5
244	которой он	2	5
245	я не	6	5
246	сводится к	2	5
247	что эта	2	5
248	ясно и	3	5
249	между тем	4	5
250	от того	3	5
251	ведь это	2	5
252	о нем	4	5
253	себя не	3	5
254	там где	5	5
255	и когда	2	5
256	только по	2	5
257	к этому	2	5
258	должно быть	6	5
259	себя в	8	5
260	действительности в	2	5
261	мира в	6	5
262	в каждом	3	5
263	как его	4	5
264	от него	3	4
265	для нее	9	4
266	но всегда	2	4
267	должен быть	7	4
268	себе как	2	4
269	а как	2	4
270	бы оно	2	4
271	в ту	2	4
272	могло бы	4	4
273	и само	2	4
274	единый и	3	4
275	и она	2	4
276	себя и	5	4
277	со всем	5	4
278	первом плане	2	4
279	это можно	2	4
280	кажется что	2	4
281	смысла и	2	4
282	бы он	2	4
283	меня в	3	4
284	всей его	2	4
285	ни одна	2	4
286	поскольку он	3	4
287	момент в	7	4
288	время и	5	4
289	я могу	5	4
290	не потому	2	4
291	нет в	4	4
292	и за	2	4
293	для которой	3	4
294	в корне	3	4
295	тем как	3	4
296	в контексте	5	4
297	дело с	2	4
298	и просто	2	4
299	войти в	3	4
300	в мир	2	4
301	из него	4	4
302	к ним	4	4
303	что только	2	4
304	человек и	2	4
305	смысл и	6	4
306	этот мир	2	4
307	и пр	3	4
308	не быть	3	4
309	в свою	3	4
310	теории и	3	4
311	смысле и	2	4
312	ему в	2	4
313	ее и	6	3
314	значило бы	2	3
315	котором он	3	3
316	одного и	2	3
317	этих предметов	2	3
318	для этой	3	3
319	смысле не	2	3
320	этот акт	6	3
321	и та	3	3
322	должна быть	4	3
323	что значит	2	3
324	ли это	2	3
325	его с	2	3
326	если я	2	3
327	в некотором	3	3
328	было и	2	3
329	думать что	2	3
330	он может	2	3
331	в конкретной	3	3
332	но я	2	3
333	весь мир	2	3
334	и жизни	4	3
335	и других	2	3
336	но можно	4	3
337	его к	2	3
338	но есть	2	3
339	со стороны	8	3
340	предмета в	3	3
341	как предмет	2	3
342	нем и	3	3
343	а все	3	3
344	поскольку она	2	3
345	быть в	4	3
346	всех других	2	3
347	с ними	4	3
348	и смерти	2	3
349	конечно в	2	3
350	и действительно	6	3
351	и мы	2	3
352	из нее	2	3
353	котором мы	3	3
354	но этот	2	3
355	где он	3	3
356	а для	2	3
357	и свой	2	3
358	всей своей	2	3
359	один и	3	3
360	и общее	2	3
361	на нем	2	3
362	в процессе	2	3
363	и именно	2	3
364	и всех	2	3
365	может не	2	3
366	я и	5	3
367	место в	6	3
368	а следовательно	3	3
369	жизни но	3	3
370	и должен	2	2
371	с другим	4	2
372	и эти	2	2
373	себя или	2	2
374	случае мы	2	2
375	что за	2	2
376	от себя	10	2
377	в момент	3	2
378	места и	4	2
379	это значило	2	2
380	отказаться от	2	2
381	области и	3	2
382	содержание и	2	2
383	можно и	2	2
384	и под	2	2
385	этим не	2	2
386	и другого	3	2
387	данного момента	2	2
388	этот момент	7	2
389	и чувство	2	2
390	отвлечения от	3	2
391	и эта	2	2
392	другого и	2	2
393	и единственной	5	2
394	есть действительно	2	2
395	а значит	2	2
396	за свое	4	2
397	эти моменты	3	2
398	не должен	3	2
399	его жизни	3	2
400	единства и	2	2
401	жить и	2	2
402	для выражения	2	2
403	вступает в	3	2
404	жизни как	5	2
405	а по	2	2
406	сам этот	2	2
407	и ясно	2	2
408	именно она	2	2
409	ближе к	3	2
410	будет ли	2	2
411	целом и	3	2
412	не дает	3	2
413	по отношению	26	2
414	со мной	7	2
415	нем не	2	2
416	в едином	10	2
417	всем его	3	2
418	и смысл	2	2
419	основе своей	2	2
420	чего не	2	2
421	и совершенно	3	2
422	человека вообще	3	2
423	общего не	2	2
424	познания и	4	2
425	и я	6	2
426	на язык	3	2
427	ее как	2	2
428	и конечно	2	2
429	лишь с	2	2
430	которого и	2	2
431	отношению к	22	2
432	дело когда	2	2
433	лишь как	3	2
434	что есть	2	2
435	не должно	3	2
436	чтобы быть	2	2
437	слова в	2	2
438	что я	5	2
439	есть на	2	2
440	и содержания	2	2
441	содержания но	2	2
442	не из	2	2
443	ко всему	5	2
444	есть его	2	2
445	человек не	2	2
446	события есть	2	2
447	него и	2	2
448	а эта	3	2
449	я живу	2	2
450	на основе	7	2
