N	2gram	Berdyaev_M	Freidism
116	ничего не	4	5
117	что она	5	5
118	с их	2	5
119	в которой	8	5
120	и по	4	5
121	от того	4	5
122	потому и	2	5
123	и те	4	5
124	в этих	6	5
125	чем не	3	5
126	не знает	12	5
127	увидим что	5	5
128	что и	6	5
129	тому что	2	5
130	в более	4	5
131	в своих	4	5
132	это не	10	5
133	той же	3	5
134	того чтобы	4	5
135	не было	25	5
136	в ее	3	5
137	он сам	11	5
138	– говорит	6	5
139	вместе с	7	5
140	человека в	26	4
141	в мир	3	4
142	все время	3	4
143	его к	2	4
144	так же	5	4
145	но это	8	4
146	этот процесс	5	4
147	мысли и	2	4
148	в этот	2	4
149	если бы	5	4
150	мы увидим	4	4
151	в виду	2	4
152	и за	2	4
153	у него	38	4
154	как в	9	4
155	к ней	6	4
156	в своем	17	4
157	только с	3	4
158	человека к	10	4
159	по своему	3	4
160	так называемый	2	4
161	в котором	9	4
162	потому что	25	4
163	о себе	3	4
164	личности и	3	4
165	не существует	5	4
166	смысле слова	7	4
167	по себе	2	4
168	нет и	6	4
169	должны быть	3	4
170	– один	3	4
171	сам по	2	4
172	себя и	6	4
173	это и	7	4
174	в истории	2	4
175	я не	4	4
176	– его	2	4
177	и то	2	3
178	и от	3	3
179	в свой	2	3
180	социальной среды	4	3
181	в эпоху	2	3
182	бы он	2	3
183	тому чтобы	2	3
184	жизни в	3	3
185	о своих	2	3
186	человек на	2	3
187	к себе	3	3
188	и тот	2	3
189	и как	3	3
190	на все	3	3
191	а как	2	3
192	он хотел	3	3
193	он был	18	3
194	не остается	2	3
195	одним из	2	3
196	у нас	13	3
197	одной и	2	3
198	в центре	4	3
199	связано с	5	3
200	себе и	4	3
201	и той	2	3
202	сих пор	5	3
203	к человеку	21	3
204	на этот	2	3
205	не так	6	3
206	в самых	2	3
207	от всех	2	3
208	о том	5	3
209	и она	5	3
210	они не	4	3
211	человека с	2	3
212	на почве	3	3
213	все его	3	3
214	оно не	3	3
215	– к	3	3
216	но для	2	3
217	приводит к	2	3
218	и этим	2	3
219	в них	5	3
220	можно ли	2	3
221	уже в	6	3
222	себя в	6	3
223	сознания в	2	3
224	для них	3	3
225	которой он	2	3
226	– пишет	2	3
227	мы видим	4	3
228	вражда к	2	3
229	когда он	3	3
230	мир в	3	3
231	и есть	21	3
232	есть только	2	3
233	в нашем	2	3
234	до сих	5	3
235	между тем	2	3
236	– лишь	2	3
237	самого себя	6	2
238	как ее	2	2
239	в отношении	6	2
240	чтобы не	4	2
241	вопрос о	7	2
242	к этой	3	2
243	нет в	5	2
244	когда мы	2	2
245	то в	2	2
246	к этим	3	2
247	его с	4	2
248	и сама	2	2
249	из этой	2	2
250	его отношение	2	2
251	человека на	7	2
252	к учению	2	2
253	по преимуществу	4	2
254	бы и	8	2
255	должно быть	5	2
256	и поэтому	3	2
257	когда человек	5	2
258	бы в	3	2
259	не как	4	2
260	его и	2	2
261	отличается от	2	2
262	также в	2	2
263	влечет к	6	2
264	в конце	11	2
265	как к	2	2
266	и часто	2	2
267	есть и	6	2
268	века в	2	2
269	друг друга	12	2
270	должен быть	4	2
271	чтобы получить	2	2
272	пишет он	2	2
273	конце концов	3	2
274	и самое	3	2
275	связана с	9	2
276	есть та	2	2
277	– есть	2	2
278	он должен	4	2
279	в их	4	2
280	другого человека	2	2
281	человека как	3	2
282	к своему	2	2
283	и та	2	2
284	для нас	3	2
285	в момент	3	2
286	гармонии и	2	2
287	жизни а	3	2
288	его не	5	2
289	человек может	3	2
290	нас в	3	2
291	в такой	4	2
292	должна быть	7	2
293	и религия	3	2
294	о нем	2	2
295	в мире	12	2
296	и этот	4	2
297	от этого	4	2
298	думать что	4	2
299	в него	3	2
300	не имеет	7	2
301	относится к	2	2
302	вообще не	2	2
303	также и	6	2
304	не есть	21	2
305	же что	2	2
306	к которой	4	2
307	в первых	2	2
308	они и	3	2
309	он в	4	2
310	знает только	2	2
311	еще более	3	2
312	личности не	2	2
313	входит в	3	2
314	он и	2	2
315	с таким	2	2
316	жизнь в	4	2
317	тогда когда	2	2
318	и их	3	2
319	любви в	2	2
320	мог бы	5	2
321	ко всему	2	2
322	но если	4	2
323	идеи и	2	2
324	ли он	2	2
325	но когда	3	2
326	человек не	17	2
327	и во	5	2
328	каждого человека	3	2
329	всю жизнь	7	2
330	у других	2	2
331	это есть	4	2
332	отношения к	6	2
333	не к	6	2
334	как для	2	2
335	жизни то	2	2
336	мира в	2	2
337	в глубине	10	2
338	будто бы	3	2
339	у самого	2	2
