N	2gram	Vinokur_St	Analitik
168	должен быть	3	6
169	от своего	2	6
170	не знает	2	6
171	мере в	3	6
172	в нем	9	6
173	что на	3	6
174	ответ на	4	6
175	тем более	4	6
176	он был	5	6
177	и то	6	6
178	хотя бы	8	6
179	то в	3	6
180	в сознании	2	6
181	текста с	2	6
182	из этих	7	6
183	в равной	2	6
184	превращается в	2	6
185	тем не	4	6
186	более чем	3	6
187	и более	4	6
188	так или	3	6
189	есть в	2	6
190	из них	11	6
191	уже в	3	6
192	по его	5	6
193	вовсе не	24	6
194	не о	2	5
195	и потому	3	5
196	не могут	2	5
197	не как	2	5
198	для себя	3	5
199	совершенно не	7	5
200	так что	8	5
201	самом деле	14	5
202	в романе	4	5
203	на вопрос	7	5
204	а с	6	5
205	не так	2	5
206	в эту	3	5
207	в общем	2	5
208	во втором	5	5
209	в них	2	5
210	речь идет	6	5
211	с той	3	5
212	и по	6	5
213	и до	2	5
214	все эти	7	5
215	мы не	3	5
216	к числу	3	5
217	в первом	2	5
218	этом случае	3	5
219	тот же	2	5
220	я не	13	5
221	и здесь	2	5
222	да и	4	5
223	к его	2	5
224	с их	2	5
225	одно из	3	5
226	к этому	4	5
227	и он	2	5
228	мысль о	2	5
229	как о	2	5
230	для того	15	5
231	и их	3	5
232	в этих	5	5
233	такой же	6	5
234	тем что	6	5
235	еще и	5	5
236	ни с	3	5
237	ни в	5	5
238	в котором	11	5
239	в слове	5	5
240	будто бы	4	5
241	еще в	3	5
242	что мы	5	5
243	самого пушкина	6	5
244	в отношении	11	4
245	в области	16	4
246	в каждом	3	4
247	наконец в	2	4
248	отношение к	3	4
249	как к	3	4
250	одним из	2	4
251	оказывается в	2	4
252	а как	5	4
253	были бы	2	4
254	нас к	2	4
255	как он	3	4
256	а именно	3	4
257	истории литературы	2	4
258	была бы	10	4
259	и о	4	4
260	к нему	2	4
261	и что	8	4
262	потому что	13	4
263	свидетельствует о	2	4
264	разного рода	2	4
265	в чем	4	4
266	обращает на	2	4
267	его не	3	4
268	в известном	3	4
269	что же	6	4
270	о своей	2	4
271	того чтобы	15	4
272	и во	3	4
273	и тогда	2	4
274	то ни	2	4
275	и т	36	4
276	бы и	4	4
277	сказать что	9	4
278	и от	2	4
279	по своему	2	4
280	значительной степени	3	4
281	с этим	6	4
282	но это	9	4
283	однако и	2	4
284	не все	3	4
285	что она	5	4
286	бы в	2	4
287	в которой	13	4
288	от которого	2	4
289	в двух	4	4
290	который не	3	4
291	отличается от	2	4
292	об этом	9	4
293	на него	3	4
294	в значительной	2	4
295	не должен	2	4
296	ее в	2	4
297	в своих	2	4
298	на которой	2	4
299	этом смысле	2	4
300	не было	7	4
301	первой строфе	2	4
302	бы не	2	4
303	это и	5	4
304	первой части	2	4
305	на самом	8	3
306	вопрос о	9	3
307	которые в	2	3
308	идет о	3	3
309	в обоих	2	3
310	втором случае	2	3
311	в виду	6	3
312	к своему	3	3
313	текст в	2	3
314	т п	11	3
315	для пушкина	21	3
316	и за	3	3
317	при таком	2	3
318	в такой	2	3
319	себе в	2	3
320	ведь и	3	3
321	с тем	3	3
322	для своего	2	3
323	она не	3	3
324	гораздо более	5	3
325	том числе	3	3
326	в ней	9	3
327	уже о	6	3
328	у пушкина	17	3
329	не говоря	2	3
330	и те	4	3
331	случае в	4	3
332	только к	2	3
333	языка и	4	3
334	в пушкинском	2	3
335	что все	3	3
336	в зависимости	2	3
337	пушкина и	20	3
338	в тех	5	3
339	заключается в	5	3
340	связи с	3	3
341	и я	5	3
342	что они	9	3
343	во время	5	3
344	никто не	4	3
345	случае не	3	3
346	что пушкин	21	3
347	из его	3	3
348	бы то	2	3
349	для этого	2	3
350	например в	8	3
351	так как	7	3
352	можно было	14	3
353	хотя в	2	3
354	пушкина что	3	3
355	дело в	9	3
356	бы ни	3	3
357	образом не	2	3
358	всех этих	2	3
359	о котором	2	3
360	это было	2	3
361	борьба с	2	3
362	борьбы с	3	3
363	который как	2	3
364	зависимости от	2	3
365	что как	3	3
366	с этой	5	3
367	где он	2	3
368	в какой	4	3
369	сами по	2	3
370	на этот	5	3
371	они не	2	3
372	также и	10	3
373	а то	3	3
374	что у	8	3
375	на меня	2	3
376	поэтому в	4	3
377	на то	5	3
378	но к	2	3
379	оно не	3	3
380	и с	6	3
381	на почве	2	3
382	если не	4	3
383	времени не	5	3
384	жизни и	6	3
385	как на	10	3
386	быть не	2	3
387	всякий раз	2	3
388	не к	2	3
389	но с	7	3
390	этих двух	4	3
391	писал в	2	3
392	и без	4	3
393	но он	5	3
394	далее в	4	2
395	начиная с	2	2
396	при помощи	4	2
397	в диалог	2	2
398	о которых	3	2
399	могло бы	3	2
400	представляет собою	3	2
401	так же	7	2
402	той мере	2	2
403	для нас	7	2
404	в процессе	3	2
405	не имеют	2	2
406	в одной	3	2
407	на эту	5	2
408	пушкина в	40	2
409	этого рода	2	2
410	бы мы	2	2
411	даже не	5	2
412	б в	3	2
413	части этого	2	2
414	не могла	2	2
415	такое отношение	2	2
416	впрочем в	2	2
417	пушкина не	10	2
418	к которому	4	2
419	и эти	2	2
420	что именно	2	2
421	том же	3	2
422	или с	2	2
423	одном из	4	2
424	зрения в	2	2
425	более что	2	2
426	должна была	6	2
427	или менее	2	2
428	же касается	3	2
429	быть в	2	2
430	что ни	2	2
431	не являются	3	2
432	так например	12	2
433	до его	2	2
434	тому что	8	2
435	не приходится	5	2
436	к первому	2	2
437	только с	4	2
438	борьбу с	2	2
439	другое дело	3	2
440	более или	2	2
441	культуры в	3	2
442	что этот	3	2
443	равной мере	2	2
444	евгения онегина	6	2
445	между прочим	10	2
446	по этому	5	2
447	с нею	3	2
448	смысле этого	2	2
449	на все	2	2
450	в уста	3	2
451	тем или	3	2
452	там где	6	2
453	что с	4	2
454	и дело	2	2
455	говоря уже	2	2
456	в применении	3	2
457	по существу	3	2
458	в литературном	3	2
459	в которую	2	2
460	что это	5	2
461	в стихах	2	2
462	т е	21	2
463	во многих	3	2
464	в сцене	7	2
465	я уже	3	2
466	не знаю	2	2
467	что во	3	2
468	а на	4	2
469	на это	2	2
470	ни для	2	2
471	к истории	2	2
472	думать что	2	2
473	бы это	2	2
474	пушкина а	4	2
475	видел в	2	2
476	в статье	9	2
477	было не	3	2
478	должен был	5	2
479	он по	2	2
480	но ведь	8	2
481	судя по	2	2
482	у нас	12	2
483	применении к	3	2
484	со всеми	2	2
485	не по	5	2
486	в течение	7	2
487	но они	3	2
488	сих пор	12	2
489	в отдельных	2	2
490	но если	5	2
491	для научного	2	2
492	второй части	2	2
493	от его	2	2
494	обоих случаях	2	2
495	перед собой	2	2
496	по словам	7	2
497	не имеет	5	2
498	вообще не	5	2
499	раз в	4	2
500	их в	2	2
501	а между	2	2
502	еще более	5	2
503	что при	3	2
504	пушкина как	9	2
505	свою собственную	3	2
506	этот вопрос	6	2
507	или иным	3	2
508	которой в	3	2
509	но я	5	2
510	здесь совершенно	3	2
511	не могу	2	2
512	русской поэзии	2	2
513	может не	2	2
514	не для	3	2
515	сколько в	2	2
516	пребывания в	3	2
517	не просто	2	2
518	и только	3	2
519	в форме	2	2
520	о которой	3	2
521	у меня	3	2
522	до сих	13	2
523	не оставляет	2	2
524	который всегда	2	2
525	его собственной	3	2
526	тем же	3	2
