N	2gram	Propp_Russ	slovoVRo
204	к слову	3	3
205	и те	3	3
206	между собой	4	3
207	на все	3	3
208	и до	3	3
209	было бы	3	3
210	а иногда	6	3
211	этого слова	3	3
212	интерес к	2	3
213	и то	2	3
214	к этому	7	3
215	из этих	6	3
216	от этого	2	3
217	не все	4	3
218	должно быть	2	3
219	по всей	4	3
220	борьбы с	2	3
221	тем что	7	3
222	в связи	4	3
223	и другие	24	3
224	такой же	3	3
225	нас в	2	3
226	или на	11	3
227	за пределами	2	3
228	в этой	4	3
229	к новому	2	3
230	потому что	15	3
231	все что	2	3
232	и это	2	3
233	в эту	3	3
234	с таким	2	3
235	в стороне	2	3
236	в форме	3	3
237	тем и	4	3
238	чем в	4	3
239	и начинают	2	2
240	на самом	3	2
241	в таких	3	2
242	чаще всего	3	2
243	них как	2	2
244	и у	5	2
245	как он	2	2
246	у них	2	2
247	так что	4	2
248	и за	2	2
249	как уже	6	2
250	в один	2	2
251	есть в	2	2
252	а с	6	2
253	то что	10	2
254	по своему	2	2
255	в руках	3	2
256	в прошлом	2	2
257	что все	2	2
258	которые как	2	2
259	к ним	4	2
260	мы наблюдаем	2	2
261	в образе	3	2
262	далее в	2	2
263	на них	4	2
264	иногда в	2	2
265	место в	2	2
266	для них	5	2
267	мы видим	2	2
268	только как	2	2
269	что они	8	2
270	значение и	2	2
271	во всей	2	2
272	из самых	2	2
273	в двух	2	2
274	и другими	3	2
275	и свои	2	2
276	того как	6	2
277	этого момента	3	2
278	как например	6	2
279	то и	4	2
280	независимо от	3	2
281	и что	8	2
282	в равной	2	2
283	можно было	3	2
284	что она	4	2
285	с ней	7	2
286	из своих	2	2
287	та же	4	2
288	же в	5	2
289	он был	2	2
290	при изучении	6	2
291	на каждом	3	2
292	в области	3	2
293	при всех	2	2
294	об этом	11	2
295	в жизни	2	2
296	тем не	3	2
297	ее с	2	2
298	у нас	11	2
299	иметь в	2	2
300	как у	2	2
301	а именно	2	2
302	в течение	7	2
303	к ней	4	2
304	но они	4	2
305	мы можем	2	2
306	в какой	3	2
307	не можем	5	2
308	как известно	2	2
309	за ним	3	2
310	на то	2	2
311	и связанные	2	2
312	можно говорить	2	2
313	что для	4	2
314	мы увидим	8	2
315	других случаях	4	2
316	в котором	2	2
317	в своих	3	2
318	к материалу	2	2
319	приводит к	4	2
320	главным образом	5	2
321	ее от	2	2
322	несмотря на	4	2
323	они же	2	2
324	привело к	2	2
325	то время	3	2
326	не просто	3	2
327	он есть	2	2
328	не к	3	2
329	в нашем	2	2
330	не значит	2	2
