N	2gram	Vinokur_Vv	Analitik
340	тогда когда	4	3
341	мог бы	2	3
342	жизни и	2	3
343	он сам	3	3
344	своего предмета	2	3
345	сам по	2	3
346	как на	12	3
347	же самое	3	3
348	не к	2	3
349	но с	5	3
350	этих двух	2	3
351	и без	2	3
352	этих случаях	2	3
353	этой стороны	2	2
354	все более	4	2
355	при помощи	3	2
356	о которых	2	2
357	бы с	2	2
358	с теми	2	2
359	могло бы	2	2
360	так же	3	2
361	той мере	6	2
362	этого рода	9	2
363	еще раз	2	2
364	и должно	2	2
365	произведения и	2	2
366	обе эти	3	2
367	вообще и	3	2
368	что несмотря	2	2
369	в следующем	2	2
370	что именно	2	2
371	только по	3	2
372	это только	4	2
373	том же	2	2
374	и при	2	2
375	когда мы	2	2
376	должна была	2	2
377	может ли	2	2
378	же касается	2	2
379	быть в	5	2
380	что может	3	2
381	от других	2	2
382	в разных	7	2
383	то о	2	2
384	так например	6	2
385	в прошлом	2	2
386	со всей	3	2
387	то она	2	2
388	тому что	2	2
389	на этой	3	2
390	только с	4	2
391	следует что	2	2
392	искусство и	2	2
393	а только	8	2
394	она есть	5	2
395	другое дело	3	2
396	культуры в	5	2
397	без остатка	2	2
398	широком смысле	8	2
399	этой точки	2	2
400	не бывает	2	2
401	науки о	9	2
402	по этому	3	2
403	смысле этого	9	2
404	и др	2	2
405	тем или	2	2
406	что даже	3	2
407	своей природе	3	2
408	что с	3	2
409	следует понимать	2	2
410	как нечто	8	2
411	одновременно и	3	2
412	говоря уже	2	2
413	как совокупность	2	2
414	в применении	7	2
415	который по	2	2
416	уже и	10	2
417	отсюда и	2	2
418	по существу	2	2
419	или нет	2	2
420	но зато	2	2
421	одно и	2	2
422	это еще	2	2
423	что это	3	2
424	т е	40	2
425	время в	2	2
426	но дело	3	2
427	собой в	2	2
428	к истории	6	2
429	научного анализа	2	2
430	мы можем	2	2
431	значение в	2	2
432	языка на	2	2
433	это делает	2	2
434	целого и	2	2
435	и вот	3	2
436	должен был	4	2
437	но ведь	4	2
438	имеет свою	2	2
439	у нас	2	2
440	все равно	2	2
441	применении к	6	2
442	в течение	5	2
443	сих пор	7	2
444	но если	6	2
445	текст и	3	2
446	на протяжении	2	2
447	не имеет	4	2
448	в дальнейшем	2	2
449	вообще не	3	2
450	он написан	2	2
451	а между	2	2
452	зависит от	3	2
453	не вполне	4	2
454	языка в	5	2
455	истории в	2	2
456	этот вопрос	7	2
457	или иным	2	2
458	истории не	2	2
459	об искусстве	4	2
460	которой в	2	2
461	учение о	2	2
462	ближе к	2	2
463	как об	9	2
464	не просто	5	2
465	в форме	2	2
466	них не	2	2
467	о которой	2	2
468	до сих	7	2
469	связь между	5	2
