N	2gram	Losev_Dial	slovoVRo
114	о нем	6	7
115	связи с	3	7
116	например в	3	7
117	у него	2	7
118	смысла и	3	7
119	здесь не	2	7
120	за пределы	3	7
121	также и	6	7
122	жизни и	8	7
123	не было	6	7
124	в таком	15	7
125	кроме того	8	7
126	же и	2	7
127	во всем	5	7
128	мы уже	6	7
129	ничего не	29	6
130	как к	2	6
131	на этом	3	6
132	бы и	2	6
133	что в	12	6
134	ни в	20	6
135	в чисто	2	6
136	можно сказать	5	6
137	другой стороны	4	6
138	говорить о	13	6
139	и здесь	3	6
140	хотя бы	9	6
141	конечно и	2	6
142	именно в	5	6
143	себя и	3	6
144	по себе	31	6
145	в одном	3	6
146	мира и	3	6
147	становления и	3	6
148	а как	2	5
149	только на	8	5
150	не знает	4	5
151	не менее	11	5
152	но оно	2	5
153	мы не	11	5
154	и по	2	5
155	хотя и	9	5
156	для этого	3	5
157	в данном	6	5
158	и при	4	5
159	с их	4	5
160	в результате	7	5
161	и может	2	5
162	этом отношении	2	5
163	для того	4	5
164	должна быть	11	5
165	они не	3	5
166	о том	11	5
167	и этим	3	5
168	той же	6	5
169	данный момент	2	5
170	и чисто	6	5
171	но он	3	5
172	вместе с	3	5
173	следовательно и	2	4
174	так же	7	4
175	его на	3	4
176	но как	3	4
177	и ее	8	4
178	и формы	2	4
179	что и	8	4
180	в виду	12	4
181	что он	18	4
182	он должен	3	4
183	не всегда	3	4
184	в виде	11	4
185	в частности	3	4
186	того что	22	4
187	лучшем случае	2	4
188	все его	2	4
189	именно как	3	4
190	даже и	9	4
191	так в	2	4
192	в чем	11	4
193	сознание и	4	4
194	что оно	9	4
195	тогда когда	9	4
196	и во	3	4
197	же как	4	4
198	в точном	2	4
199	одно и	6	4
200	только и	3	4
201	одной из	3	4
202	но это	10	4
203	его как	6	4
204	дело не	2	4
205	и как	13	4
206	если бы	10	4
207	вообще не	3	4
208	с этой	7	4
209	в условиях	2	4
210	со всеми	2	4
211	и о	9	4
212	или как	3	4
213	быть только	2	4
214	к тому	4	4
215	от его	2	4
216	которая не	2	4
217	при всем	5	4
218	он может	2	4
219	о себе	2	4
220	в другой	2	4
221	из них	4	4
222	в лучшем	2	4
223	уже сказали	2	4
224	из этого	3	4
225	и уже	5	4
226	в некоторых	3	4
227	как только	5	4
228	первый план	4	4
229	отношения к	4	4
230	в себя	4	4
231	по существу	2	4
232	на первый	4	4
233	как раз	11	4
234	данном случае	3	3
235	или к	2	3
236	нисколько не	4	3
237	его от	2	3
238	но она	4	3
239	и вне	3	3
240	как это	8	3
241	может и	3	3
242	людей и	2	3
243	и где	2	3
244	как таковые	2	3
245	в разных	2	3
246	на котором	2	3
247	в свете	3	3
248	тому что	5	3
249	не приходится	2	3
250	и без	4	3
251	не предполагает	2	3
252	было бы	13	3
253	того и	2	3
254	в первом	2	3
255	ведь и	3	3
256	и они	3	3
257	и то	7	3
258	и вообще	7	3
259	или иного	3	3
260	к этому	3	3
261	того или	6	3
262	из этих	5	3
263	в собственном	3	3
264	от этого	5	3
265	должно быть	7	3
266	если она	4	3
267	это было	5	3
268	отличается от	9	3
269	но лишь	2	3
270	сама по	11	3
271	или иных	2	3
272	тем что	5	3
273	в связи	3	3
274	сознания в	2	3
275	смысл и	2	3
276	нас в	3	3
277	лишь как	4	3
278	или на	2	3
279	движения и	3	3
280	ни с	4	3
281	не должно	2	3
282	тех или	6	3
283	не есть	95	3
284	мир и	6	3
285	в этой	3	3
286	на нем	3	3
287	потому что	21	3
288	все что	3	3
289	целый ряд	3	3
290	если мы	5	3
291	и это	12	3
292	из себя	3	3
293	вещей и	6	3
294	личности и	15	3
295	себя то	2	3
296	и тем	3	3
297	без всякого	2	3
298	и нет	9	3
299	чем в	2	3
300	на самом	2	2
301	ни о	8	2
302	и мыслит	2	2
303	и этого	2	2
304	чаще всего	3	2
305	явления и	4	2
306	можно утверждать	2	2
307	что уже	3	2
308	могут не	2	2
309	есть только	13	2
310	них как	2	2
311	и у	3	2
312	и есть	24	2
313	есть не	11	2
314	во всякой	2	2
315	и эти	2	2
316	это и	12	2
317	как он	4	2
318	это как	3	2
319	так что	11	2
320	и ни	3	2
321	в один	2	2
322	есть в	4	2
323	бы его	2	2
324	нем не	2	2
325	то что	25	2
326	по своему	2	2
327	от этих	2	2
328	самое слово	2	2
329	что все	16	2
330	только не	10	2
331	смысле не	4	2
332	жизнь в	2	2
333	на себе	4	2
334	этого не	2	2
335	и само	3	2
336	этой точки	4	2
337	и та	4	2
338	же он	2	2
339	себя как	3	2
340	действительно не	2	2
341	всегда и	4	2
342	не умеет	2	2
343	на них	2	2
344	что не	8	2
345	место в	2	2
346	категории и	3	2
347	в ее	5	2
348	когда она	4	2
349	мы видим	4	2
350	только как	7	2
351	что они	2	2
352	был бы	2	2
353	случае не	4	2
354	из самых	3	2
355	бы только	3	2
356	от всякого	5	2
357	на ту	2	2
358	того как	2	2
359	да и	4	2
360	особого рода	3	2
361	время как	6	2
362	меньше чем	2	2
363	то в	5	2
364	как например	2	2
365	то и	5	2
366	утверждать что	6	2
367	независимо от	3	2
368	и что	21	2
369	бы быть	2	2
370	что она	13	2
371	при таком	2	2
372	не нужно	2	2
373	та же	5	2
374	же в	2	2
375	перестает быть	2	2
376	то или	4	2
377	и той	4	2
378	и всякой	2	2
379	об этом	8	2
380	и всякое	2	2
381	тот или	2	2
382	если оно	4	2
383	как о	6	2
384	в жизни	4	2
385	тем не	10	2
386	у нас	7	2
387	иметь в	3	2
388	совершенно не	6	2
389	а именно	7	2
390	нет никакой	7	2
391	влиять на	2	2
392	в течение	4	2
393	ни к	3	2
394	но они	3	2
395	мы можем	3	2
396	не меньше	2	2
397	не можем	3	2
398	заключается в	3	2
399	и кроме	2	2
400	культуры и	2	2
401	есть все	2	2
402	нет и	5	2
403	при его	3	2
404	на то	5	2
405	можно говорить	2	2
406	что для	5	2
407	такое понимание	2	2
408	в котором	2	2
409	в своих	3	2
410	или иначе	2	2
411	в сфере	3	2
412	как с	2	2
413	и становится	2	2
414	ее от	2	2
415	сущности и	6	2
416	и она	4	2
417	несмотря на	2	2
418	или иное	4	2
419	своим собственным	3	2
420	то время	6	2
421	не просто	20	2
422	и жизни	8	2
423	он есть	7	2
424	только о	4	2
425	и только	6	2
426	нового времени	2	2
427	не значит	5	2
428	однако не	2	2
429	мы и	4	2
