N	2gram	Tiupa_Vved	Psycholo
282	слова в	3	7
283	не существует	3	7
284	к жизни	2	7
285	отношение к	5	6
286	еще более	2	6
287	тот кто	2	6
288	а только	3	6
289	мы переживаем	2	6
290	слова и	3	6
291	его с	2	6
292	не все	2	6
293	тем не	3	6
294	из него	2	6
295	на нее	2	6
296	оно не	2	6
297	или менее	2	6
298	и затем	2	6
299	даже в	3	6
300	и вся	3	6
301	она была	2	6
302	так в	5	6
303	да и	3	6
304	событий и	2	6
305	то и	2	6
306	обратимся к	2	6
307	мы узнаем	2	6
308	что касается	5	6
309	более или	2	6
310	событий в	2	6
311	что я	2	6
312	уже не	7	6
313	к его	5	6
314	приводит к	2	6
315	заметить что	2	6
316	говорить о	5	6
317	одного из	3	5
318	еще и	2	5
319	к одному	2	5
320	все равно	2	5
321	у них	3	5
322	точку зрения	2	5
323	но так	2	5
324	между собой	2	5
325	которое в	4	5
326	принадлежит к	3	5
327	если в	3	5
328	и опять	2	5
329	все они	2	5
330	но они	3	5
331	не мог	2	5
332	не следует	3	5
333	не знает	2	5
334	к которому	2	5
335	или не	3	5
336	вместо того	2	5
337	в романе	6	5
338	действующее лицо	2	5
339	зависит от	3	5
340	по выражению	3	5
341	представляют собой	3	5
342	эти слова	2	5
343	хотя и	10	5
344	но она	2	5
345	себя в	4	5
346	дело не	2	5
347	человека в	2	5
348	и сам	2	5
349	она может	2	5
350	он является	2	5
351	а то	2	5
352	однако не	2	5
353	быть не	4	5
354	высшей степени	2	4
355	ее и	2	4
356	вплоть до	2	4
357	должны были	3	4
358	начала и	2	4
359	также и	6	4
360	от своего	2	4
361	потому не	2	4
362	к своему	2	4
363	не по	4	4
364	любви и	2	4
365	однако в	9	4
366	аналогии с	2	4
367	в первом	3	4
368	могут служить	3	4
369	который в	5	4
370	не с	4	4
371	следует отнести	2	4
372	не до	3	4
373	так называемой	2	4
374	не на	3	4
375	в речи	3	4
376	как у	3	4
377	строго говоря	2	4
378	и того	3	4
379	со времен	2	4
380	слов в	2	4
381	рассказа в	3	4
382	по отношению	11	4
383	именно эта	2	4
384	ли не	2	4
385	что до	2	4
386	в детской	3	4
387	от этих	2	4
388	рассказ в	4	4
389	в состав	5	4
390	здесь не	2	4
391	с ними	2	4
392	и смерти	2	4
393	несет в	4	4
394	если она	2	4
395	в пределах	3	4
396	в мире	9	4
397	стало быть	10	4
398	не могу	2	4
399	мог бы	2	4
400	можно назвать	2	4
401	же время	4	4
402	основе своей	2	4
403	из которой	2	4
404	в слове	4	4
405	не о	2	3
406	ни о	2	3
407	одним из	5	3
408	нам о	2	3
409	означало бы	2	3
410	для себя	2	3
411	друг от	2	3
412	этом не	2	3
413	между двумя	5	3
414	в центре	4	3
415	не сумел	2	3
416	а также	12	3
417	по аналогии	4	3
418	однако и	3	3
419	у нее	4	3
420	которая не	2	3
421	к себе	2	3
422	на первый	3	3
423	по своим	3	3
424	ни к	3	3
425	быть только	2	3
426	то он	2	3
427	от друга	2	3
428	о них	4	3
429	еще в	3	3
430	со своей	4	3
431	ближе к	3	3
432	пока еще	6	3
433	о которой	4	3
434	мы и	2	3
435	своем роде	2	3
436	которое может	2	3
437	в ответ	2	3
438	такого рода	23	3
439	героя в	3	3
440	применительно к	2	3
441	как известно	2	3
442	связано с	3	3
443	мере в	2	3
444	в разных	2	3
445	и оно	2	3
446	этих событий	2	3
447	нет ничего	2	3
448	и др	2	3
449	тем более	3	3
450	было в	2	3
451	обращается к	2	3
452	здесь как	2	3
453	не принадлежит	2	3
454	а к	3	3
455	хотя в	2	3
456	в этот	3	3
457	которые могут	2	3
458	не столько	5	3
459	отношению к	11	3
460	не могло	2	3
461	точек зрения	2	3
462	которое не	2	3
463	или иначе	2	3
464	быть и	2	3
465	это время	2	3
466	к своей	2	3
467	он и	2	3
468	и который	2	3
469	имеем дело	5	3
470	в высшей	2	3
471	на основе	2	3
472	во времени	2	2
473	жизни в	5	2
474	и слова	2	2
475	для которого	4	2
476	случае это	4	2
477	с героями	2	2
478	к ее	3	2
479	но именно	3	2
480	своей жизни	3	2
481	с того	3	2
482	времени в	3	2
483	которая в	3	2
484	во втором	4	2
485	произведение в	2	2
486	для них	3	2
487	тому или	2	2
488	своей природе	2	2
489	всего на	2	2
490	не один	2	2
491	говорят о	2	2
492	из четырех	3	2
493	как для	3	2
494	тех же	2	2
495	и времени	2	2
496	сводятся к	2	2
497	все было	2	2
498	в значительной	2	2
499	автора в	5	2
500	или иному	2	2
501	слово это	2	2
502	этого события	2	2
503	от сознания	2	2
504	было и	2	2
505	другой в	2	2
506	не вполне	4	2
507	жизни как	2	2
508	вся жизнь	2	2
509	ни от	2	2
510	его собственной	2	2
511	смысл который	2	2
512	или иной	5	2
513	внимание к	2	2
514	оттого что	2	2
515	по своей	4	2
516	создается не	2	2
517	рассказа о	2	2
518	и т.д	6	2
519	и предполагает	2	2
520	тут же	3	2
521	не всегда	2	2
522	из жизни	3	2
523	именно к	2	2
524	до этого	2	2
525	дело обстоит	2	2
526	той или	5	2
527	еще один	3	2
528	исключительно в	3	2
529	от них	2	2
530	как оно	2	2
531	в начале	3	2
532	и представляет	4	2
533	природе своей	2	2
534	а слово	2	2
535	повествования и	4	2
536	как о	2	2
537	как по	2	2
538	герой и	3	2
539	вследствие этого	5	2
540	говоря это	2	2
541	а для	2	2
542	ведет к	2	2
543	по ходу	2	2
544	на протяжении	2	2
545	в литературе	2	2
546	жизни не	2	2
547	в сфере	7	2
548	не зависит	2	2
549	в европейской	2	2
550	жизни для	2	2
551	и вновь	3	2
552	и сами	2	2
