N	2gram	Bakhtin_sl	formyVre
260	и почти	3	5
261	xix века	2	5
262	от этого	2	5
263	в него	9	5
264	в едином	2	5
265	они не	3	5
266	с другими	8	5
267	но здесь	5	5
268	что все	2	5
269	там где	10	5
270	не были	3	5
271	с ними	8	5
272	той или	13	5
273	не на	6	5
274	что они	2	5
275	одно и	3	5
276	и от	5	5
277	хотя бы	6	5
278	почти вовсе	5	5
279	в своей	8	5
280	по преимуществу	5	5
281	исторического романа	2	5
282	они как	2	5
283	всем этим	2	5
284	с этой	3	5
285	или как	4	5
286	романа мы	2	5
287	быть только	3	5
288	конечно и	3	5
289	далеко не	7	5
290	вообще не	4	5
291	да и	2	5
292	он может	3	5
293	человек в	6	5
294	в смысле	7	5
295	романа но	3	5
296	романа и	8	5
297	ни были	3	5
298	точка зрения	10	5
299	или в	10	5
300	и только	2	5
301	как его	5	5
302	той же	3	5
303	мы и	2	5
304	даже в	4	4
305	перед нами	7	4
306	его но	3	4
307	так в	2	4
308	его на	2	4
309	от него	5	4
310	в одной	2	4
311	по себе	4	4
312	в эпосе	4	4
313	европейского романа	7	4
314	по отношению	2	4
315	в другом	4	4
316	которых мы	3	4
317	не был	2	4
318	друг друга	3	4
319	и при	2	4
320	в быту	5	4
321	у толстого	5	4
322	что он	2	4
323	и о	3	4
324	жизни поэтому	3	4
325	между этими	3	4
326	как он	2	4
327	оно было	4	4
328	как у	2	4
329	в одно	2	4
330	о которых	2	4
331	людей и	2	4
332	в один	2	4
333	его от	2	4
334	они были	3	4
335	в историческом	2	4
336	мы наблюдаем	2	4
337	именно как	3	4
338	дело идет	2	4
339	для романа	3	4
340	сливается с	6	4
341	в чем	2	4
342	другой стороны	5	4
343	и те	3	4
344	и вне	3	4
345	на его	9	4
346	формы и	3	4
347	для них	2	4
348	языка и	18	4
349	войти в	2	4
350	мы сказали	6	4
351	из самых	2	4
352	и со	2	4
353	быть и	6	4
354	в новое	4	4
355	в данном	5	4
356	включает в	3	4
357	борьба с	5	4
358	и образ	2	4
359	у нас	2	4
360	лишь как	3	4
361	каковы бы	2	4
362	же и	4	4
363	или на	2	4
364	и более	3	4
365	связан с	2	4
366	романе мы	2	4
367	этом случае	4	4
368	и разновидности	2	4
369	судьбы и	2	4
370	момент в	2	4
371	несмотря на	2	4
372	всяком случае	7	4
373	разновидности романа	3	4
374	а следовательно	2	4
375	друг другу	2	4
376	во всем	3	4
377	и становится	2	4
378	чем в	3	4
379	и которые	2	3
380	которые в	4	3
381	но мы	2	3
382	вступает в	2	3
383	романа у	3	3
384	а на	3	3
385	без всяких	2	3
386	до известной	3	3
387	преимущественно в	4	3
388	наконец в	5	3
389	не входят	2	3
390	узком смысле	13	3
391	подхода к	5	3
392	этим определяется	4	3
393	он весь	2	3
394	и эти	2	3
395	в новом	3	3
396	точку зрения	6	3
397	поэтому оно	2	3
398	как это	3	3
399	зрения не	3	3
400	как уже	2	3
401	почти всегда	3	3
402	тому что	2	3
403	она не	8	3
404	но оно	5	3
405	не могла	2	3
406	в чисто	4	3
407	жизнь в	2	3
408	в более	2	3
409	далее в	2	3
410	можно прямо	3	3
411	но это	3	3
412	прямо сказать	3	3
413	не столько	4	3
414	же как	2	3
415	в зависимости	4	3
416	и самый	2	3
417	на этом	4	3
418	на материале	2	3
419	конечно в	2	3
420	известной степени	6	3
421	моменты в	2	3
422	в двух	2	3
423	романного жанра	19	3
424	них и	3	3
425	у стерна	5	3
426	одна из	6	3
427	но она	2	3
428	социальных групп	3	3
429	все то	2	3
430	с которыми	2	3
431	и быта	2	3
432	и между	2	3
433	все время	4	3
434	с этими	3	3
435	необходимо отметить	3	3
436	бы и	6	3
437	дело в	2	3
438	менее всего	3	3
439	это было	2	3
440	к ней	2	3
441	в прошлом	2	3
442	в значительной	6	3
443	п но	2	3
444	борьбы с	3	3
445	и здесь	5	3
446	целый ряд	2	3
447	зависимости от	4	3
448	мы увидим	2	3
449	этим определяются	2	3
450	совершенно не	2	3
451	его и	5	3
452	нас в	3	3
453	нем в	6	3
454	при всем	3	3
455	по своему	2	3
456	удельный вес	6	3
457	можно говорить	2	3
458	правда не	3	3
459	можно сказать	2	3
460	на почве	6	3
461	таков например	2	3
462	особенно у	2	3
463	если мы	2	3
464	в свою	4	3
465	связь с	2	3
466	выражение в	4	3
467	произведения в	2	3
468	момент его	4	3
469	и есть	2	3
470	в слове	11	3
471	мы говорили	2	3
472	дано в	2	3
473	романе не	2	3
474	без всякого	2	3
475	данном случае	3	2
476	или даже	5	2
477	в плане	11	2
478	и самая	3	2
479	человек и	13	2
480	для всего	2	2
481	иной степени	12	2
482	в духе	3	2
483	для романного	4	2
484	в каждом	5	2
485	свою очередь	3	2
486	на один	2	2
487	смысла и	6	2
488	и стиль	2	2
489	жанровые разновидности	2	2
490	язык в	9	2
491	должен быть	3	2
492	только два	2	2
493	и оценки	2	2
494	бы его	2	2
495	в бытовой	3	2
496	автора к	3	2
497	произведения как	3	2
498	героя в	2	2
499	в новые	2	2
500	а вовсе	4	2
501	слова но	2	2
502	п в	2	2
503	но по	2	2
504	его не	4	2
505	от других	2	2
506	и создает	2	2
507	образом в	4	2
508	может иметь	3	2
509	у филдинга	2	2
510	или вовсе	2	2
511	к своей	2	2
512	в зоне	3	2
513	к нему	7	2
514	и существенных	2	2
515	от этой	3	2
516	и непосредственно	6	2
517	притом в	3	2
518	отношении к	9	2
519	в узком	13	2
520	но как	2	2
521	как таковые	3	2
522	себя как	2	2
523	в состав	3	2
524	на них	2	2
525	в поэзии	4	2
526	переходит в	3	2
527	стерна и	2	2
528	отметить что	3	2
529	на котором	3	2
530	и роман	4	2
531	из одного	2	2
532	всех своих	2	2
533	взаимоотношения между	2	2
534	без исключения	2	2
535	этого слова	2	2
536	роман и	7	2
537	исторического развития	2	2
538	и иные	2	2
539	не столь	2	2
540	мы видели	3	2
541	самое слово	2	2
542	и становления	3	2
543	и нет	3	2
544	стремится к	2	2
545	перестает быть	2	2
546	то в	2	2
547	оно уже	2	2
548	дело и	2	2
549	лежит в	5	2
550	как оно	3	2
551	на которые	3	2
552	и эта	2	2
553	его как	3	2
554	себя в	14	2
555	словом и	9	2
556	фоне которого	2	2
557	прямой и	4	2
558	и стиля	2	2
559	отличается от	3	2
560	речи в	5	2
561	софистический роман	2	2
562	на роман	5	2
563	и может	4	2
564	за всеми	2	2
565	своими корнями	2	2
566	жанров в	2	2
567	но повторяем	2	2
568	остается вне	4	2
569	для нас	7	2
570	нами в	3	2
571	смысл и	3	2
572	вне его	4	2
573	к своему	11	2
574	должна быть	3	2
575	культуры и	2	2
576	роман испытания	2	2
577	но уже	2	2
578	за пределами	3	2
579	эта форма	3	2
580	их целом	2	2
581	эти формы	5	2
582	нет никакой	2	2
583	особенно на	2	2
584	в мировой	2	2
585	в единое	2	2
586	как с	2	2
587	зрения на	9	2
588	из себя	3	2
589	него нет	3	2
590	благодаря этой	2	2
591	и этим	3	2
592	лишь на	3	2
593	где нет	2	2
594	тогда когда	2	2
595	которые как	2	2
596	и она	2	2
597	мировой литературе	2	2
598	влияния на	3	2
599	и бытовой	2	2
600	на мир	6	2
601	со всею	5	2
602	эти элементы	2	2
603	эпохи и	2	2
604	в чужом	4	2
605	степени и	2	2
606	говорить о	2	2
607	быта и	2	2
608	и особенно	2	2
609	как только	4	2
610	в языке	7	2
611	только о	2	2
612	и сам	4	2
613	них не	2	2
614	всех его	9	2
615	явления и	2	2
616	подчеркнуть что	2	2
