N	2gram	Tiupa_Anal	KulturaY
348	во время	2	3
349	в дальнейшем	2	3
350	значение в	2	3
351	отсюда и	2	3
352	но зато	2	3
353	в одну	3	3
354	если в	3	3
355	в стихах	2	3
356	тогда как	37	3
357	известном смысле	2	3
358	из своих	2	3
359	сама по	3	3
360	таком случае	2	3
361	как у	3	3
362	более чем	2	3
363	одних и	2	3
364	для него	8	3
365	что у	3	3
366	е к	2	3
367	все что	2	3
368	и следует	2	3
369	в большинстве	2	3
370	или иным	2	3
371	жизнь в	2	3
372	в следующем	2	3
373	со своей	8	3
374	к жизни	5	3
375	с их	3	3
376	в противном	2	3
377	таким же	4	3
378	мы могли	3	3
379	в противовес	2	3
380	в ходе	3	2
381	в действительности	2	2
382	путь к	4	2
383	в одной	2	2
384	в состоянии	2	2
385	в глаза	2	2
386	и той	2	2
387	втором случае	2	2
388	уже по	2	2
389	на жизнь	2	2
390	что между	2	2
391	в принципе	3	2
392	было сказано	2	2
393	на пути	2	2
394	нас к	2	2
395	доказывает что	2	2
396	но сам	2	2
397	одной и	2	2
398	у пушкина	3	2
399	одной из	6	2
400	ведь и	2	2
401	любви к	2	2
402	следует подчеркнуть	2	2
403	указывает на	3	2
404	по природе	3	2
405	к самому	2	2
406	которая в	2	2
407	говорит и	3	2
408	далее в	2	2
409	самого пушкина	5	2
410	ответ на	3	2
411	не могла	2	2
412	здесь в	2	2
413	тем или	2	2
414	жизни и	2	2
415	и до	2	2
416	без исключения	3	2
417	что пушкин	3	2
418	ее в	2	2
419	с этого	2	2
420	одна из	6	2
421	лишь после	2	2
422	я уже	2	2
423	дело в	3	2
424	его как	3	2
425	только к	2	2
426	это было	2	2
427	имеет место	3	2
428	в текст	2	2
429	дело с	3	2
430	связывается с	3	2
431	исходит из	2	2
432	пушкина а	2	2
433	как правило	6	2
434	после чего	2	2
435	природе своей	4	2
436	должен был	2	2
437	по его	4	2
438	не является	5	2
439	то у	2	2
440	где он	2	2
441	ведет к	2	2
442	пушкина не	2	2
443	но они	2	2
444	в глазах	6	2
445	не должен	2	2
446	едва ли	6	2
447	это по	3	2
448	в жизни	2	2
449	в литературе	3	2
450	по пути	4	2
451	и а	4	2
452	не будет	3	2
453	поэтому в	2	2
454	на почве	3	2
455	который как	2	2
456	к смыслу	2	2
457	на которой	2	2
458	и прежде	2	2
459	он и	4	2
460	и одновременно	6	2
461	тому как	3	2
462	к числу	4	2
463	в случае	6	2
464	в русской	9	2
465	поскольку он	3	2
466	во всем	5	2
467	а тем	2	2
468	дело здесь	4	2
469	в себя	6	2
470	один и	2	2
471	каждом из	2	2
