N	2gram	Propp_Isto	Literetu
182	и вот	2	4
183	для того	2	4
184	такой же	3	4
185	что его	2	4
186	то он	2	4
187	но тем	2	4
188	можно сказать	3	4
189	на то	5	4
190	а по	2	4
191	не могу	2	4
192	не вполне	5	4
193	свое место	2	4
194	перед ним	2	4
195	вовсе не	6	4
196	из этого	2	4
197	и что	15	4
198	таким образом	15	4
199	и есть	2	4
200	отношения к	2	4
201	и нет	3	4
202	вопрос о	6	3
203	ничего не	7	3
204	имеется в	4	3
205	в действительности	2	3
206	так же	6	3
207	но как	4	3
208	о чем	2	3
209	по себе	2	3
210	вот в	2	3
211	герой в	2	3
212	отношение к	6	3
213	нет в	2	3
214	этого не	2	3
215	но по	2	3
216	а на	2	3
217	а с	3	3
218	себе в	3	3
219	и о	2	3
220	стороны и	4	3
221	следующим образом	4	3
222	они не	4	3
223	что же	2	3
224	там где	7	3
225	же как	6	3
226	и до	2	3
227	все эти	8	3
228	он был	2	3
229	во время	7	3
230	должна быть	3	3
231	из его	2	3
232	и т	29	3
233	тот же	2	3
234	ее в	3	3
235	еще один	3	3
236	относится к	2	3
237	если в	3	3
238	и от	5	3
239	власть над	8	3
240	во многих	2	3
241	можно было	3	3
242	не так	4	3
243	с ней	4	3
244	если бы	3	3
245	превращается в	10	3
246	в особенности	2	3
247	героя и	5	3
248	в этих	16	3
249	себе не	2	3
250	не по	2	3
251	она и	3	3
252	не могло	2	3
253	за ним	3	3
254	восходит к	3	3
255	ни с	2	3
256	не имеет	6	3
257	он говорит	4	3
258	в чем	5	3
259	что такое	2	3
260	он в	4	3
261	когда он	5	3
262	если не	4	3
263	из которых	3	3
264	со своей	2	3
265	всяком случае	3	3
266	все что	4	3
267	здесь не	4	3
268	с появлением	6	3
269	не просто	3	3
270	после чего	5	3
271	мира и	2	3
272	с ним	9	3
273	можно указать	4	2
274	первый взгляд	5	2
275	перед нами	4	2
276	начиная с	2	2
277	с тех	2	2
278	могло быть	2	2
279	от него	6	2
280	и новые	2	2
281	для нее	2	2
282	приходит к	4	2
283	что вы	2	2
284	того кто	3	2
285	и у	3	2
286	есть и	6	2
287	он же	2	2
288	должен быть	2	2
289	и вместе	3	2
290	а как	2	2
291	нас к	5	2
292	у них	3	2
293	героя в	3	2
294	и при	2	2
295	в форму	2	2
296	на вопрос	5	2
297	его не	4	2
298	всех других	2	2
299	в свое	3	2
300	так например	5	2
301	в него	4	2
302	тому что	2	2
303	к нему	8	2
304	она не	3	2
305	на свое	2	2
306	теперь уже	2	2
307	но мы	3	2
308	а если	3	2
309	книге о	2	2
310	тогда когда	3	2
311	ответ на	6	2
312	по этому	3	2
313	враг и	2	2
314	и говорит	5	2
315	и некоторые	2	2
316	с ними	2	2
317	между двумя	2	2
318	сюда же	2	2
319	о ней	2	2
320	и по	7	2
321	дело не	5	2
322	что они	5	2
323	и ее	6	2
324	и более	2	2
325	этом случае	4	2
326	здесь мы	11	2
327	сказать что	5	2
328	кажется что	7	2
329	никак не	2	2
330	он как	3	2
331	герой не	4	2
332	не от	3	2
333	к которой	2	2
334	им в	2	2
335	из этих	6	2
336	не знаю	3	2
337	другом месте	2	2
338	тем более	2	2
339	этой связи	2	2
340	и наоборот	2	2
341	в это	3	2
342	к концу	3	2
343	этом и	2	2
344	превращаясь в	2	2
345	для этой	2	2
346	та же	5	2
347	могут служить	2	2
348	по дороге	3	2
349	становится ясным	2	2
350	этот образ	2	2
351	быть только	2	2
352	что по	2	2
353	что у	6	2
354	от всех	2	2
355	их не	3	2
356	в котором	3	2
357	если это	2	2
358	оно не	2	2
359	со своим	4	2
360	еще одна	4	2
361	он становится	2	2
362	не можем	3	2
363	начинается с	4	2
364	он на	3	2
365	представлений о	4	2
366	и хотя	3	2
367	во всем	2	2
368	на первый	6	2
369	мы имеем	27	2
370	но он	4	2
