N	2gram	Propp_Morf	Problema
289	одна из	5	5
290	он должен	3	5
291	а вовсе	2	5
292	что ни	2	5
293	нами в	4	5
294	и тот	2	5
295	как такового	2	5
296	или на	3	5
297	как то	2	5
298	тому как	5	5
299	что эта	2	5
300	в каких	2	5
301	представляет собою	8	5
302	в собственном	3	5
303	между тем	5	5
304	от того	4	5
305	ничем не	2	5
306	утверждать что	3	5
307	с теми	4	5
308	там где	5	5
309	когда в	2	5
310	и когда	2	5
311	о его	4	5
312	к этому	4	5
313	себя в	2	5
314	одним из	2	5
315	в пределах	3	5
316	они не	3	5
317	подобно тому	6	5
318	собственном смысле	3	5
319	этих случаях	15	5
320	от него	2	4
321	наряду с	7	4
322	так например	3	4
323	живое существо	2	4
324	во втором	7	4
325	этот же	2	4
326	себя и	2	4
327	это можно	2	4
328	в одну	2	4
329	вопроса о	3	4
330	таких случаях	2	4
331	ни одна	4	4
332	мы получаем	2	4
333	если это	3	4
334	иное чем	3	4
335	друг к	2	4
336	она в	2	4
337	момент в	2	4
338	тем и	2	4
339	в глаза	2	4
340	сразу же	2	4
341	и за	2	4
342	дается в	2	4
343	на котором	4	4
344	но мы	3	4
345	и др	12	4
346	можно назвать	3	4
347	в сущности	3	4
348	например в	2	4
349	что эти	3	4
350	нельзя было	2	4
351	по всему	3	4
352	сразу и	2	4
353	очень часто	6	4
354	если она	2	4
355	но эти	3	4
356	или другими	2	4
357	к другу	2	4
358	может существовать	3	4
359	мы увидим	10	4
360	от другого	3	4
361	и пр	45	4
362	но они	2	4
363	огромное значение	2	4
364	это мы	2	4
365	мотив не	2	3
366	можно будет	3	3
367	относятся к	2	3
368	но такое	2	3
369	от других	2	3
370	для этой	3	3
371	но так	2	3
372	тех случаях	2	3
373	а потому	2	3
374	однако все	2	3
375	в образе	6	3
376	до наших	2	3
377	как таковое	3	3
378	например с	2	3
379	что многие	2	3
380	в первом	5	3
381	должна быть	2	3
382	и другим	3	3
383	то как	2	3
384	случае он	2	3
385	превращается в	2	3
386	случаях когда	2	3
387	может считаться	6	3
388	о похищении	2	3
389	из таких	2	3
390	живые существа	3	3
391	он может	2	3
392	это так	2	3
393	представляет собой	17	3
394	заметить что	11	3
395	такую же	2	3
396	увидим ниже	6	3
397	многих других	2	3
398	чем в	2	3
399	в очень	2	3
400	в одной	2	3
401	в отдельных	3	3
402	но есть	3	3
403	если они	2	3
404	со стороны	5	3
405	в россии	2	3
406	не входит	2	3
407	всех других	2	3
408	мы видим	15	3
409	уже видели	2	3
410	т е	25	3
411	или ее	2	3
412	в самых	2	3
413	на нем	3	3
414	на этом	4	3
415	может не	2	3
416	чтобы его	2	3
417	в середине	2	3
418	в совершенно	2	3
419	здесь имеется	2	3
420	действия и	2	2
421	а и	3	2
422	точное определение	2	2
423	ниже мы	2	2
424	условный знак	3	2
425	который может	3	2
426	является функцией	2	2
427	возникает вопрос	3	2
428	же можно	3	2
429	на друга	2	2
430	а во	3	2
431	в другую	2	2
432	два раза	5	2
433	в один	3	2
434	ниже в	2	2
435	как таковых	3	2
436	элемент в	2	2
437	ту же	2	2
438	что до	2	2
439	об освобождении	2	2
440	иначе чем	2	2
441	что пока	2	2
442	поставить вопрос	2	2
443	сам он	3	2
444	этот момент	5	2
445	не исключает	2	2
446	другого и	2	2
447	же она	3	2
448	то здесь	3	2
449	случаях не	2	2
450	и таким	2	2
451	без такого	2	2
452	рассматриваться как	3	2
453	д в	2	2
454	д все	2	2
455	а по	3	2
456	роль в	2	2
457	чем это	2	2
458	орел и	2	2
459	что изучение	3	2
460	мы пока	2	2
461	бы они	2	2
462	вслед за	5	2
463	их на	2	2
464	по отношению	7	2
465	в обоих	2	2
466	или же	7	2
467	а на	3	2
468	героя в	5	2
469	здесь прежде	3	2
470	в свое	2	2
471	то можно	5	2
472	и дает	2	2
473	здесь можно	5	2
474	право на	2	2
475	как например	2	2
476	которые хотя	2	2
477	в в	2	2
478	или очень	2	2
479	они и	5	2
480	большинстве случаев	3	2
481	других случаях	2	2
482	так называемых	2	2
483	некоторые из	3	2
484	то перед	5	2
485	том случае	3	2
486	случае если	2	2
487	также в	2	2
488	например на	2	2
489	образом если	2	2
490	в данной	2	2
491	из двух	3	2
492	лишь с	2	2
493	действующих лиц	22	2
494	не означает	2	2
495	отношению к	7	2
496	наших дней	2	2
497	друг на	2	2
498	не хватает	4	2
499	не с	2	2
500	с большой	2	2
501	должны быть	2	2
502	предметы и	3	2
503	этого не	2	2
504	вопрос что	3	2
505	хотя они	2	2
506	эти функции	2	2
507	а эта	2	2
508	во избежание	2	2
