N	2gram	Vinokur_Vv	VeschiIm
304	не как	3	2
305	наряду с	3	2
306	конце концов	2	2
307	в виду	5	2
308	это только	4	2
309	как он	6	2
310	что если	2	2
311	у них	2	2
312	в свое	3	2
313	и со	2	2
314	то она	2	2
315	в работах	2	2
316	может ли	2	2
317	в с	3	2
318	быть в	5	2
319	на вопрос	6	2
320	мере в	6	2
321	в руки	6	2
322	одно из	5	2
323	языка как	2	2
324	совсем не	3	2
325	со всей	3	2
326	на этой	3	2
327	это уже	2	2
328	гораздо более	3	2
329	уже в	5	2
330	нам не	2	2
331	всего то	3	2
332	а потому	5	2
333	всяком случае	5	2
334	же касается	2	2
335	не столько	2	2
336	и совершенно	2	2
337	том или	2	2
338	нуждается в	3	2
339	действительность в	4	2
340	тем или	2	2
341	а затем	2	2
342	нечто целое	2	2
343	например что	3	2
344	это понимание	2	2
345	связи с	3	2
346	в связи	2	2
347	в первом	5	2
348	в применении	7	2
349	но зато	2	2
350	них и	2	2
351	первом случае	2	2
352	а также	3	2
353	истории и	4	2
354	здесь не	3	2
355	в начале	3	2
356	к этому	3	2
357	с ней	2	2
358	о котором	8	2
359	к истории	6	2
360	стороны и	3	2
361	к делу	4	2
362	что здесь	2	2
363	разумеется и	3	2
364	этом отношении	4	2
365	находятся в	2	2
366	но ведь	4	2
367	и другие	2	2
368	в в	3	2
369	себе и	2	2
370	обе эти	3	2
371	лишь как	2	2
372	в научной	2	2
373	на нее	3	2
374	она была	2	2
375	том чтобы	6	2
376	из наиболее	4	2
377	и так	2	2
378	есть лишь	2	2
379	можно говорить	3	2
380	каждой из	6	2
381	или иных	3	2
382	именно в	8	2
383	зависит от	3	2
384	в слове	3	2
385	не вполне	4	2
386	другое дело	3	2
387	и к	3	2
388	шла речь	4	2
389	о которых	2	2
390	в более	4	2
391	он и	2	2
392	и на	3	2
393	ближе к	2	2
394	и того	3	2
395	он сам	3	2
396	только как	7	2
397	и уже	3	2
398	только о	2	2
399	как будто	3	2
400	во всем	2	2
401	но с	5	2
402	этом смысле	11	2
403	той же	4	2
404	во втором	2	2
405	учение о	2	2
406	в существенном	2	2
