N	2gram	Tiupa_Teor	StatiiOP
147	и то	3	7
148	то в	2	7
149	пушкина что	2	7
150	отличается от	2	7
151	лишь в	10	7
152	еще не	6	7
153	отношению к	10	7
154	еще и	2	7
155	по себе	2	7
156	не просто	2	7
157	на почве	5	7
158	даже в	3	6
159	идет о	2	6
160	в себе	14	6
161	по отношению	10	6
162	должен быть	2	6
163	из которых	2	6
164	к нему	2	6
165	в известном	2	6
166	с его	6	6
167	и здесь	2	6
168	и сам	4	6
169	в жизни	3	6
170	этом смысле	3	6
171	этих двух	2	6
172	только не	3	6
173	говорить о	4	6
174	тем же	2	6
175	его в	4	5
176	на себя	2	5
177	для себя	3	5
178	в прозе	2	5
179	это и	2	5
180	и потому	3	5
181	в сторону	3	5
182	одной стороны	3	5
183	отношении к	4	5
184	один из	2	5
185	при этом	20	5
186	не на	4	5
187	никто не	3	5
188	хотя и	4	5
189	или иного	6	5
190	того или	6	5
191	по пути	4	5
192	текста в	3	5
193	как говорит	3	5
194	как будто	2	5
195	не могло	2	5
196	с одной	3	5
197	ее в	2	5
198	столь же	3	5
199	в мировой	2	5
200	уже не	6	5
201	оно не	2	5
202	и который	2	5
203	в слове	4	5
204	не могут	2	4
205	русской поэзии	2	4
206	в форме	4	4
207	на этом	2	4
208	то есть	22	4
209	по своей	8	4
210	казалось бы	2	4
211	не всегда	2	4
212	в романе	3	4
213	не знает	4	4
214	но как	2	4
215	так или	5	4
216	состоит в	22	4
217	культуры в	3	4
218	в поэзии	2	4
219	в связи	3	4
220	в первом	2	4
221	случае не	2	4
222	этого слова	4	4
223	обращается к	2	4
224	который в	2	4
225	если в	2	4
226	не могли	2	4
227	за пределы	2	4
228	значительной степени	2	4
229	есть в	3	4
230	в значительной	2	4
231	тем или	2	4
232	и другие	2	4
233	а именно	3	4
234	каждая из	2	4
235	или иным	4	4
236	совпадает с	4	4
237	а на	3	4
238	языка в	4	4
239	или в	3	4
240	в таком	3	4
241	в основе	6	4
242	или иначе	6	4
243	перед нами	3	3
244	или иной	7	3
245	я с	5	3
246	говорит в	2	3
247	при всей	2	3
248	как к	5	3
249	в стихотворении	4	3
250	оказывается в	3	3
251	он должен	3	3
252	в одно	2	3
253	к своему	2	3
254	или менее	6	3
255	на котором	2	3
256	могло быть	2	3
257	может служить	2	3
258	и как	3	3
259	так в	4	3
260	о жизни	2	3
261	здесь не	2	3
262	не будет	3	3
263	и некоторые	2	3
264	а затем	2	3
265	себя и	2	3
266	и ее	4	3
267	том числе	3	3
268	бы то	2	3
269	к его	3	3
270	известном смысле	2	3
271	искусства и	3	3
272	в рассказе	2	3
273	во всей	3	3
274	русской литературе	2	3
275	вытекает из	2	3
276	ни для	2	3
277	их в	3	3
278	я и	2	3
279	слова в	4	3
280	в свою	4	3
281	но на	2	3
282	представляет собой	13	3
283	он и	2	3
284	к числу	2	3
285	то ни	2	3
286	более или	6	3
287	отношения к	4	3
288	на основе	2	3
289	в системе	2	3
290	это делает	2	2
291	тем самым	6	2
292	для всех	2	2
293	в литературе	4	2
294	в рамках	13	2
295	в произведениях	2	2
296	от себя	3	2
297	истории литературы	2	2
298	от своего	2	2
299	свою очередь	3	2
300	текст в	4	2
301	в момент	3	2
302	в европейской	2	2
303	отличие от	7	2
304	всякий раз	2	2
305	по своему	4	2
306	для понимания	2	2
307	классицизма в	2	2
308	а только	4	2
309	в сочетании	2	2
310	со временем	2	2
311	тем в	2	2
312	что можно	3	2
313	времени в	2	2
314	которая в	2	2
315	говорит и	3	2
316	на меня	3	2
317	однако с	2	2
318	во мне	2	2
319	между собой	3	2
320	из которого	3	2
321	с языком	3	2
322	большей части	2	2
323	тогда как	18	2
324	числе и	2	2
325	той или	3	2
326	в контексте	3	2
327	речи а	2	2
328	рассказ о	2	2
329	в равной	3	2
330	по преимуществу	5	2
331	с ее	4	2
332	как правило	5	2
333	сам же	2	2
334	языка на	2	2
335	превращается в	2	2
336	и вот	3	2
337	жизни в	2	2
338	ни было	2	2
339	слова как	3	2
340	никем не	2	2
341	в пределах	5	2
342	в отличие	7	2
343	к нам	2	2
344	не случайно	5	2
345	далеко не	4	2
346	всей его	2	2
347	сочетании с	2	2
348	по большей	2	2
349	своей жизни	2	2
350	входит в	4	2
351	имеем в	3	2
352	соответствии с	2	2
353	о в	2	2
354	мог бы	3	2
355	роль в	3	2
356	в случае	2	2
357	для искусства	2	2
358	мы в	2	2
359	первой строфе	4	2
360	с их	2	2
361	только о	2	2
362	жизни но	2	2
363	быть и	2	2
364	имеем дело	2	2
365	художественного творчества	5	2
366	первой части	2	2
