N	2gram	Tiupa_Hudo	Freidism
344	в первом	2	2
345	же самое	4	2
346	как его	3	2
347	в дальнейшем	2	2
348	совершенно иной	2	2
349	рядом с	5	2
350	жизни то	3	2
351	что при	3	2
352	приходит в	2	2
353	отсюда и	2	2
354	будто бы	6	2
355	ясно что	2	2
