N	2gram	Losev_Dial	RusskieA
281	и следовательно	2	2
282	не имеют	2	2
283	в себе	8	2
284	от него	2	2
285	и вообще	7	2
286	перед нами	5	2
287	с другим	2	2
288	но даже	4	2
289	в силу	5	2
290	в конце	2	2
291	и наконец	2	2
292	и тем	3	2
293	а как	2	2
294	он должен	3	2
295	же можно	2	2
296	в частности	3	2
297	на основании	3	2
298	самом деле	7	2
299	течение всего	2	2
300	в один	2	2
301	утверждает что	3	2
302	его от	2	2
303	для такого	2	2
304	в него	2	2
305	но так	2	2
306	к этой	2	2
307	они не	3	2
308	людей и	2	2
309	а мы	3	2
310	точка зрения	5	2
311	и без	4	2
312	одной стороны	3	2
313	очень много	3	2
314	от своих	2	2
315	вот почему	3	2
316	мы видим	4	2
317	и когда	4	2
318	иметь в	3	2
319	себя и	3	2
320	случае не	4	2
321	можно сказать	5	2
322	общего не	2	2
323	для него	4	2
324	на ту	2	2
325	с его	7	2
326	сказать что	7	2
327	он не	8	2
328	что если	5	2
329	когда мы	3	2
330	другой стороны	4	2
331	значит что	29	2
332	и он	3	2
333	тем более	5	2
334	должно быть	7	2
335	его как	6	2
336	если она	4	2
337	но совершенно	2	2
338	обе стороны	2	2
339	из нее	2	2
340	от другого	2	2
341	и даже	21	2
342	мы можем	3	2
343	целый ряд	3	2
344	ее от	2	2
345	как не	4	2
346	д и	8	2
347	этом отношении	2	2
348	он есть	7	2
349	с этой	7	2
350	совершенно не	6	2
351	от одного	2	2
352	быть только	2	2
353	нас в	3	2
354	что есть	6	2
355	в жизни	4	2
356	ни с	4	2
357	и так	2	2
358	и является	2	2
359	говорить что	4	2
360	в чем	11	2
361	что такое	25	2
362	если это	2	2
363	во что	5	2
364	а когда	2	2
365	если угодно	4	2
366	не значит	5	2
367	чтобы она	3	2
368	и если	5	2
369	оно не	7	2
370	быть не	3	2
371	в другой	2	2
372	это так	2	2
373	но на	2	2
374	на что	2	2
375	но что	11	2
376	если он	2	2
377	виду что	2	2
378	по себе	31	2
379	равно как	2	2
380	раз и	3	2
381	чтобы быть	5	2
382	также не	3	2
383	к другому	2	2
384	от нее	3	2
385	из этого	3	2
386	что эта	2	2
387	говорить о	13	2
388	е как	2	2
389	но еще	2	2
390	у него	2	2
391	только одно	4	2
392	день и	2	2
393	но оно	2	2
394	все в	3	2
395	однако не	2	2
396	и сами	2	2
