N	2gram	Vinokur_St	RusskieA
112	было бы	21	7
113	до конца	4	7
114	для этого	2	7
115	из этих	7	7
116	в это	3	7
117	и как	2	7
118	иногда и	2	7
119	это время	3	7
120	еще в	3	7
121	только в	11	7
122	связанные с	3	7
123	как будто	5	7
124	а не	19	7
125	пишет в	2	7
126	в этой	13	6
127	должно было	5	6
128	и их	3	6
129	и у	2	6
130	в их	3	6
131	не всегда	2	6
132	тому что	8	6
133	она не	3	6
134	к тому	9	6
135	что этот	3	6
136	в нем	9	6
137	советское время	2	6
138	в советское	2	6
139	в году	3	6
140	этому поводу	4	6
141	же как	5	6
142	все эти	7	6
143	в качестве	7	6
144	а иногда	2	6
145	чем в	3	6
146	многих случаях	2	6
147	в одном	7	6
148	что она	5	6
149	и о	4	6
150	что здесь	2	6
151	должен был	5	6
152	также в	2	6
153	но они	3	6
154	или с	2	6
155	после того	5	6
156	и пр	4	6
157	и более	4	6
158	на нее	3	6
159	в таком	4	6
160	на самом	8	5
161	вопрос о	9	5
162	петра i	2	5
163	и потому	3	5
164	в тех	5	5
165	вплоть до	6	5
166	но если	5	5
167	или же	3	5
168	нас к	2	5
169	что он	23	5
170	нет никаких	2	5
171	в москве	4	5
172	прежде всего	11	5
173	с этим	6	5
174	в то	10	5
175	в целом	5	5
176	для них	2	5
177	там где	6	5
178	не было	7	5
179	например в	8	5
180	тот же	2	5
181	в его	19	5
182	по поводу	13	5
183	что от	2	5
184	можно было	14	5
185	как правило	2	5
186	видел в	2	5
187	ничего общего	3	5
188	и для	4	5
189	с другой	11	5
190	г в	10	5
191	и к	5	5
192	как можно	2	4
193	которые в	2	4
194	если в	2	4
195	нас не	3	4
196	своего рода	7	4
197	но эти	2	4
198	в образе	3	4
199	не столько	6	4
200	могут быть	5	4
201	и до	2	4
202	и тогда	2	4
203	не на	3	4
204	этого слова	2	4
205	во всяком	8	4
206	в основе	4	4
207	и от	2	4
208	по своему	2	4
209	а к	2	4
210	дело не	4	4
211	несмотря на	4	4
212	и здесь	2	4
213	не просто	2	4
214	кроме того	3	4
215	такой же	6	4
216	ко времени	2	4
217	но все	9	4
218	что у	8	4
219	что для	4	4
220	именно в	8	4
221	в котором	11	4
222	в своих	2	4
223	этот вопрос	6	4
224	уже в	3	4
225	в ней	9	4
226	всяком случае	8	4
227	вряд ли	8	4
228	то время	2	4
229	в середине	2	4
230	но он	5	4
231	никогда не	7	3
232	всех этих	2	3
233	том как	4	3
234	в одной	3	3
235	в форме	2	3
236	то есть	2	3
237	с той	3	3
238	обращает на	2	3
239	это и	5	3
240	в виду	6	3
241	на все	2	3
242	как он	3	3
243	раньше чем	4	3
244	возможно что	4	3
245	или менее	2	3
246	и такие	2	3
247	что все	3	3
248	относятся к	3	3
249	и это	4	3
250	более или	2	3
251	точки зрения	16	3
252	и те	4	3
253	такое же	2	3
254	в области	16	3
255	совсем не	3	3
256	в какой	4	3
257	в ее	6	3
258	что с	4	3
259	и во	3	3
260	в своей	12	3
261	он был	5	3
262	до того	4	3
263	из таких	2	3
264	место в	2	3
265	сомнений в	3	3
266	хотя и	4	3
267	и то	6	3
268	судить по	3	3
269	это в	4	3
270	по отношению	3	3
271	в которой	13	3
272	которые не	3	3
273	не имели	2	3
274	от этого	2	3
275	чем у	2	3
276	на него	3	3
277	в эту	3	3
278	если бы	11	3
279	известно что	2	3
280	так называемой	2	3
281	а именно	3	3
282	отношению к	3	3
283	сих пор	12	3
284	что касается	4	3
285	с одной	3	3
286	есть в	2	3
287	на этот	5	3
288	думать что	2	3
289	не к	2	3
290	на то	5	3
291	в русской	4	3
292	на которой	2	3
293	их и	2	3
294	можно назвать	3	3
295	к числу	3	3
296	с точки	10	3
297	говорит о	5	3
298	и его	11	3
299	нас нет	7	3
300	по его	5	3
301	же и	4	3
302	как на	10	3
303	в период	2	3
304	что именно	2	3
305	тому же	2	3
306	быть и	2	3
307	до сих	13	3
308	в иных	2	2
309	что ему	2	2
310	только у	2	2
311	могло бы	3	2
312	не имеют	2	2
313	в себе	3	2
314	на эту	5	2
315	и вообще	5	2
316	в духе	2	2
317	в развитии	2	2
318	не как	2	2
319	не знали	2	2
320	в конце	5	2
321	отношение к	3	2
322	судя по	2	2
323	должен быть	3	2
324	одним из	2	2
325	и тем	3	2
326	а как	5	2
327	он должен	2	2
328	и всегда	2	2
329	этой работы	2	2
330	так называемая	3	2
331	в частности	6	2
332	и за	3	2
333	на основании	2	2
334	самом деле	14	2
335	т п	11	2
336	дела и	2	2
337	себе в	2	2
338	не так	2	2
339	только с	4	2
340	они не	2	2
341	на свой	2	2
342	и без	4	2
343	далее в	4	2
344	не дает	2	2
345	одной стороны	2	2
346	ответ на	4	2
347	между прочим	10	2
348	с нею	3	2
349	о своей	2	2
350	не были	2	2
351	поэзии и	3	2
352	иметь в	2	2
353	и дело	2	2
354	и всей	2	2
355	в числе	4	2
356	случае не	3	2
357	в двух	4	2
358	можно сказать	2	2
359	которая должна	2	2
360	для него	10	2
361	с его	3	2
362	и и	2	2
363	сказать что	9	2
364	он не	11	2
365	области изучения	2	2
366	другой стороны	9	2
367	значит что	3	2
368	и он	2	2
369	в начале	5	2
370	тем более	4	2
371	в равной	2	2
372	дело в	9	2
373	в каждом	3	2
374	разница между	3	2
375	особенно в	2	2
376	было не	3	2
377	из нее	3	2
378	еще до	4	2
379	этом и	2	2
380	и даже	8	2
381	несколько примеров	5	2
382	целый ряд	3	2
383	общего с	3	2
384	таком виде	2	2
385	чтобы сделать	2	2
386	д и	2	2
387	этом отношении	13	2
388	не является	5	2
389	с этой	5	2
390	совершенно не	7	2
391	не могло	4	2
392	борьбы с	3	2
393	но нет	2	2
394	как известно	2	2
395	вытекает из	2	2
396	ни с	3	2
397	можно считать	2	2
398	и так	3	2
399	в чем	4	2
400	что такое	2	2
401	если это	3	2
402	не значит	3	2
403	оно не	3	2
404	быть не	2	2
405	о них	3	2
406	основана на	2	2
407	но на	2	2
408	но что	2	2
409	года в	3	2
410	была не	2	2
411	по себе	3	2
412	и теперь	2	2
413	что эта	5	2
414	говорить о	3	2
415	е как	2	2
416	у него	3	2
417	о которой	3	2
418	что при	3	2
419	не оставляет	2	2
420	все в	2	2
