N	2gram	Medvedev_F	KFilosof
262	он и	3	2
263	ее от	2	2
264	один из	4	2
265	и навсегда	2	2
266	по себе	10	2
267	потому что	2	2
268	подхода к	4	2
269	совсем не	2	2
270	не будет	2	2
271	раз и	6	2
272	того чтобы	4	2
273	смысле и	2	2
274	или иное	2	2
275	сводится к	6	2
276	человек не	3	2
277	что эта	2	2
278	слова в	2	2
279	именно на	4	2
280	не следует	5	2
281	содержания но	2	2
282	в качестве	2	2
283	же время	13	2
284	ничего общего	2	2
285	но ни	2	2
286	этого слова	4	2
287	в этой	10	2
288	лишь постольку	2	2
289	бы то	4	2
290	чтобы стать	2	2
291	с его	12	2
