N	2gram	Propp_Morf	FransuaR
358	путь на	2	3
359	рассказы о	2	3
360	ни одной	2	3
361	со стороны	5	3
362	не всегда	10	3
363	тому что	5	3
364	два раза	5	3
365	знать что	2	3
366	бы то	3	3
367	что его	4	3
368	время как	3	3
369	не существует	3	3
370	чтобы его	2	3
371	он действует	2	3
372	переходит на	2	3
373	иное как	2	3
374	наряду с	7	3
375	или с	3	3
376	начинается с	5	3
377	между собой	5	3
378	углом зрения	2	3
379	а с	2	3
380	действующих лиц	22	3
381	друг за	2	3
382	а потому	2	3
383	то ни	3	3
384	или на	3	3
385	же они	2	3
386	ясно что	5	3
387	иначе чем	2	3
388	в глаза	2	3
389	в последнем	3	3
390	но есть	3	3
391	что именно	2	3
392	на спине	2	3
393	из первых	2	3
394	с этого	2	3
395	могла бы	4	3
396	то это	5	3
397	и тогда	3	3
398	приводит к	3	3
399	при помощи	12	2
400	как же	3	2
401	мы должны	3	2
402	действия и	2	2
403	а и	3	2
404	всего это	3	2
405	то мы	5	2
406	встреча с	2	2
407	средство для	2	2
408	иногда и	2	2
409	к различным	2	2
410	совершается в	2	2
411	из приведенных	3	2
412	к месту	3	2
413	что одна	2	2
414	он требует	2	2
415	и подобные	2	2
416	нашу задачу	2	2
417	связывается с	3	2
418	другой пример	2	2
419	что такое	3	2
420	это так	2	2
421	за другом	2	2
422	вопрос в	2	2
423	если он	2	2
424	такую же	2	2
425	это можно	2	2
426	друг к	2	2
427	типична для	2	2
428	тем и	2	2
429	его самого	4	2
430	под углом	2	2
431	как таковое	3	2
432	вслед за	5	2
433	в отдельных	3	2
434	тем временем	2	2
435	этого не	2	2
436	формы эти	2	2
437	на вопрос	2	2
438	сына в	2	2
439	с теми	4	2
440	уже видели	2	2
441	не от	2	2
442	собой в	2	2
443	если она	2	2
444	к другу	2	2
445	в середине	2	2
446	где оно	2	2
447	касается только	2	2
448	ход и	2	2
449	это положение	2	2
450	в какой	3	2
451	в самых	2	2
452	или наоборот	2	2
453	в итоге	2	2
454	после чего	2	2
455	одному из	3	2
456	и таким	2	2
457	потому не	2	2
458	и иных	2	2
459	в другую	2	2
460	что ни	2	2
461	в ход	3	2
462	но вот	2	2
463	должны быть	2	2
464	явление это	2	2
465	их на	2	2
466	таких случаях	2	2
467	не исключает	2	2
468	в обоих	2	2
469	встречается в	4	2
470	огромное значение	2	2
471	прежде чем	5	2
472	этого нет	2	2
473	многих других	2	2
474	мы пока	2	2
475	например на	2	2
476	с двумя	2	2
477	героя в	5	2
478	на той	2	2
479	и убивает	3	2
480	случае не	4	2
481	этом случае	10	2
482	не все	6	2
483	раз он	3	2
484	этого момента	3	2
485	момент когда	3	2
486	не определяет	2	2
487	имеет свои	2	2
488	в ином	3	2
489	не с	2	2
490	этот элемент	5	2
491	оно может	4	2
492	что при	3	2
493	на другие	2	2
