N	2gram	Vinokur_Ku	Narrotol
259	одно из	3	3
260	к ним	2	3
261	и это	3	3
262	ли в	3	3
263	ни одного	2	3
264	между ними	2	3
265	точно так	4	3
266	что не	10	3
267	же как	3	3
268	говорить и	2	3
269	все эти	17	3
270	и дело	2	3
271	той же	5	3
272	связи с	8	3
273	и тогда	4	3
274	в связи	4	3
275	и т	62	3
276	для обозначения	2	3
277	речь идет	4	3
278	или иного	5	3
279	в зависимости	7	3
280	того или	6	3
281	характер и	2	3
282	я уже	2	3
283	но это	4	3
284	можно было	14	3
285	дело в	2	3
286	только к	2	3
287	что она	5	3
288	дело не	4	3
289	в которой	7	3
290	по мере	3	3
291	зависимости от	9	3
292	лишь в	6	3
293	в противовес	3	3
294	в этих	5	3
295	все равно	4	3
296	сих пор	5	3
297	при отсутствии	2	3
298	этом в	2	3
299	на этот	4	3
300	быть не	2	3
301	приводит к	3	3
302	могли бы	4	3
303	что мы	6	3
304	с точки	16	3
305	и что	11	3
306	говорить о	5	3
307	что было	2	3
308	не просто	7	3
309	но еще	4	3
310	и только	2	3
311	как на	4	3
312	не следует	6	3
313	что именно	2	3
314	на фоне	3	3
315	наряду с	2	3
316	тем же	2	3
317	но он	2	3
318	до сих	5	3
319	в каком	6	2
320	к одному	2	2
321	очевидно что	4	2
322	в действительности	2	2
323	в которых	8	2
324	той мере	6	2
325	мой взгляд	2	2
326	как именно	2	2
327	именно так	2	2
328	в это	3	2
329	с той	2	2
330	или менее	3	2
331	эта фраза	2	2
332	давно уже	2	2
333	слов в	5	2
334	что с	2	2
335	в их	3	2
336	казалось бы	5	2
337	так называемая	2	2
338	как можно	2	2
339	достоевского и	2	2
340	это все	2	2
341	к своему	2	2
342	так что	5	2
343	т п	39	2
344	быть в	2	2
345	только потому	13	2
346	указывает на	2	2
347	в контексте	2	2
348	а все	2	2
349	в общем	4	2
350	слово это	11	2
351	другое дело	2	2
352	более или	3	2
353	жизнь в	2	2
354	в более	2	2
355	своей собственной	3	2
356	могут быть	5	2
357	в году	3	2
358	язык как	9	2
359	можно ли	6	2
360	что же	11	2
361	с языком	2	2
362	мере в	7	2
363	для них	2	2
364	внимание и	2	2
365	все те	3	2
366	было в	2	2
367	в сущности	11	2
368	ряде случаев	2	2
369	вовсе не	18	2
370	если в	2	2
371	о роли	2	2
372	и мы	2	2
373	меньшей степени	2	2
374	чтобы в	2	2
375	но все	5	2
376	время в	2	2
377	другой стороны	12	2
378	и еще	4	2
379	должно быть	6	2
380	вследствие того	2	2
381	на это	3	2
382	бы в	8	2
383	бы на	4	2
384	на мой	2	2
385	мы можем	2	2
386	переход от	4	2
387	целый ряд	8	2
388	но также	6	2
389	слова и	8	2
390	по своим	2	2
391	превращается в	4	2
392	все это	10	2
393	тем что	9	2
394	не есть	4	2
395	в особенности	6	2
396	лишь с	3	2
397	как о	2	2
398	одного и	2	2
399	и есть	3	2
400	одним из	2	2
401	что иное	2	2
402	смысл и	5	2
403	себе и	3	2
404	быть только	3	2
405	должна быть	6	2
406	и более	3	2
407	отношение к	2	2
408	и прочих	2	2
409	сами по	2	2
410	есть в	6	2
411	иначе как	2	2
412	и является	4	2
413	но уже	6	2
414	когда он	4	2
415	того же	6	2
416	или иначе	4	2
417	в ряде	2	2
418	будто бы	3	2
419	во многом	2	2
420	к которому	3	2
421	из которых	3	2
422	видно что	2	2
423	большей или	2	2
424	том смысле	2	2
425	иное как	3	2
426	не для	2	2
427	это и	6	2
428	как только	2	2
429	но с	2	2
430	однако не	9	2
431	на своего	2	2
432	и сами	2	2
433	в системе	3	2
434	с помощью	12	2
435	а потому	6	2
436	ясно что	7	2
