N	2gram	Bakhtin_fo	Analitik
259	в чем	3	4
260	здесь в	6	4
261	о своей	2	4
262	того чтобы	11	4
263	и во	13	4
264	жизнь и	4	4
265	и т	21	4
266	каждом из	2	4
267	сказать что	4	4
268	и от	3	4
269	по своему	3	4
270	с этим	11	4
271	в которой	3	4
272	в присутствии	4	4
273	об этом	3	4
274	человека в	22	4
275	в значительной	3	4
276	здесь и	3	4
277	ее в	2	4
278	мы уже	17	4
279	между ними	5	4
280	строго говоря	2	4
281	жизни как	2	4
282	подхода к	3	4
283	не было	8	4
284	и есть	3	4
285	дело здесь	2	4
286	на основе	5	4
287	похож на	3	3
288	вопрос о	2	3
289	в таких	2	3
290	человеческой жизни	9	3
291	которые в	2	3
292	идет о	2	3
293	мы должны	2	3
294	человека и	15	3
295	здесь как	3	3
296	попадает в	2	3
297	не был	2	3
298	в ряду	2	3
299	ведь это	2	3
300	в виду	5	3
301	к своему	2	3
302	т п	18	3
303	всего в	4	3
304	на котором	2	3
305	неотделимо от	2	3
306	с тем	5	3
307	для своего	2	3
308	она не	2	3
309	своей собственной	3	3
310	том числе	7	3
311	мира и	6	3
312	в ней	4	3
313	частной жизни	24	3
314	и те	4	3
315	между собой	5	3
316	только к	3	3
317	что все	4	3
318	связи с	14	3
319	в связи	13	3
320	что они	3	3
321	во время	7	3
322	никто не	2	3
323	вопрос об	2	3
324	например в	7	3
325	тех же	2	3
326	так как	12	3
327	так сказать	14	3
328	дело в	3	3
329	должно быть	6	3
330	всех этих	9	3
331	это было	2	3
332	борьба с	3	3
333	речи в	2	3
334	в центре	2	3
335	и всего	2	3
336	и тот	2	3
337	и может	2	3
338	только для	2	3
339	и наконец	6	3
340	в жизни	6	3
341	с этой	3	3
342	где он	2	3
343	ни к	3	3
344	сюжета и	2	3
345	сами по	2	3
346	они не	4	3
347	также и	6	3
348	человек в	5	3
349	но к	2	3
350	оно не	3	3
351	и с	10	3
352	на почве	2	3
353	если не	3	3
354	тогда когда	2	3
355	момент его	2	3
356	раз и	3	3
357	жизни и	12	3
358	он сам	2	3
359	как на	2	3
360	же самое	2	3
361	не к	2	3
362	но он	4	3
363	смысла и	2	3
364	далее в	3	2
365	все более	2	2
366	в большинстве	3	2
367	целого но	2	2
368	жизни героев	4	2
369	характер в	2	2
370	смерти и	2	2
371	так же	7	2
372	для нас	2	2
373	как человек	4	2
374	в процессе	4	2
375	не имеют	4	2
376	в одной	2	2
377	человек и	2	2
378	даже не	2	2
379	герой в	2	2
380	к себе	8	2
381	в собственно	2	2
382	и должно	2	2
383	не могла	2	2
384	принадлежит не	2	2
385	вера в	2	2
386	и прежде	4	2
387	одних и	2	2
388	мыслится как	2	2
389	том же	4	2
390	имеет в	2	2
391	в одно	3	2
392	когда мы	2	2
393	мире и	3	2
394	своей жизни	6	2
395	более что	2	2
396	с анализом	2	2
397	углом зрения	2	2
398	в разных	6	2
399	при описании	2	2
400	характерно что	5	2
401	я был	3	2
402	не являются	3	2
403	в прошлом	3	2
404	весьма часто	2	2
405	вальтера скотта	3	2
406	на этой	4	2
407	а только	2	2
408	с другом	5	2
409	выход из	2	2
410	жизнь в	2	2
411	все его	7	2
412	широком смысле	3	2
413	этот хронотоп	2	2
414	определяется не	2	2
415	жизни это	2	2
416	по этому	2	2
417	с нею	2	2
418	в поэзии	2	2
419	в уста	2	2
420	и др	13	2
421	там где	4	2
422	что даже	2	2
423	здесь мы	4	2
424	во всей	3	2
425	отсюда и	3	2
426	по существу	17	2
427	себе самому	7	2
428	в литературу	3	2
429	но эта	5	2
430	одно и	4	2
431	мы видим	4	2
432	и носит	2	2
433	событий и	3	2
434	этого момента	2	2
435	не столь	2	2
436	или не	2	2
437	если они	2	2
438	бы он	2	2
439	с этими	2	2
440	место и	3	2
441	время в	7	2
442	нет ничего	4	2
443	бытия и	2	2
444	но дело	2	2
445	ни был	2	2
446	не обязательно	2	2
447	всех сторон	2	2
448	этого мира	5	2
449	время и	4	2
450	эту жизнь	2	2
451	мы можем	2	2
452	в глаза	3	2
453	и та	2	2
454	в пространстве	10	2
455	значение в	5	2
456	и тех	2	2
457	прежде чем	3	2
458	на первый	2	2
459	как если	2	2
460	та же	4	2
461	целого и	2	2
462	и вот	2	2
463	у нас	2	2
464	со всеми	4	2
465	в течение	2	2
466	от всех	2	2
467	но они	3	2
468	сих пор	4	2
469	в отдельных	2	2
470	друг с	5	2
471	на протяжении	3	2
472	со всех	2	2
473	и мотив	2	2
474	нет и	4	2
475	не имеет	5	2
476	связаны с	3	2
477	в дальнейшем	10	2
478	вообще не	4	2
479	самое время	3	2
480	в самой	3	2
481	раз в	4	2
482	с мотивом	3	2
483	их в	6	2
484	к ним	3	2
485	еще более	7	2
486	в мировой	2	2
487	жизни не	3	2
488	и стал	2	2
489	было и	4	2
490	здесь совершенно	2	2
491	борьбе с	4	2
492	которой он	3	2
493	не для	3	2
494	к другому	2	2
495	мы и	4	2
496	места для	2	2
497	и только	3	2
498	в форме	5	2
499	как его	3	2
500	тяготеет к	2	2
501	них не	2	2
502	и становится	2	2
503	до сих	4	2
504	не оставляет	6	2
505	связь между	2	2
506	мы будем	5	2
507	всех последующих	2	2
508	и внутреннее	3	2
509	самый момент	2	2
510	тем же	3	2
