N	2gram	Tiupa_Lite	Problemy
303	в сознании	3	3
304	в данном	7	3
305	только то	3	3
306	из этих	2	3
307	а к	2	3
308	дело в	3	3
309	по преимуществу	6	3
310	а вы	2	3
311	все они	2	3
312	не является	3	3
313	так я	2	3
314	и есть	3	3
315	у нас	5	3
316	себе не	2	3
317	что его	3	3
318	его сознания	2	3
319	из тех	2	3
320	не с	2	3
321	на нее	2	3
322	а за	3	3
323	но уже	2	3
324	человек в	2	3
325	все еще	2	3
326	сознание в	3	3
327	и одновременно	2	3
328	сводится к	4	3
329	нового времени	2	3
330	ту же	4	3
331	однако не	2	3
332	тем же	5	3
333	в художественной	4	2
334	еще и	3	2
335	характерный для	2	2
336	все более	3	2
337	и чужого	2	2
338	а вот	2	2
339	самого себя	3	2
340	одну из	2	2
341	этой точки	3	2
342	с тобой	6	2
343	знаю я	3	2
344	не видит	2	2
345	не раз	2	2
346	к этому	2	2
347	для вас	2	2
348	должен быть	2	2
349	тех кто	3	2
350	и других	4	2
351	быть это	4	2
352	от своего	3	2
353	здесь как	2	2
354	свою очередь	2	2
355	одном из	3	2
356	мы с	3	2
357	а во	2	2
358	своего времени	2	2
359	человека а	2	2
360	себе в	3	2
361	одно из	3	2
362	в особенности	2	2
363	в душе	3	2
364	при всех	2	2
365	для своего	2	2
366	в поэзии	4	2
367	это уже	2	2
368	на том	3	2
369	своей собственной	2	2
370	которая в	3	2
371	отнюдь не	4	2
372	человеческого духа	2	2
373	для них	2	2
374	и художественного	2	2
375	же как	3	2
376	нового типа	2	2
377	становится для	2	2
378	надо мной	3	2
379	же это	3	2
380	всю жизнь	2	2
381	в противоположность	2	2
382	в рамках	9	2
383	в россии	2	2
384	его личности	2	2
385	ведь мы	2	2
386	но даже	2	2
387	чего бы	2	2
388	во второй	2	2
389	ведь я	2	2
390	есть лишь	2	2
391	но лишь	4	2
392	обращаясь к	4	2
393	в статье	2	2
394	мы чувствуем	2	2
395	и вполне	3	2
396	в качестве	21	2
397	для того	2	2
398	для нас	3	2
399	не столько	8	2
400	речь в	2	2
401	не могло	3	2
402	с одной	9	2
403	в какой	2	2
404	не поддается	2	2
405	но тем	4	2
406	не имеет	2	2
407	и является	2	2
408	всей своей	2	2
409	не случайно	5	2
410	от всех	2	2
411	не к	3	2
412	в нашем	2	2
413	что для	2	2
414	столь же	5	2
415	освободиться от	2	2
416	я но	2	2
417	своего я	2	2
418	жизни не	2	2
419	в свою	2	2
420	диалога но	2	2
421	как все	2	2
422	на первом	2	2
423	роль в	2	2
424	в кругозоре	4	2
425	перед ним	2	2
426	и того	2	2
427	из этого	2	2
428	своего героя	2	2
429	быть не	2	2
430	произведения как	2	2
431	во втором	3	2
432	себя лишь	2	2
433	а потому	4	2
